	Coef_brain_cortex	Gene_name
ENSG00000151650.7	0.2884440544061122	VENTX
ENSG00000131080.14	0.25274324498758394	EDA2R
ENSG00000252581.1	0.24231198749374414	RNU6-1098P
ENSG00000208005.1	-0.21386204587561453	MIR503
ENSG00000267544.1	-0.2036531584744884	HIKESHIP2
ENSG00000255836.1	-0.19942033526144431	Gene symbol not found
ENSG00000233429.9	0.19257264990852108	HOTAIRM1
ENSG00000197376.2	0.19230848769065484	Gene symbol not found
ENSG00000088836.12	0.1782395131442064	SLC4A11
ENSG00000259124.1	-0.17813605032199173	Gene symbol not found
ENSG00000187013.4	0.17720261237426213	LINC02875
ENSG00000267773.1	-0.17134897076954433	Gene symbol not found
ENSG00000207186.1	0.17078979522245405	RNA5SP122
ENSG00000163071.10	0.1674740105837546	SPATA18
ENSG00000259792.1	0.16734295955439957	Gene symbol not found
ENSG00000280710.2	-0.1667420240331345	
ENSG00000267799.1	-0.16192094816993696	MAN1A2P1
ENSG00000228526.6	0.16173274375679017	MIR34AHG
ENSG00000230453.9	0.15673361998541568	ANKRD18B
ENSG00000248476.1	-0.15530205461075053	BACH1-IT1
ENSG00000278318.4	-0.15492288471063154	ZNF229
ENSG00000173908.8	-0.15448261684585224	KRT28
ENSG00000202517.1	-0.15114686589710571	Gene symbol not found
ENSG00000172426.15	-0.14949455790370322	RSPH9
ENSG00000254294.1	-0.1474725470688415	IMPDH1P6
ENSG00000283377.1	-0.14235437687035488	Gene symbol not found
ENSG00000214121.4	-0.14055967144708556	PRDX1P1
ENSG00000168418.7	0.14020530570985787	KCNG4
ENSG00000274904.1	-0.1401247797352663	Gene symbol not found
ENSG00000248646.1	-0.1394964503699143	
ENSG00000255794.7	0.13939941350820836	RMST
ENSG00000258550.1	-0.13857386932216367	OR7E106P
ENSG00000259742.1	-0.1379415244005769	Gene symbol not found
ENSG00000230931.2	-0.13760064208679187	GXYLT1P1
ENSG00000225075.1	0.1366038413739887	Gene symbol not found
ENSG00000236380.5	-0.13595328607744872	VENTXP7
ENSG00000196862.9	-0.13594693801007435	RGPD4
ENSG00000277697.1	-0.13593124780875485	
ENSG00000273687.1	0.1358455078422757	Gene symbol not found
ENSG00000276556.1	-0.13583941372230915	Gene symbol not found
ENSG00000207010.1	-0.13510124388264833	RNU6-318P
ENSG00000162722.8	-0.13468900374881362	TRIM58
ENSG00000244308.2	-0.13444372867234497	RN7SL762P
ENSG00000172680.1	-0.13220049243407078	MOS
ENSG00000224566.2	-0.12942486120470706	CIAO2AP2
ENSG00000178343.4	0.12934306099484083	SHISA3
ENSG00000164399.4	-0.12926390467982143	IL3
ENSG00000253642.5	0.12876735733594388	Gene symbol not found
ENSG00000214415.3	-0.12684455240651668	GNAT3
ENSG00000120289.11	-0.12539569344791238	MAGEB4
