	Coef_lung	Gene_name
ENSG00000178163.7	-0.7393868360602908	ZNF518B
ENSG00000131080.14	0.6958225626276889	EDA2R
ENSG00000145242.13	0.6640872051901304	EPHA5
ENSG00000147889.17	0.6018960236910454	CDKN2A
ENSG00000100285.9	-0.515887611821275	NEFH
ENSG00000244681.1	0.4409086293157244	MTHFD2P1
ENSG00000100362.12	-0.43415669606692314	PVALB
ENSG00000022556.15	-0.41741680106616574	NLRP2
ENSG00000130876.11	-0.4140275740184774	SLC7A10
ENSG00000263280.1	-0.4094312840297389	Gene symbol not found
ENSG00000244694.7	0.3907570626794323	PTCHD4
ENSG00000185090.14	0.3876420129971712	MANEAL
ENSG00000160870.12	0.38691930480787917	CYP3A7
ENSG00000102854.15	-0.38567587168524625	MSLN
ENSG00000198542.13	0.38381724151488716	ITGBL1
ENSG00000189127.7	-0.3710754631242888	ANKRD34B
ENSG00000187730.8	0.3705721052087731	GABRD
ENSG00000186642.15	-0.3591127239041337	PDE2A
ENSG00000230267.7	-0.35579724726432566	HERC2P4
ENSG00000244593.1	-0.3468588289998764	Gene symbol not found
ENSG00000102452.15	0.34328598893472495	NALCN
ENSG00000257550.1	-0.33747379599715494	Gene symbol not found
ENSG00000185088.13	0.33690051111884783	RPS27L
ENSG00000257194.2	0.33578523265425425	
ENSG00000180543.4	-0.33289470313121017	TSPYL5
ENSG00000170549.3	-0.3270533759364166	IRX1
ENSG00000112852.6	0.3263955018894702	PCDHB2
ENSG00000143839.14	-0.31933865425621305	REN
ENSG00000254198.1	-0.3183061126932258	Gene symbol not found
ENSG00000272070.1	0.3177912407837891	
ENSG00000080224.17	0.3157135189367934	EPHA6
ENSG00000273203.1	0.3088884350244439	
ENSG00000141576.14	0.3046384445785041	RNF157
ENSG00000196109.6	0.2968260846718496	ZNF676
ENSG00000267733.5	0.2963666551254083	Gene symbol not found
ENSG00000267643.1	0.2888885669378479	
ENSG00000283913.1	-0.2817540603357086	Gene symbol not found
ENSG00000226822.2	-0.28114571452278025	
ENSG00000277382.1	0.281012971266972	Gene symbol not found
ENSG00000101255.10	0.2775848843730488	TRIB3
ENSG00000174672.15	0.2753530898711935	BRSK2
ENSG00000162039.14	-0.2729427136376608	MEIOB
ENSG00000106868.16	-0.2682538619061325	SUSD1
ENSG00000113319.12	0.2662546050848036	RASGRF2
ENSG00000229915.1	-0.26618515865685405	Gene symbol not found
ENSG00000081818.3	0.2646373515766045	PCDHB4
ENSG00000235821.1	0.26415677497531515	IFITM4P
ENSG00000242173.8	0.2558621968123385	ARHGDIG
ENSG00000138795.9	-0.25448814035487666	LEF1
ENSG00000064205.10	0.25287495403040117	CCN5
