	Coef_lung	Gene_name
ENSG00000178163.7	-0.728708305782723	ZNF518B
ENSG00000131080.14	0.6830480793010226	EDA2R
ENSG00000145242.13	0.6699857762948307	EPHA5
ENSG00000147889.17	0.5991974683861473	CDKN2A
ENSG00000100285.9	-0.5106201529026022	NEFH
ENSG00000244681.1	0.4547040702545746	MTHFD2P1
ENSG00000100362.12	-0.44470042524086384	PVALB
ENSG00000130876.11	-0.41713236810660625	SLC7A10
ENSG00000263280.1	-0.4135592913821763	Gene symbol not found
ENSG00000022556.15	-0.4131544405460148	NLRP2
ENSG00000185090.14	0.3938157697455966	MANEAL
ENSG00000160870.12	0.3903129687682658	CYP3A7
ENSG00000198542.13	0.3902704167958567	ITGBL1
ENSG00000102854.15	-0.38889146588173984	MSLN
ENSG00000244694.7	0.3886548892449695	PTCHD4
ENSG00000189127.7	-0.3743434313150426	ANKRD34B
ENSG00000187730.8	0.36940141801101883	GABRD
ENSG00000186642.15	-0.3626692766934628	PDE2A
ENSG00000230267.7	-0.3570531624592216	HERC2P4
ENSG00000185088.13	0.34246566546876595	RPS27L
ENSG00000102452.15	0.34050219270562365	NALCN
ENSG00000244593.1	-0.3394030455776494	Gene symbol not found
ENSG00000257550.1	-0.3379943371040264	Gene symbol not found
ENSG00000180543.4	-0.3348011312178145	TSPYL5
ENSG00000112852.6	0.327756855698859	PCDHB2
ENSG00000257194.2	0.32448642023513297	
ENSG00000254198.1	-0.3240911734326537	Gene symbol not found
ENSG00000170549.3	-0.32305527944314616	IRX1
ENSG00000080224.17	0.32062219459374214	EPHA6
ENSG00000272070.1	0.3198866697513975	
ENSG00000273203.1	0.3087622174158179	
ENSG00000143839.14	-0.30697277070341233	REN
ENSG00000196109.6	0.30071605835181664	ZNF676
ENSG00000141576.14	0.29671158583384716	RNF157
ENSG00000267733.5	0.2949837714630031	Gene symbol not found
ENSG00000267643.1	0.28945744156431047	
ENSG00000162039.14	-0.28519500979615975	MEIOB
ENSG00000277382.1	0.28500861749556816	Gene symbol not found
ENSG00000174672.15	0.2804236999725071	BRSK2
ENSG00000101255.10	0.2792568957031189	TRIB3
ENSG00000226822.2	-0.27907058342218566	
ENSG00000113319.12	0.2763618288666087	RASGRF2
ENSG00000106868.16	-0.2722803158351451	SUSD1
ENSG00000283913.1	-0.26860520377268315	Gene symbol not found
ENSG00000235821.1	0.26207589180774604	IFITM4P
ENSG00000242173.8	0.26187924833803633	ARHGDIG
ENSG00000229915.1	-0.2610366608218589	Gene symbol not found
ENSG00000259134.5	0.2586860657158825	LINC00924
ENSG00000064205.10	0.2557241301404449	CCN5
ENSG00000081818.3	0.2551178479272822	PCDHB4
