	Coef_nerve_tibial	Gene_name
ENSG00000072041.16	0.490525830878252	SLC6A15
ENSG00000204764.13	-0.40188165435953266	RANBP17
ENSG00000237125.8	0.40020968250966216	HAND2-AS1
ENSG00000196109.6	0.39548393916925273	ZNF676
ENSG00000131080.14	0.39036095635205165	EDA2R
ENSG00000178163.7	-0.3799337532931461	ZNF518B
ENSG00000171551.11	-0.37463589168603295	ECEL1
ENSG00000244681.1	0.3667948269611983	MTHFD2P1
ENSG00000244694.7	0.36626619291707363	PTCHD4
ENSG00000204876.4	0.3488334954803959	Gene symbol not found
ENSG00000196767.6	0.3416628979268072	POU3F4
ENSG00000184905.8	0.3305029706077522	TCEAL2
ENSG00000164107.8	0.32252469080870644	HAND2
ENSG00000100285.9	-0.3223779063367401	NEFH
ENSG00000163564.14	0.3162526892041226	PYHIN1
ENSG00000128710.5	0.2978361834002345	HOXD10
ENSG00000040731.10	0.28937142837258445	CDH10
ENSG00000128713.13	0.2881489155030869	HOXD11
ENSG00000164690.7	0.28287732762615614	SHH
ENSG00000189233.11	0.27112659129078875	NUGGC
ENSG00000250957.1	0.2639876087100511	
ENSG00000136944.17	-0.23773656399933413	LMX1B
ENSG00000180347.13	0.23362538652297055	ITPRID1
ENSG00000152467.9	-0.23246769235295975	ZSCAN1
ENSG00000112319.17	0.22993686320369994	EYA4
ENSG00000008196.12	0.2287056511961993	TFAP2B
ENSG00000203797.9	0.2276614262827525	DDO
ENSG00000134853.11	-0.22646246018087302	PDGFRA
ENSG00000204519.10	-0.22201307767943262	ZNF551
ENSG00000226711.6	-0.21753557504526713	FAM66C
ENSG00000179399.14	0.21540688721221968	GPC5
ENSG00000186205.12	0.2150186189899835	MTARC1
ENSG00000121335.11	0.21282373570533825	PRB2
ENSG00000179909.15	-0.21237501321647972	ZNF154
ENSG00000172667.10	0.2111826285649011	ZMAT3
ENSG00000181023.6	0.20904950702803463	OR56B1
ENSG00000159496.14	-0.20884687916080724	RGL4
ENSG00000176658.16	0.20815524636278257	MYO1D
ENSG00000162461.7	0.2031991824745313	SLC25A34
ENSG00000184144.11	0.2031066038059759	CNTN2
ENSG00000259236.1	0.2028710278479399	GOLGA8VP
ENSG00000261587.2	0.1998448284299902	TMEM249
ENSG00000168556.6	-0.19780311140555218	ING2
ENSG00000272872.1	0.19716525448545502	
ENSG00000249388.1	-0.1884779094483226	FLJ12825
ENSG00000080224.17	0.18830266805468257	EPHA6
ENSG00000174482.10	0.1877780256834278	LINGO2
ENSG00000250337.5	0.186070209749597	PURPL
ENSG00000283355.1	-0.18530921039320306	Gene symbol not found
ENSG00000101203.16	0.1851105728897069	COL20A1
