	Coef_colon_sigmoid	Gene_name
ENSG00000112319.17	0.4126046627512441	EYA4
ENSG00000228526.6	0.40001342647398774	MIR34AHG
ENSG00000244694.7	0.38005341225813677	PTCHD4
ENSG00000170049.9	-0.34671583791917754	KCNAB3
ENSG00000248799.1	-0.30632581978347106	Gene symbol not found
ENSG00000147889.17	0.29507792150385814	CDKN2A
ENSG00000138829.11	-0.2708107433031377	FBN2
ENSG00000131080.14	0.2692625883329165	EDA2R
ENSG00000250337.5	0.2594858808607419	PURPL
ENSG00000270212.1	-0.2574182467097014	Gene symbol not found
ENSG00000200036.1	-0.25627737694645447	RNA5SP65
ENSG00000227708.1	-0.2522531244563112	LINC01850
ENSG00000244681.1	0.2520430680361296	MTHFD2P1
ENSG00000237438.7	0.24253859475817258	CECR7
ENSG00000281937.1	0.22418115457173537	
ENSG00000227704.1	-0.21484444275572412	Gene symbol not found
ENSG00000064655.18	0.20775347179541429	EYA2
ENSG00000206195.10	0.20210753223308434	DUXAP8
ENSG00000273455.1	0.19742355009927814	Gene symbol not found
ENSG00000225511.6	0.19499456588931513	LINC00475
ENSG00000224988.1	-0.19330105740960407	Gene symbol not found
ENSG00000255159.1	-0.1904021828496436	DENND2B-AS1
ENSG00000168828.5	0.1879358491563355	OR13J1
ENSG00000162639.15	-0.18583204410923265	HENMT1
ENSG00000267282.1	0.18290789291668463	Gene symbol not found
ENSG00000198807.12	0.180730746955582	PAX9
ENSG00000233254.1	0.17957764729686768	RPL21P134
ENSG00000273604.1	-0.17951591223633512	EPOP
ENSG00000217004.1	-0.17856412123410084	Gene symbol not found
ENSG00000269947.1	-0.17789604167941026	Gene symbol not found
ENSG00000196109.6	0.1744071835649	ZNF676
ENSG00000223284.1	-0.17390975189260874	RNU6-195P
ENSG00000081803.15	0.1717770532016118	CADPS2
ENSG00000272922.1	0.16691472965155485	
ENSG00000168779.19	0.1666517695822132	SHOX2
ENSG00000213225.7	-0.1653147273245672	NOC2LP1
ENSG00000278530.4	0.16429591668517823	CHMP1B2P
ENSG00000111339.10	0.16396201760165835	ART4
ENSG00000255408.3	0.1617435606203551	PCDHA3
ENSG00000231952.3	-0.1602501862350522	DPY19L1P2
ENSG00000130943.6	-0.15884608247529358	PKDREJ
ENSG00000268079.1	0.15834253937035603	BNIP3P30
ENSG00000164109.13	-0.15802531112307922	MAD2L1
ENSG00000249973.2	0.157554223987317	CHCHD2P7
ENSG00000226925.1	-0.15720274238830934	IL1R1-AS1
ENSG00000237512.6	0.15659232389061378	UNC5B-AS1
ENSG00000279067.1	0.1540072593259311	Gene symbol not found
ENSG00000113810.15	-0.15219403134762116	SMC4
ENSG00000260304.1	0.15187763835216658	Gene symbol not found
