	Coef_artery_coronary	Gene_name
ENSG00000163515.6	-0.6627234056814972	RETNLB
ENSG00000261075.1	-0.6621408940395903	LINC01195
ENSG00000048540.14	0.6141813967444864	LMO3
ENSG00000170381.12	0.5890427858580761	SEMA3E
ENSG00000244694.7	0.5601930613359049	PTCHD4
ENSG00000258641.1	-0.5398593105468538	OR4T1P
ENSG00000196427.13	0.46359693477706176	NBPF4
ENSG00000101977.19	0.4348524028184585	MCF2
ENSG00000270000.1	-0.4284195556578143	Gene symbol not found
ENSG00000252719.1	-0.427774191823309	Gene symbol not found
ENSG00000261437.1	0.42307104353088676	LINC02894
ENSG00000265359.1	-0.41743261534019116	Gene symbol not found
ENSG00000146352.12	0.4020201095032512	CLVS2
ENSG00000224846.2	0.39616531740690664	NQO2-AS1
ENSG00000249412.1	0.38729330673784657	Gene symbol not found
ENSG00000260804.3	-0.38716295353799396	LINC01963
ENSG00000081803.15	0.37721859751706877	CADPS2
ENSG00000134533.6	0.376302891254427	RERG
ENSG00000235595.1	-0.37608198180827884	GAPDHP23
ENSG00000201811.1	-0.37445206890550636	SNORA71
ENSG00000242634.1	0.37181073847734886	RPS24P16
ENSG00000279348.1	-0.3702801630562102	Gene symbol not found
ENSG00000236290.1	-0.3547660504494631	EEF1GP7
ENSG00000271321.1	0.35432718918530537	CTAGE6
ENSG00000207494.1	-0.342527659286225	Y_RNA
ENSG00000167104.11	-0.3348691076450305	BPIFB6
ENSG00000257395.1	-0.3301115569370554	Gene symbol not found
ENSG00000229251.3	-0.329855902298332	HNRNPA1P8
ENSG00000224897.6	0.3272171206989727	POT1-AS1
ENSG00000277120.5	-0.326031772485307	MIR6089
ENSG00000253147.5	-0.32588909626015117	LINC03023
ENSG00000205898.3	0.3153139710494689	Gene symbol not found
ENSG00000224510.2	-0.31469318841513116	POLR2KP2
ENSG00000227413.1	0.31173713180760937	Gene symbol not found
ENSG00000105699.16	-0.3050989520709033	LSR
ENSG00000220848.4	0.30221718266800074	RPS18P9
ENSG00000225636.1	0.29948294261576675	HNRNPA3P15
ENSG00000270750.1	0.29297924109314044	
ENSG00000037757.13	0.28865873621001725	MRI1
ENSG00000246130.1	0.2822081669652433	TNFRSF10B-AS1
ENSG00000260473.2	-0.28042645917884423	Gene symbol not found
ENSG00000182963.9	-0.2766650942512144	GJC1
ENSG00000270809.1	0.27583974063065686	CHCHD2P11
ENSG00000105643.9	-0.2754246010873344	ARRDC2
ENSG00000183506.17	0.2742855010650089	PI4KAP2
ENSG00000183386.9	-0.2732528527822947	FHL3
ENSG00000100368.13	-0.26477101342495235	CSF2RB
ENSG00000217414.2	-0.25968800006743187	DDX18P3
ENSG00000259005.1	-0.2591772569132554	Gene symbol not found
ENSG00000279645.1	-0.25458274583534446	
