	Coef_brain_cerebellum	Gene_name
ENSG00000257711.1	0.11576375020629474	
ENSG00000279039.1	-0.09338685222328548	
ENSG00000052344.15	0.09095323369050151	PRSS8
ENSG00000175718.9	0.09017739025226586	RBMXL3
ENSG00000117594.9	0.08917362588725794	HSD11B1
ENSG00000151718.15	-0.08732376667859904	WWC2
ENSG00000089225.19	0.08578572308536035	TBX5
ENSG00000266227.1	-0.08039098716143982	NPM1P2
ENSG00000187867.8	0.078606914186418	PALM3
ENSG00000227432.1	0.07820724828301115	ASIC4-AS1
ENSG00000271178.1	-0.07721820745763841	IGHV3OR16-13
ENSG00000236968.1	-0.07627444721093882	Gene symbol not found
ENSG00000253293.4	-0.07559301654526238	HOXA10
ENSG00000249005.3	-0.0753518146108803	FAM90A4P
ENSG00000145888.10	0.07458207659974976	GLRA1
ENSG00000213435.3	-0.07409697654546654	ATP6V0CP3
ENSG00000221977.1	-0.07253062054116094	OR4E2
ENSG00000131095.12	0.07196258260172592	GFAP
ENSG00000248229.1	-0.07188931906981921	Gene symbol not found
ENSG00000181656.6	-0.07186624157537043	GPR88
ENSG00000235070.3	-0.07129230358780246	Gene symbol not found
ENSG00000138759.18	-0.07106610198364387	FRAS1
ENSG00000100302.6	0.0709411785518655	RASD2
ENSG00000213698.2	-0.07074675862004634	CAPZA1P3
ENSG00000070159.13	-0.06997709957407837	PTPN3
ENSG00000263505.1	-0.06885148924081892	SLC25A3P3
ENSG00000276945.1	-0.06845848201726669	Gene symbol not found
ENSG00000228467.2	-0.06843919706450959	Gene symbol not found
ENSG00000144119.3	0.06795556607200197	C1QL2
ENSG00000145358.6	0.06739205181962123	DDIT4L
ENSG00000181195.10	0.06728397365739665	PENK
ENSG00000257737.1	-0.06672167314305119	Gene symbol not found
ENSG00000241318.3	-0.06669189610896498	WDR82P2
ENSG00000248211.1	-0.06665748591894566	TRPC7-AS1
ENSG00000197919.5	0.06661702186422554	IFNA1
ENSG00000072182.12	0.06439791860038352	ASIC4
ENSG00000266184.1	-0.06405641865130776	Gene symbol not found
ENSG00000118495.18	-0.0636396540211118	PLAGL1
ENSG00000261761.3	-0.06345785129968476	LINC02616
ENSG00000198838.13	0.06294994993693666	RYR3
ENSG00000263862.1	-0.06282033827655205	LINC01543
ENSG00000240478.1	-0.06266699043463377	Gene symbol not found
ENSG00000238166.2	-0.06187843519817846	Gene symbol not found
ENSG00000136883.13	-0.061707901373649954	KIF12
ENSG00000231464.1	-0.061688779133891286	PPP4R2P3
ENSG00000120337.8	-0.06114080393596223	TNFSF18
ENSG00000268583.1	-0.060816815284649044	Gene symbol not found
ENSG00000229204.3	-0.06075777320644674	PTGES3P3
ENSG00000143365.17	0.06055009838835711	RORC
ENSG00000267623.3	-0.06017323413598926	Gene symbol not found
