	Coef_pituitary	Gene_name
ENSG00000180105.11	-0.39838713182174945	ACER2P1
ENSG00000244694.7	0.3290045086963151	PTCHD4
ENSG00000252719.1	-0.3244880727440012	Gene symbol not found
ENSG00000185088.13	0.3186475808754458	RPS27L
ENSG00000131080.14	0.31151259053582453	EDA2R
ENSG00000252591.1	-0.3078892784681986	RNA5SP468
ENSG00000173535.13	0.2842030424190552	TNFRSF10C
ENSG00000255492.1	-0.26463882366269864	H3P33
ENSG00000213816.3	-0.2645203874642751	CNN2P4
ENSG00000117594.9	0.2608147819528452	HSD11B1
ENSG00000260255.1	-0.2515921422624465	Gene symbol not found
ENSG00000269526.1	-0.24340598426715368	ERVV-1
ENSG00000202272.1	-0.2427503371786882	Y_RNA
ENSG00000232139.5	-0.24239500061578506	LINC00867
ENSG00000278698.1	-0.23269716267646318	Gene symbol not found
ENSG00000134574.11	0.22972075726785718	DDB2
ENSG00000280436.1	-0.22487311907645188	Gene symbol not found
ENSG00000236136.1	0.22307679371135616	ADORA2BP1
ENSG00000235623.2	-0.22199616752387924	OR7E110P
ENSG00000216977.1	0.21643097008654838	RPL21P65
ENSG00000232939.1	-0.20837897942693265	Gene symbol not found
ENSG00000203531.3	-0.20740402333299068	Gene symbol not found
ENSG00000255489.1	-0.20169445690519383	Gene symbol not found
ENSG00000237978.5	0.19910357329352155	KCNMB2-AS1
ENSG00000243539.3	-0.19274960374412936	RN7SL649P
ENSG00000268994.3	-0.19257578782116996	FAM236B
ENSG00000270900.1	-0.18903253172925244	NUDT19P4
ENSG00000177770.11	-0.18894928766453503	CDKN2AIPNLP1
ENSG00000252778.1	-0.1875171319910791	Gene symbol not found
ENSG00000253305.2	-0.18496846513876058	PCDHGB6
ENSG00000100593.17	-0.1848987745417531	ISM2
ENSG00000251874.1	-0.18183463678817546	RNU6-615P
ENSG00000228162.1	-0.18031053446187395	Gene symbol not found
ENSG00000234913.1	-0.17794060555075952	Gene symbol not found
ENSG00000279954.1	-0.1776538777204503	Gene symbol not found
ENSG00000226320.5	-0.1740272917071572	LINC01811
ENSG00000252919.1	-0.1738233579633766	Y_RNA
ENSG00000267289.1	-0.17378952363012834	PIN1-DT
ENSG00000178163.7	-0.17180518705901002	ZNF518B
ENSG00000173451.6	-0.1683235158361102	THAP2
ENSG00000235151.1	-0.16321408232415804	Gene symbol not found
ENSG00000236886.2	-0.16142586241632437	
ENSG00000233108.1	-0.1609084354040948	GLCCI1-DT
ENSG00000268866.1	-0.16074268713893847	Gene symbol not found
ENSG00000180662.8	-0.1605361877122147	RPL21P8
ENSG00000273568.1	0.15907134383826493	Gene symbol not found
ENSG00000278200.1	-0.15901277145507134	LINC01971
ENSG00000240423.1	-0.15880674328845035	LINC00636
ENSG00000061337.15	-0.15838381074034058	LZTS1
ENSG00000272969.1	-0.15594721906281	Gene symbol not found
