	Coef_artery_coronary	Gene_name
ENSG00000261075.1	-0.6645220477803647	LINC01195
ENSG00000163515.6	-0.6638982601192099	RETNLB
ENSG00000048540.14	0.6057642589434304	LMO3
ENSG00000170381.12	0.57692493834451	SEMA3E
ENSG00000244694.7	0.558495657512909	PTCHD4
ENSG00000258641.1	-0.5233395424255306	OR4T1P
ENSG00000196427.13	0.4595725551910486	NBPF4
ENSG00000101977.19	0.43791246668098777	MCF2
ENSG00000270000.1	-0.4300713846549976	Gene symbol not found
ENSG00000265359.1	-0.42071212958009563	Gene symbol not found
ENSG00000261437.1	0.41348691450954306	LINC02894
ENSG00000252719.1	-0.40663576583798966	Gene symbol not found
ENSG00000146352.12	0.4041816760173108	CLVS2
ENSG00000224846.2	0.3999608032886339	NQO2-AS1
ENSG00000201811.1	-0.39209847435316275	SNORA71
ENSG00000260804.3	-0.3897401174099591	LINC01963
ENSG00000249412.1	0.38858933453123323	Gene symbol not found
ENSG00000279348.1	-0.37985754617816925	Gene symbol not found
ENSG00000235595.1	-0.3777734166649318	GAPDHP23
ENSG00000081803.15	0.3744975205572046	CADPS2
ENSG00000242634.1	0.3726997586858022	RPS24P16
ENSG00000134533.6	0.3634266538269057	RERG
ENSG00000167104.11	-0.34606322749664115	BPIFB6
ENSG00000253147.5	-0.34353797106192074	LINC03023
ENSG00000236290.1	-0.34176969347938835	EEF1GP7
ENSG00000271321.1	0.3416734520765496	CTAGE6
ENSG00000224510.2	-0.33216553757380635	POLR2KP2
ENSG00000229251.3	-0.33195058186272464	HNRNPA1P8
ENSG00000224897.6	0.32695851733150394	POT1-AS1
ENSG00000207494.1	-0.3268863276037354	Y_RNA
ENSG00000277120.5	-0.32068943725684995	MIR6089
ENSG00000257395.1	-0.31935242380580614	Gene symbol not found
ENSG00000227413.1	0.31570049495980623	Gene symbol not found
ENSG00000205898.3	0.31418633634641124	Gene symbol not found
ENSG00000220848.4	0.30982719166121175	RPS18P9
ENSG00000105699.16	-0.2983791726680716	LSR
ENSG00000225636.1	0.2932122900027094	HNRNPA3P15
ENSG00000270750.1	0.2818612513237382	
ENSG00000183506.17	0.2814837910770971	PI4KAP2
ENSG00000260473.2	-0.2813877466050112	Gene symbol not found
ENSG00000182963.9	-0.2789748672611598	GJC1
ENSG00000246130.1	0.27761874916402285	TNFRSF10B-AS1
ENSG00000183386.9	-0.2734801929047907	FHL3
ENSG00000037757.13	0.2717547231116295	MRI1
ENSG00000270809.1	0.26965584442985513	CHCHD2P11
ENSG00000267042.1	0.2663857043110373	Gene symbol not found
ENSG00000100368.13	-0.263469605372312	CSF2RB
ENSG00000105643.9	-0.2633825627051751	ARRDC2
ENSG00000217414.2	-0.2578081588807824	DDX18P3
ENSG00000224675.1	0.2509395874989321	GALNT13-AS1
