	Coef_lung	Gene_name
ENSG00000178163.7	-0.7340381140322673	ZNF518B
ENSG00000131080.14	0.6840582663399893	EDA2R
ENSG00000145242.13	0.6747995285631772	EPHA5
ENSG00000147889.17	0.5997351425906985	CDKN2A
ENSG00000100285.9	-0.5134384037026469	NEFH
ENSG00000244681.1	0.4461331437497912	MTHFD2P1
ENSG00000100362.12	-0.44554845573715646	PVALB
ENSG00000130876.11	-0.41835413917225417	SLC7A10
ENSG00000022556.15	-0.41640566962851283	NLRP2
ENSG00000263280.1	-0.4089235752753913	Gene symbol not found
ENSG00000198542.13	0.39542702760767007	ITGBL1
ENSG00000244694.7	0.39511093078611675	PTCHD4
ENSG00000160870.12	0.3912545542390647	CYP3A7
ENSG00000185090.14	0.38722682002203496	MANEAL
ENSG00000102854.15	-0.38693352706882983	MSLN
ENSG00000187730.8	0.3698282021326045	GABRD
ENSG00000189127.7	-0.36775394606738715	ANKRD34B
ENSG00000230267.7	-0.358729963426216	HERC2P4
ENSG00000186642.15	-0.3574261664094573	PDE2A
ENSG00000185088.13	0.34502059273760927	RPS27L
ENSG00000102452.15	0.34392923821452887	NALCN
ENSG00000244593.1	-0.3426791402489997	Gene symbol not found
ENSG00000257550.1	-0.3343917318464917	Gene symbol not found
ENSG00000180543.4	-0.3338469726017558	TSPYL5
ENSG00000257194.2	0.3248740051752991	
ENSG00000170549.3	-0.32399310314025265	IRX1
ENSG00000112852.6	0.3170946239436653	PCDHB2
ENSG00000080224.17	0.31633468751179566	EPHA6
ENSG00000254198.1	-0.3151083142701571	Gene symbol not found
ENSG00000273203.1	0.3141001294147219	
ENSG00000272070.1	0.3135052435922424	
ENSG00000143839.14	-0.3133922075741521	REN
ENSG00000196109.6	0.30085481020472216	ZNF676
ENSG00000141576.14	0.29848158490179444	RNF157
ENSG00000267733.5	0.2936478067003841	Gene symbol not found
ENSG00000226822.2	-0.2884628718648617	
ENSG00000277382.1	0.2884109515037262	Gene symbol not found
ENSG00000101255.10	0.2829764291894173	TRIB3
ENSG00000113319.12	0.28187701115507685	RASGRF2
ENSG00000267643.1	0.2756082645020032	
ENSG00000283913.1	-0.274826283674944	Gene symbol not found
ENSG00000106868.16	-0.2745651901129115	SUSD1
ENSG00000174672.15	0.27325547856477733	BRSK2
ENSG00000081818.3	0.26440475738779956	PCDHB4
ENSG00000162039.14	-0.2643961113056717	MEIOB
ENSG00000259134.5	0.260641852660567	LINC00924
ENSG00000235821.1	0.2593515844136694	IFITM4P
ENSG00000242173.8	0.2562826575397546	ARHGDIG
ENSG00000138795.9	-0.2535868516359634	LEF1
ENSG00000064205.10	0.2525447201116603	CCN5
