	Coef_skin_sun_exposed_lower_leg	Gene_name
ENSG00000156959.8	2.2177327171121766	LHFPL4
ENSG00000070019.4	1.1094054400601825	GUCY2C
ENSG00000048540.14	1.0410062337969421	LMO3
ENSG00000154162.14	-1.0267897090224751	CDH12
ENSG00000255442.1	0.8872430645486286	Gene symbol not found
ENSG00000104044.15	-0.8394450357715071	OCA2
ENSG00000278318.4	-0.8113269759806071	ZNF229
ENSG00000224810.1	-0.7555682252465991	Gene symbol not found
ENSG00000244694.7	0.7496059454356006	PTCHD4
ENSG00000124253.10	-0.7338735742992214	PCK1
ENSG00000181690.7	-0.7134809099449386	PLAG1
ENSG00000246627.6	0.6830287465233477	
ENSG00000226057.6	0.6165321248438634	PHF2P2
ENSG00000114378.16	0.5920182563554127	HYAL1
ENSG00000267733.5	0.5796294308941545	Gene symbol not found
ENSG00000007372.21	0.5697874563305924	PAX6
ENSG00000176998.4	0.565587641667032	HCG4
ENSG00000180155.19	-0.5610230060576674	LYNX1
ENSG00000185008.17	-0.558081192382968	ROBO2
ENSG00000271447.5	0.5501521271225599	MMP28
ENSG00000207296.1	0.5407593082503412	RNU6-140P
ENSG00000112333.11	0.5402963361034562	NR2E1
ENSG00000229375.1	0.5379640533229949	USP24P1
ENSG00000176153.11	-0.5304026210504101	GPX2
ENSG00000267508.5	-0.5240566545185884	ZNF285
ENSG00000110092.3	0.5211771402905634	CCND1
ENSG00000261104.1	-0.5181200214622864	Gene symbol not found
ENSG00000100321.14	-0.49345716866268674	SYNGR1
ENSG00000254043.1	-0.46875074923828375	Gene symbol not found
ENSG00000072818.11	0.46714143750595516	ACAP1
ENSG00000235903.7	-0.4455539303758954	CPB2-AS1
ENSG00000136378.14	0.4407916565629881	ADAMTS7
ENSG00000179151.11	-0.44067738487768726	EDC3
ENSG00000105520.10	-0.44047517498924343	PLPPR2
ENSG00000114405.10	-0.430095075750507	CEP15
ENSG00000235961.5	-0.42298036919957227	PNMA6A
ENSG00000172667.10	0.4176131215588935	ZMAT3
ENSG00000164099.3	-0.4059706108443156	PRSS12
ENSG00000146521.9	0.3996354893588209	
ENSG00000143320.8	0.39840921361391457	CRABP2
ENSG00000162722.8	0.3946912524585019	TRIM58
ENSG00000163564.14	0.3928883505872464	PYHIN1
ENSG00000112852.6	0.39245118338769347	PCDHB2
ENSG00000278937.1	-0.38975657151182475	
ENSG00000235933.1	0.3815679325831074	LINC01779
ENSG00000128311.13	0.3768290293159764	TST
ENSG00000158023.9	0.3702406829544108	CFAP251
ENSG00000184990.12	-0.36110414255600026	SIVA1
ENSG00000119042.16	0.35919800924780754	SATB2
