	Coef_brain_cortex	Gene_name
ENSG00000151650.7	0.2822210038923482	VENTX
ENSG00000131080.14	0.24902771485869454	EDA2R
ENSG00000252581.1	0.2417754759033173	RNU6-1098P
ENSG00000208005.1	-0.22256708010463155	MIR503
ENSG00000267544.1	-0.20451634723754417	HIKESHIP2
ENSG00000255836.1	-0.1977446125083727	Gene symbol not found
ENSG00000233429.9	0.19103571063749572	HOTAIRM1
ENSG00000197376.2	0.19101224952762016	Gene symbol not found
ENSG00000088836.12	0.1841472296004716	SLC4A11
ENSG00000259124.1	-0.17912713379600953	Gene symbol not found
ENSG00000187013.4	0.1791241911050345	LINC02875
ENSG00000207186.1	0.174975484568774	RNA5SP122
ENSG00000259792.1	0.16887357531589034	Gene symbol not found
ENSG00000280710.2	-0.16747848476553323	
ENSG00000163071.10	0.1658342941561044	SPATA18
ENSG00000267773.1	-0.16469866064348596	Gene symbol not found
ENSG00000267799.1	-0.16075919849103787	MAN1A2P1
ENSG00000228526.6	0.15649596371647587	MIR34AHG
ENSG00000173908.8	-0.15619050279224445	KRT28
ENSG00000278318.4	-0.1558174006488536	ZNF229
ENSG00000248476.1	-0.15579113658697624	BACH1-IT1
ENSG00000202517.1	-0.15188310656307163	Gene symbol not found
ENSG00000230453.9	0.1501764865862697	ANKRD18B
ENSG00000172426.15	-0.1477574545464717	RSPH9
ENSG00000274904.1	-0.1465179515978109	Gene symbol not found
ENSG00000283377.1	-0.1455562312942155	Gene symbol not found
ENSG00000254294.1	-0.14547426674836694	IMPDH1P6
ENSG00000214121.4	-0.1425332199056314	PRDX1P1
ENSG00000168418.7	0.14249129555012452	KCNG4
ENSG00000248646.1	-0.14200710732857633	
ENSG00000255794.7	0.14178225578325573	RMST
ENSG00000196862.9	-0.1399835861783916	RGPD4
ENSG00000277697.1	-0.13942082186428764	
ENSG00000225075.1	0.13844908892353283	Gene symbol not found
ENSG00000276556.1	-0.13803248521794848	Gene symbol not found
ENSG00000259742.1	-0.1375587737220507	Gene symbol not found
ENSG00000258550.1	-0.13722289266441792	OR7E106P
ENSG00000230931.2	-0.1368315568358255	GXYLT1P1
ENSG00000273687.1	0.1349344997809228	Gene symbol not found
ENSG00000162722.8	-0.13348818703554033	TRIM58
ENSG00000164399.4	-0.13318516005653128	IL3
ENSG00000244308.2	-0.13058862804979537	RN7SL762P
ENSG00000172680.1	-0.12948910656547244	MOS
ENSG00000224566.2	-0.12906974589008618	CIAO2AP2
ENSG00000253642.5	0.1280753899134233	Gene symbol not found
ENSG00000236380.5	-0.1278191255284503	VENTXP7
ENSG00000178343.4	0.1273840742098384	SHISA3
ENSG00000134982.16	-0.1249011129652986	APC
ENSG00000207010.1	-0.12394542716854459	RNU6-318P
ENSG00000214415.3	-0.12418993710349545	GNAT3
