	Coef_skin_sun_exposed_lower_leg	Gene_name
ENSG00000156959.8	2.2062993491565512	LHFPL4
ENSG00000070019.4	1.111660537055394	GUCY2C
ENSG00000048540.14	1.0351937215150837	LMO3
ENSG00000154162.14	-1.0228023318786221	CDH12
ENSG00000255442.1	0.8764572540014167	Gene symbol not found
ENSG00000104044.15	-0.8279190855417115	OCA2
ENSG00000278318.4	-0.7923271157863642	ZNF229
ENSG00000224810.1	-0.768833283355593	Gene symbol not found
ENSG00000124253.10	-0.7570515187906486	PCK1
ENSG00000244694.7	0.7461149605119575	PTCHD4
ENSG00000181690.7	-0.7173356557314043	PLAG1
ENSG00000246627.6	0.6960632866162915	
ENSG00000226057.6	0.6118189206239995	PHF2P2
ENSG00000267733.5	0.5895285846385638	Gene symbol not found
ENSG00000007372.21	0.5796155142994062	PAX6
ENSG00000114378.16	0.5778479437075452	HYAL1
ENSG00000176998.4	0.5726112566879358	HCG4
ENSG00000180155.19	-0.5680613489532629	LYNX1
ENSG00000185008.17	-0.5495382358787732	ROBO2
ENSG00000207296.1	0.5413413567119593	RNU6-140P
ENSG00000176153.11	-0.5404697701568101	GPX2
ENSG00000229375.1	0.533929403094164	USP24P1
ENSG00000271447.5	0.5299009096502426	MMP28
ENSG00000112333.11	0.5291748364480556	NR2E1
ENSG00000110092.3	0.5130427955051609	CCND1
ENSG00000261104.1	-0.5047837871277849	Gene symbol not found
ENSG00000267508.5	-0.5017718556752336	ZNF285
ENSG00000100321.14	-0.49639159843293823	SYNGR1
ENSG00000254043.1	-0.4587048207485191	Gene symbol not found
ENSG00000179151.11	-0.4581223381771491	EDC3
ENSG00000072818.11	0.45658111441522325	ACAP1
ENSG00000235961.5	-0.44532842679127393	PNMA6A
ENSG00000105520.10	-0.4438196811702274	PLPPR2
ENSG00000136378.14	0.43462247627455514	ADAMTS7
ENSG00000235903.7	-0.43199075201859827	CPB2-AS1
ENSG00000114405.10	-0.43106060614321506	CEP15
ENSG00000172667.10	0.41400501842942883	ZMAT3
ENSG00000112852.6	0.41134552999322205	PCDHB2
ENSG00000164099.3	-0.40997153071439485	PRSS12
ENSG00000143320.8	0.39844327837886545	CRABP2
ENSG00000146521.9	0.38862622265166136	
ENSG00000235933.1	0.3861205712610666	LINC01779
ENSG00000163564.14	0.3860352442644266	PYHIN1
ENSG00000162722.8	0.38142322620821634	TRIM58
ENSG00000128311.13	0.36966082480152374	TST
ENSG00000184990.12	-0.3672260547785497	SIVA1
ENSG00000230587.1	0.3657349030326555	LINC02580
ENSG00000278937.1	-0.3651732465881777	
ENSG00000158023.9	0.3640882649466613	CFAP251
