	Coef_artery_aorta	Gene_name
ENSG00000081803.15	0.20798225065321874	CADPS2
ENSG00000126878.12	-0.15904489684739037	AIF1L
ENSG00000244694.7	0.15188051638103067	PTCHD4
ENSG00000244681.1	0.14987479962178668	MTHFD2P1
ENSG00000168779.19	0.14973169666129116	SHOX2
ENSG00000281706.2	-0.14972050869828668	LINC01012
ENSG00000185272.13	0.1439537582691766	RBM11
ENSG00000232860.7	-0.14069158197952641	SMG7-AS1
ENSG00000261786.1	-0.1406515946863204	Gene symbol not found
ENSG00000186472.19	0.14022338302503348	PCLO
ENSG00000082556.10	-0.13664438045236443	OPRK1
ENSG00000064205.10	0.13274995889809535	CCN5
ENSG00000151474.21	-0.12985699134938447	FRMD4A
ENSG00000050555.17	-0.12725798497547147	LAMC3
ENSG00000048540.14	0.12639296300131841	LMO3
ENSG00000196090.12	-0.12597625857485592	PTPRT
ENSG00000266050.2	-0.1239723224851796	Gene symbol not found
ENSG00000258695.2	0.12195325355389348	Gene symbol not found
ENSG00000072041.16	0.12167512198248415	SLC6A15
ENSG00000267504.1	0.11782700161162196	Gene symbol not found
ENSG00000206828.1	-0.11693603895031644	RNVU1-30
ENSG00000254585.2	-0.116827771648312	MAGEL2
ENSG00000198732.10	-0.11502431782638393	SMOC1
ENSG00000273036.2	0.11279663225801674	CYP4F33P
ENSG00000165325.13	0.11172687202306192	DEUP1
ENSG00000151948.11	-0.11104747625479472	GLT1D1
ENSG00000278530.4	0.11088365817702141	CHMP1B2P
ENSG00000215529.12	0.11063206545340984	EFCAB8
ENSG00000137968.16	-0.11031947286193991	SLC44A5
ENSG00000258675.1	-0.1092183173082358	LINC02308
ENSG00000239268.2	-0.1061598149463109	LINC03051
ENSG00000231784.8	-0.10591250797430743	DBIL5P
ENSG00000184500.14	0.10561906546945671	PROS1
ENSG00000086717.18	0.10544871365995015	PPEF1
ENSG00000188191.14	-0.10512348672154422	PRKAR1B
ENSG00000280435.1	-0.10332181587643181	Gene symbol not found
ENSG00000250361.7	0.10305160039436682	GYPB
ENSG00000179083.6	0.1023584032426275	FAM133A
ENSG00000230267.7	-0.10142213571342358	HERC2P4
ENSG00000171403.9	-0.10100879019141755	KRT9
ENSG00000276107.1	0.10091214675475821	THBS1-IT1
ENSG00000236155.6	-0.09948222721137844	ZPLD2P
ENSG00000176049.15	0.09838791561145051	JAKMIP2
ENSG00000167693.16	-0.09821302875404032	NXN
ENSG00000067221.13	0.0976080826314493	STOML1
ENSG00000233163.1	0.09741284644014646	RPS12P17
ENSG00000131941.7	-0.09718476603922392	RHPN2
ENSG00000249693.2	0.09692684437853356	SPMAP2L
ENSG00000162738.5	-0.09672146210917333	VANGL2
ENSG00000215105.4	0.09633650852458994	TTC3P1
