	Coef_adipose_subcutaneous	Gene_name
ENSG00000112319.17	1.5018960043104783	EYA4
ENSG00000048540.14	1.0871509066991105	LMO3
ENSG00000268079.1	0.7271148104653354	BNIP3P30
ENSG00000178163.7	-0.6953076100019412	ZNF518B
ENSG00000008300.16	0.5110496017736853	CELSR3
ENSG00000255836.1	-0.4953279499985798	Gene symbol not found
ENSG00000277156.1	0.49476829504446573	TOMM40P1
ENSG00000198838.13	0.4832642043087515	RYR3
ENSG00000205213.13	-0.45724547409802113	LGR4
ENSG00000278530.4	0.4477655543177595	CHMP1B2P
ENSG00000244694.7	0.42263298395342064	PTCHD4
ENSG00000147231.13	0.4138605109568556	RADX
ENSG00000189233.11	0.41167763930361995	NUGGC
ENSG00000228526.6	0.40175951316555164	MIR34AHG
ENSG00000182168.14	0.4006563878992483	UNC5C
ENSG00000207291.1	0.39791175648290644	RNU6-30P
ENSG00000101405.3	-0.39548607891642007	OXT
ENSG00000180817.11	0.3830076886173398	PPA1
ENSG00000141431.10	0.3784759610031722	ASXL3
ENSG00000185090.14	0.3780168134486169	MANEAL
ENSG00000118526.6	0.37401901668275606	TCF21
ENSG00000266236.1	0.36882313199755695	NARF-IT1
ENSG00000174292.12	0.36446578237983035	TNK1
ENSG00000053438.8	-0.3528990048103123	NNAT
ENSG00000271709.1	0.34665615287509743	Gene symbol not found
ENSG00000267374.1	-0.34357284516861336	MIR924HG
ENSG00000101955.14	-0.3433968361632518	SRPX
ENSG00000261340.1	-0.34336672164089255	LINC01616
ENSG00000255468.6	-0.34203417307016853	B4GAT1-DT
ENSG00000172247.3	-0.33960624257311467	C1QTNF4
ENSG00000236536.1	-0.33358908100827545	Gene symbol not found
ENSG00000275322.1	-0.3303385201388433	Gene symbol not found
ENSG00000160233.7	-0.3260063164842344	LRRC3
ENSG00000250742.2	0.3256771089979948	LINC02381
ENSG00000112599.8	0.32392828817878716	GUCA1B
ENSG00000206052.10	-0.3168424371618145	DOK6
ENSG00000165478.6	0.3142811276624374	HEPACAM
ENSG00000253958.1	-0.31181135812297905	CLDN23
ENSG00000217330.1	0.3086706425009337	SSXP10
ENSG00000181036.13	0.30820051111438884	FCRL6
ENSG00000172667.10	0.3081169461637611	ZMAT3
ENSG00000196878.14	-0.30535672995527885	LAMB3
ENSG00000141576.14	0.3051697025525144	RNF157
ENSG00000101882.9	0.30412796999372294	NKAP
ENSG00000262001.1	-0.3031189899177291	DLGAP1-AS2
ENSG00000131080.14	0.3028117345985635	EDA2R
ENSG00000163637.12	-0.2994575608518281	PRICKLE2
ENSG00000263335.1	0.2990008067840286	Gene symbol not found
ENSG00000229901.1	0.2973826847194636	FOXO6-AS1
