	Coef_adipose_subcutaneous	Gene_name
ENSG00000112319.17	1.5083588176842737	EYA4
ENSG00000048540.14	1.0939426026189993	LMO3
ENSG00000268079.1	0.7243762195116625	BNIP3P30
ENSG00000178163.7	-0.6910893334302565	ZNF518B
ENSG00000255836.1	-0.5111236862800526	Gene symbol not found
ENSG00000008300.16	0.5072660664169898	CELSR3
ENSG00000277156.1	0.4938467449427937	TOMM40P1
ENSG00000198838.13	0.4929416667882953	RYR3
ENSG00000205213.13	-0.45015164279701886	LGR4
ENSG00000278530.4	0.446146532572515	CHMP1B2P
ENSG00000244694.7	0.43126598723494664	PTCHD4
ENSG00000189233.11	0.42737368253599445	NUGGC
ENSG00000147231.13	0.41911659323148936	RADX
ENSG00000228526.6	0.4079116248043027	MIR34AHG
ENSG00000207291.1	0.40429017901553926	RNU6-30P
ENSG00000182168.14	0.39261199853151263	UNC5C
ENSG00000101405.3	-0.3868058345891177	OXT
ENSG00000141431.10	0.38562979297247196	ASXL3
ENSG00000180817.11	0.3803370604438361	PPA1
ENSG00000185090.14	0.3774647266122433	MANEAL
ENSG00000174292.12	0.3702628633553867	TNK1
ENSG00000266236.1	0.36599801514360053	NARF-IT1
ENSG00000118526.6	0.3599826616080238	TCF21
ENSG00000053438.8	-0.3518135783211487	NNAT
ENSG00000236536.1	-0.34926355596898595	Gene symbol not found
ENSG00000267374.1	-0.3484722278590099	MIR924HG
ENSG00000101955.14	-0.3478667938788013	SRPX
ENSG00000255468.6	-0.34291534527522666	B4GAT1-DT
ENSG00000271709.1	0.3393159410413067	Gene symbol not found
ENSG00000261340.1	-0.3357334113948141	LINC01616
ENSG00000172247.3	-0.332670733508471	C1QTNF4
ENSG00000112599.8	0.3304620406593759	GUCA1B
ENSG00000275322.1	-0.32600906799173285	Gene symbol not found
ENSG00000250742.2	0.32521576596237384	LINC02381
ENSG00000206052.10	-0.32316460192240165	DOK6
ENSG00000165478.6	0.3204696847913276	HEPACAM
ENSG00000101882.9	0.3160941694670112	NKAP
ENSG00000217330.1	0.31465758573995745	SSXP10
ENSG00000160233.7	-0.31393163973003474	LRRC3
ENSG00000181036.13	0.3131819710683669	FCRL6
ENSG00000172667.10	0.3128162879234005	ZMAT3
ENSG00000131080.14	0.31204706935645976	EDA2R
ENSG00000141576.14	0.3079140003632331	RNF157
ENSG00000262001.1	-0.30495217625560356	DLGAP1-AS2
ENSG00000132623.15	0.3035393798641841	ANKEF1
ENSG00000253958.1	-0.30292646868108836	CLDN23
ENSG00000131771.13	-0.3010388047748043	PPP1R1B
ENSG00000229901.1	0.2976409100386166	FOXO6-AS1
ENSG00000112936.18	0.29647555731922276	C7
