	Coef_pituitary	Gene_name
ENSG00000180105.11	-0.4112196033305027	ACER2P1
ENSG00000244694.7	0.32647647965037613	PTCHD4
ENSG00000252719.1	-0.32481754292986315	Gene symbol not found
ENSG00000185088.13	0.3203673043979921	RPS27L
ENSG00000131080.14	0.30872894264957923	EDA2R
ENSG00000252591.1	-0.30681228337511773	RNA5SP468
ENSG00000173535.13	0.2826814762636011	TNFRSF10C
ENSG00000117594.9	0.2740325642105374	HSD11B1
ENSG00000213816.3	-0.2729410455088902	CNN2P4
ENSG00000255492.1	-0.2606874751527479	H3P33
ENSG00000260255.1	-0.26055464770149356	Gene symbol not found
ENSG00000232139.5	-0.25289995993593595	LINC00867
ENSG00000202272.1	-0.24666234584005758	Y_RNA
ENSG00000269526.1	-0.24366580209376668	ERVV-1
ENSG00000278698.1	-0.23039656722841204	Gene symbol not found
ENSG00000280436.1	-0.23032732923626678	Gene symbol not found
ENSG00000134574.11	0.22796838025528313	DDB2
ENSG00000236136.1	0.22547033731575555	ADORA2BP1
ENSG00000235623.2	-0.2203791680866382	OR7E110P
ENSG00000216977.1	0.2133308719002368	RPL21P65
ENSG00000232939.1	-0.21214867851638586	Gene symbol not found
ENSG00000203531.3	-0.2092856307428176	Gene symbol not found
ENSG00000255489.1	-0.2078132743932762	Gene symbol not found
ENSG00000268994.3	-0.19813824408746047	FAM236B
ENSG00000237978.5	0.1973941375099416	KCNMB2-AS1
ENSG00000243539.3	-0.19264536012875397	RN7SL649P
ENSG00000252778.1	-0.18922547347302782	Gene symbol not found
ENSG00000100593.17	-0.1884930670869686	ISM2
ENSG00000177770.11	-0.18750740534513474	CDKN2AIPNLP1
ENSG00000253305.2	-0.18619988502710955	PCDHGB6
ENSG00000270900.1	-0.18356844856009927	NUDT19P4
ENSG00000234913.1	-0.18193352483477862	Gene symbol not found
ENSG00000251874.1	-0.18171903753850266	RNU6-615P
ENSG00000279954.1	-0.17957418219674215	Gene symbol not found
ENSG00000228162.1	-0.17735706386394906	Gene symbol not found
ENSG00000226320.5	-0.1761938646572403	LINC01811
ENSG00000252919.1	-0.17584741170527782	Y_RNA
ENSG00000173451.6	-0.17299088097681573	THAP2
ENSG00000178163.7	-0.17208613184883928	ZNF518B
ENSG00000267289.1	-0.17066113218612097	PIN1-DT
ENSG00000278200.1	-0.16468908289008222	LINC01971
ENSG00000236886.2	-0.1624237687734927	
ENSG00000235151.1	-0.16077892635625698	Gene symbol not found
ENSG00000113494.16	-0.1598158119796667	PRLR
ENSG00000272748.1	-0.15924211591385745	Gene symbol not found
ENSG00000254251.1	0.1588661055943502	Gene symbol not found
ENSG00000180662.8	-0.1587998400311753	RPL21P8
ENSG00000061337.15	-0.15859363246975391	LZTS1
ENSG00000272969.1	-0.15817496344433774	Gene symbol not found
ENSG00000240423.1	-0.15799360619593222	LINC00636
