	Coef_colon_sigmoid	Gene_name
ENSG00000112319.17	0.4139529745367065	EYA4
ENSG00000228526.6	0.40123923272003253	MIR34AHG
ENSG00000244694.7	0.3772861831202627	PTCHD4
ENSG00000170049.9	-0.3483454305013844	KCNAB3
ENSG00000248799.1	-0.30715093804906346	Gene symbol not found
ENSG00000147889.17	0.29877460077467505	CDKN2A
ENSG00000138829.11	-0.2718014387234878	FBN2
ENSG00000131080.14	0.2692556494786761	EDA2R
ENSG00000250337.5	0.26277334624030313	PURPL
ENSG00000227708.1	-0.26180505109555285	LINC01850
ENSG00000200036.1	-0.2575746154220314	RNA5SP65
ENSG00000244681.1	0.2547304617202696	MTHFD2P1
ENSG00000270212.1	-0.25277029980132343	Gene symbol not found
ENSG00000237438.7	0.24514145952780103	CECR7
ENSG00000281937.1	0.22685745542789137	
ENSG00000227704.1	-0.21954611695684736	Gene symbol not found
ENSG00000064655.18	0.20658688227798194	EYA2
ENSG00000273455.1	0.20280079534424061	Gene symbol not found
ENSG00000206195.10	0.20146562427506046	DUXAP8
ENSG00000225511.6	0.19803718961777603	LINC00475
ENSG00000224988.1	-0.19270912541625293	Gene symbol not found
ENSG00000168828.5	0.19150229826890572	OR13J1
ENSG00000162639.15	-0.18445501450791513	HENMT1
ENSG00000255159.1	-0.18156676054467624	DENND2B-AS1
ENSG00000273604.1	-0.18040875272232731	EPOP
ENSG00000198807.12	0.17975185639660923	PAX9
ENSG00000223284.1	-0.17966296917058552	RNU6-195P
ENSG00000233254.1	0.17956485820024376	RPL21P134
ENSG00000267282.1	0.1794982520508797	Gene symbol not found
ENSG00000196109.6	0.17806335706201415	ZNF676
ENSG00000217004.1	-0.1749930397831166	Gene symbol not found
ENSG00000269947.1	-0.17352847433412363	Gene symbol not found
ENSG00000081803.15	0.17266267842561286	CADPS2
ENSG00000213225.7	-0.16823880392018503	NOC2LP1
ENSG00000168779.19	0.16740175542979724	SHOX2
ENSG00000272922.1	0.16303227925932237	
ENSG00000278530.4	0.16217806970696505	CHMP1B2P
ENSG00000111339.10	0.16121863018997576	ART4
ENSG00000268079.1	0.16100467936995502	BNIP3P30
ENSG00000255408.3	0.16045603814107906	PCDHA3
ENSG00000237512.6	0.16026613325014558	UNC5B-AS1
ENSG00000164109.13	-0.15951707889571642	MAD2L1
ENSG00000231952.3	-0.157501525278817	DPY19L1P2
ENSG00000249973.2	0.15693770492900744	CHCHD2P7
ENSG00000130943.6	-0.15610817087400908	PKDREJ
ENSG00000226925.1	-0.1541882330840815	IL1R1-AS1
ENSG00000113810.15	-0.153827828821317	SMC4
ENSG00000198963.10	0.15312365922751536	RORB
ENSG00000260304.1	0.15155594136656064	Gene symbol not found
