	Coef_artery_coronary	Gene_name
ENSG00000163515.6	-0.6562833889394525	RETNLB
ENSG00000261075.1	-0.6397317344188416	LINC01195
ENSG00000048540.14	0.6120054668511966	LMO3
ENSG00000170381.12	0.5838796135896032	SEMA3E
ENSG00000244694.7	0.5457502245816086	PTCHD4
ENSG00000258641.1	-0.5337690757521452	OR4T1P
ENSG00000196427.13	0.4590827421760621	NBPF4
ENSG00000101977.19	0.4321979853079177	MCF2
ENSG00000252719.1	-0.4311301117008453	Gene symbol not found
ENSG00000270000.1	-0.4255342444984647	Gene symbol not found
ENSG00000261437.1	0.41696368556163954	LINC02894
ENSG00000146352.12	0.40710667634132397	CLVS2
ENSG00000224846.2	0.40104011049553734	NQO2-AS1
ENSG00000265359.1	-0.39608585337377517	Gene symbol not found
ENSG00000260804.3	-0.38585132563705066	LINC01963
ENSG00000249412.1	0.38529198180775687	Gene symbol not found
ENSG00000235595.1	-0.3797961958727884	GAPDHP23
ENSG00000201811.1	-0.37652395946246253	SNORA71
ENSG00000279348.1	-0.3756502335137542	Gene symbol not found
ENSG00000081803.15	0.3737474289187219	CADPS2
ENSG00000134533.6	0.3680412714824163	RERG
ENSG00000242634.1	0.36347098793478005	RPS24P16
ENSG00000236290.1	-0.3602192788909271	EEF1GP7
ENSG00000271321.1	0.3578148490863581	CTAGE6
ENSG00000207494.1	-0.3447512128302184	Y_RNA
ENSG00000253147.5	-0.3428866782025336	LINC03023
ENSG00000229251.3	-0.33643373690330125	HNRNPA1P8
ENSG00000224897.6	0.32695435790209115	POT1-AS1
ENSG00000257395.1	-0.3205157727686858	Gene symbol not found
ENSG00000167104.11	-0.3196550478131413	BPIFB6
ENSG00000205898.3	0.31461702223084465	Gene symbol not found
ENSG00000224510.2	-0.3130251884392473	POLR2KP2
ENSG00000227413.1	0.3102761732113469	Gene symbol not found
ENSG00000105699.16	-0.30753671266528826	LSR
ENSG00000277120.5	-0.3024082693854845	MIR6089
ENSG00000220848.4	0.29646796996851194	RPS18P9
ENSG00000225636.1	0.2938010115849389	HNRNPA3P15
ENSG00000037757.13	0.29119949339520884	MRI1
ENSG00000270750.1	0.2911313292387249	
ENSG00000246130.1	0.2860913456752032	TNFRSF10B-AS1
ENSG00000260473.2	-0.2808992549331344	Gene symbol not found
ENSG00000182963.9	-0.2782956810375601	GJC1
ENSG00000183506.17	0.27152045465251423	PI4KAP2
ENSG00000183386.9	-0.2685236572344049	FHL3
ENSG00000105643.9	-0.2682341373649473	ARRDC2
ENSG00000270809.1	0.26773363676839357	CHCHD2P11
ENSG00000100368.13	-0.2663637414434571	CSF2RB
ENSG00000217414.2	-0.2584126968415582	DDX18P3
ENSG00000279645.1	-0.2554478116187485	
ENSG00000267515.1	0.2517301555491793	Gene symbol not found
