	Coef_pituitary	Gene_name
ENSG00000180105.11	-0.3976346127515387	ACER2P1
ENSG00000252719.1	-0.33580702124826445	Gene symbol not found
ENSG00000244694.7	0.32167177359312554	PTCHD4
ENSG00000185088.13	0.31886186625913604	RPS27L
ENSG00000131080.14	0.3080619420678964	EDA2R
ENSG00000252591.1	-0.30409691896898394	RNA5SP468
ENSG00000213816.3	-0.27750710766115955	CNN2P4
ENSG00000173535.13	0.2744635262751667	TNFRSF10C
ENSG00000255492.1	-0.26865202892391793	H3P33
ENSG00000117594.9	0.2672741979989515	HSD11B1
ENSG00000260255.1	-0.26697015252263556	Gene symbol not found
ENSG00000202272.1	-0.2511950815674061	Y_RNA
ENSG00000269526.1	-0.2439186983010725	ERVV-1
ENSG00000232139.5	-0.24350001254725984	LINC00867
ENSG00000236136.1	0.23182456146972477	ADORA2BP1
ENSG00000280436.1	-0.2301937811029888	Gene symbol not found
ENSG00000278698.1	-0.23004243673612912	Gene symbol not found
ENSG00000134574.11	0.22650982512541679	DDB2
ENSG00000235623.2	-0.22011561101230417	OR7E110P
ENSG00000216977.1	0.2181688511835195	RPL21P65
ENSG00000203531.3	-0.21349337085013276	Gene symbol not found
ENSG00000237978.5	0.20432691690816412	KCNMB2-AS1
ENSG00000232939.1	-0.20357299814571458	Gene symbol not found
ENSG00000268994.3	-0.19836042706830342	FAM236B
ENSG00000255489.1	-0.1977020600997635	Gene symbol not found
ENSG00000243539.3	-0.1953711823889684	RN7SL649P
ENSG00000252778.1	-0.195303595844203	Gene symbol not found
ENSG00000234913.1	-0.1910505083770244	Gene symbol not found
ENSG00000100593.17	-0.18852067607464765	ISM2
ENSG00000228162.1	-0.1870798070930025	Gene symbol not found
ENSG00000252919.1	-0.18703615758835035	Y_RNA
ENSG00000270900.1	-0.18644016162864196	NUDT19P4
ENSG00000177770.11	-0.18200791049910897	CDKN2AIPNLP1
ENSG00000226320.5	-0.1817064226288672	LINC01811
ENSG00000279954.1	-0.18072458165223418	Gene symbol not found
ENSG00000253305.2	-0.1798891572724059	PCDHGB6
ENSG00000251874.1	-0.1758317468181104	RNU6-615P
ENSG00000267289.1	-0.1742291000827399	PIN1-DT
ENSG00000178163.7	-0.17269046865313792	ZNF518B
ENSG00000235151.1	-0.16749219522133293	Gene symbol not found
ENSG00000173451.6	-0.1641644678753795	THAP2
ENSG00000240423.1	-0.16399607383115808	LINC00636
ENSG00000234379.1	-0.16374708904926383	HMGB1P48
ENSG00000236886.2	-0.16318819262405984	
ENSG00000278200.1	-0.16157177198921632	LINC01971
ENSG00000254251.1	0.16064265558622481	Gene symbol not found
ENSG00000180662.8	-0.16034679714729116	RPL21P8
ENSG00000113494.16	-0.16028650179436418	PRLR
ENSG00000273568.1	0.15923038872084178	Gene symbol not found
ENSG00000061337.15	-0.15899721111506787	LZTS1
