	Coef_heart_atrial_appendage	Gene_name
ENSG00000261292.2	0.7613289779236662	Gene symbol not found
ENSG00000177791.11	0.7111457513965335	MYOZ1
ENSG00000151136.14	-0.6800760738206479	ABTB3
ENSG00000228034.1	-0.6270651931150719	HMGN2P21
ENSG00000131080.14	0.6102038593119279	EDA2R
ENSG00000226816.2	-0.5929658715230105	Gene symbol not found
ENSG00000102924.11	-0.5732582808360748	CBLN1
ENSG00000074211.13	-0.5715352455541024	PPP2R2C
ENSG00000244694.7	0.5698965402732874	PTCHD4
ENSG00000244681.1	0.5594233792051885	MTHFD2P1
ENSG00000250337.5	0.5379663212319558	PURPL
ENSG00000234546.3	0.5036250008845593	LNCTAM34A
ENSG00000250241.5	0.4865137493796701	PCDH10-DT
ENSG00000222705.1	-0.4863179952136022	RN7SKP39
ENSG00000163898.9	0.476835605640083	LIPH
ENSG00000138650.8	0.4758626576689016	PCDH10
ENSG00000080224.17	0.46353808263263485	EPHA6
ENSG00000237978.5	0.46198479082247534	KCNMB2-AS1
ENSG00000133640.18	0.45599334542589365	LRRIQ1
ENSG00000178075.19	0.45280887343402204	GRAMD1C
ENSG00000171094.16	0.4376982363401896	ALK
ENSG00000111664.10	0.4226370744632186	GNB3
ENSG00000164695.4	-0.41820672441293716	CHMP4C
ENSG00000235570.1	-0.4071880559348477	LINC00533
ENSG00000167766.18	-0.3969507365858333	ZNF83
ENSG00000244306.10	0.3938333003938973	DUXAP10
ENSG00000242173.8	0.3924187079277735	ARHGDIG
ENSG00000133816.13	0.3921684381048528	MICAL2
ENSG00000249738.8	-0.3808297483190824	Gene symbol not found
ENSG00000273356.1	0.3749568511880405	LINC02019
ENSG00000181104.6	-0.37325546448593794	F2R
ENSG00000048540.14	0.37285590611650676	LMO3
ENSG00000151746.13	-0.364874670923344	BICD1
ENSG00000174326.11	-0.3476899635244112	SLC16A11
ENSG00000106302.9	0.3431133096625475	HYAL4
ENSG00000163453.11	-0.33273368464417524	IGFBP7
ENSG00000186105.7	-0.31939436245865876	LRRC70
ENSG00000233613.5	0.3188690812489242	DCUN1D2-AS
ENSG00000073060.15	0.31759451886974316	SCARB1
ENSG00000228526.6	0.3120500884979906	MIR34AHG
ENSG00000182492.15	-0.31007785442749547	BGN
ENSG00000228828.1	0.30880278441994036	TLK2P2
ENSG00000122176.10	-0.30620388353723127	FMOD
ENSG00000102886.14	-0.29870923152851914	GDPD3
ENSG00000145246.13	-0.2980243093913248	ATP10D
ENSG00000259054.1	-0.2964878475501435	LINC02332
ENSG00000163071.10	0.2926582855526623	SPATA18
ENSG00000280234.1	0.2919465996112742	Gene symbol not found
ENSG00000204387.12	-0.2894358686067269	SNHG32
