	Coef_nerve_tibial	Gene_name
ENSG00000072041.16	0.49359352235777654	SLC6A15
ENSG00000237125.8	0.4017352863662911	HAND2-AS1
ENSG00000204764.13	-0.4000685739745574	RANBP17
ENSG00000196109.6	0.3994499912984311	ZNF676
ENSG00000131080.14	0.38874403229528154	EDA2R
ENSG00000178163.7	-0.3808060207397778	ZNF518B
ENSG00000171551.11	-0.3737360725343534	ECEL1
ENSG00000244681.1	0.37142642442516555	MTHFD2P1
ENSG00000244694.7	0.3604034582642458	PTCHD4
ENSG00000204876.4	0.3484406879928656	Gene symbol not found
ENSG00000196767.6	0.34259345629406046	POU3F4
ENSG00000184905.8	0.334250579365171	TCEAL2
ENSG00000164107.8	0.3219146341768589	HAND2
ENSG00000163564.14	0.3214681565966422	PYHIN1
ENSG00000100285.9	-0.3209434487471266	NEFH
ENSG00000128710.5	0.2992456726380211	HOXD10
ENSG00000128713.13	0.291531230917784	HOXD11
ENSG00000040731.10	0.2847116517327916	CDH10
ENSG00000164690.7	0.2795815712493597	SHH
ENSG00000189233.11	0.27471096165088105	NUGGC
ENSG00000250957.1	0.26431951374177654	
ENSG00000136944.17	-0.23899041672148635	LMX1B
ENSG00000152467.9	-0.23711652875944025	ZSCAN1
ENSG00000180347.13	0.23351187949470376	ITPRID1
ENSG00000203797.9	0.22852258576212212	DDO
ENSG00000008196.12	0.22807717637581895	TFAP2B
ENSG00000112319.17	0.22698516635680815	EYA4
ENSG00000134853.11	-0.2265160369177387	PDGFRA
ENSG00000179909.15	-0.22006394464855317	ZNF154
ENSG00000179399.14	0.21629549315185026	GPC5
ENSG00000204519.10	-0.21572334535847495	ZNF551
ENSG00000186205.12	0.2134968373502213	MTARC1
ENSG00000176658.16	0.21310774899690685	MYO1D
ENSG00000226711.6	-0.21273152014378732	FAM66C
ENSG00000181023.6	0.2125206057112661	OR56B1
ENSG00000159496.14	-0.2097291294195774	RGL4
ENSG00000172667.10	0.20815111538584294	ZMAT3
ENSG00000162461.7	0.20748749500990313	SLC25A34
ENSG00000121335.11	0.20742798682677868	PRB2
ENSG00000168556.6	-0.20476437048426496	ING2
ENSG00000272872.1	0.20405000200730022	
ENSG00000184144.11	0.20358281215888407	CNTN2
ENSG00000259236.1	0.19950278648720876	GOLGA8VP
ENSG00000124205.15	-0.19712515164857267	EDN3
ENSG00000261587.2	0.1941101221559831	TMEM249
ENSG00000250337.5	0.19293391173804858	PURPL
ENSG00000228971.2	-0.1873745350775191	LINC02607
ENSG00000213642.3	-0.18605770299273217	Gene symbol not found
ENSG00000174482.10	0.18416157197714222	LINGO2
ENSG00000256720.1	0.1840422026109145	BTG1P1
