	Coef_skin_sun_exposed_lower_leg	Gene_name
ENSG00000156959.8	2.23074517334027	LHFPL4
ENSG00000070019.4	1.1114472978266763	GUCY2C
ENSG00000048540.14	1.042713094816719	LMO3
ENSG00000154162.14	-1.0229902901055445	CDH12
ENSG00000255442.1	0.8828843994698665	Gene symbol not found
ENSG00000104044.15	-0.8416940258102956	OCA2
ENSG00000278318.4	-0.8185227732681333	ZNF229
ENSG00000124253.10	-0.7657638234249786	PCK1
ENSG00000224810.1	-0.7647122774380323	Gene symbol not found
ENSG00000244694.7	0.7566052323259914	PTCHD4
ENSG00000181690.7	-0.7147092928249715	PLAG1
ENSG00000246627.6	0.6901748402394476	
ENSG00000226057.6	0.6138165775802262	PHF2P2
ENSG00000114378.16	0.5870375183749417	HYAL1
ENSG00000267733.5	0.5778553588410335	Gene symbol not found
ENSG00000176998.4	0.5696421243854101	HCG4
ENSG00000180155.19	-0.5696039169863764	LYNX1
ENSG00000007372.21	0.565940058093824	PAX6
ENSG00000185008.17	-0.5574731085669283	ROBO2
ENSG00000176153.11	-0.5478661112196918	GPX2
ENSG00000112333.11	0.5406730694148719	NR2E1
ENSG00000207296.1	0.5395181256751919	RNU6-140P
ENSG00000229375.1	0.5318061037122888	USP24P1
ENSG00000271447.5	0.5272984296314124	MMP28
ENSG00000267508.5	-0.5108904075927148	ZNF285
ENSG00000110092.3	0.5071646731774969	CCND1
ENSG00000100321.14	-0.5057589026773746	SYNGR1
ENSG00000261104.1	-0.4970155183238966	Gene symbol not found
ENSG00000072818.11	0.4665545094381918	ACAP1
ENSG00000254043.1	-0.4584175828409445	Gene symbol not found
ENSG00000235961.5	-0.45360195956763105	PNMA6A
ENSG00000179151.11	-0.44213454242865186	EDC3
ENSG00000136378.14	0.4413800745056647	ADAMTS7
ENSG00000105520.10	-0.43581570190651414	PLPPR2
ENSG00000235903.7	-0.4329764662698312	CPB2-AS1
ENSG00000114405.10	-0.4306976137331839	CEP15
ENSG00000172667.10	0.4208573603750362	ZMAT3
ENSG00000235933.1	0.40966945660706927	LINC01779
ENSG00000146521.9	0.4071829691485387	
ENSG00000164099.3	-0.4026927079486128	PRSS12
ENSG00000112852.6	0.39841299950872366	PCDHB2
ENSG00000162722.8	0.3886830726679058	TRIM58
ENSG00000163564.14	0.38502027572426883	PYHIN1
ENSG00000143320.8	0.3843473887876455	CRABP2
ENSG00000230587.1	0.37429605237171515	LINC02580
ENSG00000128311.13	0.37252533381909947	TST
ENSG00000278937.1	-0.37235459517271774	
ENSG00000184990.12	-0.36762589502763643	SIVA1
ENSG00000158023.9	0.36316831475468947	CFAP251
