	Coef_pituitary	Gene_name
ENSG00000180105.11	-0.39229586994278814	ACER2P1
ENSG00000252719.1	-0.32935737113748953	Gene symbol not found
ENSG00000244694.7	0.327532468360193	PTCHD4
ENSG00000185088.13	0.3150710969473259	RPS27L
ENSG00000252591.1	-0.3146748866434751	RNA5SP468
ENSG00000131080.14	0.30678112597910756	EDA2R
ENSG00000173535.13	0.27226636639504465	TNFRSF10C
ENSG00000213816.3	-0.2698462033082851	CNN2P4
ENSG00000255492.1	-0.2643280285861702	H3P33
ENSG00000260255.1	-0.2633982435223697	Gene symbol not found
ENSG00000117594.9	0.2609634517868872	HSD11B1
ENSG00000202272.1	-0.24687466022665777	Y_RNA
ENSG00000232139.5	-0.24562393676343616	LINC00867
ENSG00000269526.1	-0.24044934267145765	ERVV-1
ENSG00000278698.1	-0.22582383016350202	Gene symbol not found
ENSG00000235623.2	-0.2252229754726319	OR7E110P
ENSG00000280436.1	-0.22396285107568228	Gene symbol not found
ENSG00000134574.11	0.22392608427171132	DDB2
ENSG00000236136.1	0.22290351655038018	ADORA2BP1
ENSG00000216977.1	0.21727469487811626	RPL21P65
ENSG00000203531.3	-0.21103189896797356	Gene symbol not found
ENSG00000237978.5	0.2014677072926568	KCNMB2-AS1
ENSG00000255489.1	-0.20060548268063944	Gene symbol not found
ENSG00000232939.1	-0.20052331011393304	Gene symbol not found
ENSG00000268994.3	-0.19180944967867625	FAM236B
ENSG00000251874.1	-0.19156698386083917	RNU6-615P
ENSG00000252778.1	-0.19056573412271444	Gene symbol not found
ENSG00000243539.3	-0.18402870078566366	RN7SL649P
ENSG00000234913.1	-0.1862929441467372	Gene symbol not found
ENSG00000100593.17	-0.18600885045035445	ISM2
ENSG00000270900.1	-0.1859651671940851	NUDT19P4
ENSG00000228162.1	-0.1819719938996118	Gene symbol not found
ENSG00000226320.5	-0.1813905582931995	LINC01811
ENSG00000177770.11	-0.18076957073843056	CDKN2AIPNLP1
ENSG00000279954.1	-0.18031647789594182	Gene symbol not found
ENSG00000253305.2	-0.1798754985050867	PCDHGB6
ENSG00000252919.1	-0.17653458270515193	Y_RNA
ENSG00000267289.1	-0.1739522636478706	PIN1-DT
ENSG00000178163.7	-0.170705247545721	ZNF518B
ENSG00000235151.1	-0.16993706215751986	Gene symbol not found
ENSG00000173451.6	-0.1649907457306717	THAP2
ENSG00000268866.1	-0.1634686511414602	Gene symbol not found
ENSG00000278200.1	-0.1627859141351901	LINC01971
ENSG00000240423.1	-0.1626548601659229	LINC00636
ENSG00000236886.2	-0.16241451902815884	
ENSG00000273568.1	0.1615549446921523	Gene symbol not found
ENSG00000254251.1	0.1614581029173734	Gene symbol not found
ENSG00000233108.1	-0.15933600000602482	GLCCI1-DT
ENSG00000234379.1	-0.1585187469304478	HMGB1P48
ENSG00000180662.8	-0.15687330473960093	RPL21P8
