	Coef_skin_sun_exposed_lower_leg	Gene_name
ENSG00000156959.8	2.2180517656320924	LHFPL4
ENSG00000070019.4	1.1075788954393944	GUCY2C
ENSG00000048540.14	1.0421312227194979	LMO3
ENSG00000154162.14	-1.0226225712964048	CDH12
ENSG00000255442.1	0.8871060908739146	Gene symbol not found
ENSG00000104044.15	-0.8552537895362307	OCA2
ENSG00000278318.4	-0.8100931602632021	ZNF229
ENSG00000124253.10	-0.7528056825947211	PCK1
ENSG00000224810.1	-0.752692817934076	Gene symbol not found
ENSG00000244694.7	0.7526232429156996	PTCHD4
ENSG00000181690.7	-0.7089741029178616	PLAG1
ENSG00000246627.6	0.7010433523542718	
ENSG00000226057.6	0.602300440814586	PHF2P2
ENSG00000114378.16	0.5877265480523567	HYAL1
ENSG00000267733.5	0.5840800356211968	Gene symbol not found
ENSG00000180155.19	-0.579383262881358	LYNX1
ENSG00000176998.4	0.5690849709376189	HCG4
ENSG00000185008.17	-0.5544651678679869	ROBO2
ENSG00000007372.21	0.5497993090102751	PAX6
ENSG00000207296.1	0.538560673065495	RNU6-140P
ENSG00000112333.11	0.5385300999402166	NR2E1
ENSG00000271447.5	0.5371499477177231	MMP28
ENSG00000229375.1	0.5365800558780793	USP24P1
ENSG00000176153.11	-0.5309405784981402	GPX2
ENSG00000110092.3	0.507974012647748	CCND1
ENSG00000267508.5	-0.5045426807265179	ZNF285
ENSG00000100321.14	-0.5022827800511706	SYNGR1
ENSG00000261104.1	-0.49891324733891484	Gene symbol not found
ENSG00000072818.11	0.4535608233878482	ACAP1
ENSG00000254043.1	-0.44902519548619374	Gene symbol not found
ENSG00000235961.5	-0.4435796343679189	PNMA6A
ENSG00000105520.10	-0.4423218632109121	PLPPR2
ENSG00000179151.11	-0.43914677109303096	EDC3
ENSG00000136378.14	0.4350651208178919	ADAMTS7
ENSG00000235903.7	-0.42959931580119415	CPB2-AS1
ENSG00000114405.10	-0.4199057287162614	CEP15
ENSG00000112852.6	0.4159338175634398	PCDHB2
ENSG00000164099.3	-0.41561872088953206	PRSS12
ENSG00000172667.10	0.4059004170313094	ZMAT3
ENSG00000162722.8	0.4024057939019153	TRIM58
ENSG00000146521.9	0.40148409893334563	
ENSG00000143320.8	0.3938244064832131	CRABP2
ENSG00000235933.1	0.3911232547275564	LINC01779
ENSG00000163564.14	0.38388385330266483	PYHIN1
ENSG00000278937.1	-0.3778852698179356	
ENSG00000184990.12	-0.37494952157392364	SIVA1
ENSG00000128311.13	0.36855971712731844	TST
ENSG00000230587.1	0.3626850535397509	LINC02580
ENSG00000181061.13	0.36037625920022165	HIGD1A
