	Coef_brain_cerebellum	Gene_name
ENSG00000257711.1	0.11528373272026693	
ENSG00000279039.1	-0.09465498069451835	
ENSG00000052344.15	0.09084983319008229	PRSS8
ENSG00000117594.9	0.08970993759452699	HSD11B1
ENSG00000175718.9	0.08965395432299904	RBMXL3
ENSG00000151718.15	-0.08572956360718273	WWC2
ENSG00000089225.19	0.08409370941288569	TBX5
ENSG00000187867.8	0.07871204980277383	PALM3
ENSG00000227432.1	0.0781456064364597	ASIC4-AS1
ENSG00000145888.10	0.07648293367325192	GLRA1
ENSG00000271178.1	-0.07635957806315281	IGHV3OR16-13
ENSG00000253293.4	-0.07626043663924949	HOXA10
ENSG00000235070.3	-0.07544704172008102	Gene symbol not found
ENSG00000266227.1	-0.07528328498471665	NPM1P2
ENSG00000249005.3	-0.07376107474407138	FAM90A4P
ENSG00000213435.3	-0.07281663620717452	ATP6V0CP3
ENSG00000221977.1	-0.07276692404427985	OR4E2
ENSG00000236968.1	-0.0727172926863959	Gene symbol not found
ENSG00000131095.12	0.07263054786169493	GFAP
ENSG00000248229.1	-0.07170046207765796	Gene symbol not found
ENSG00000100302.6	0.07136027991497279	RASD2
ENSG00000181656.6	-0.0710034885254051	GPR88
ENSG00000138759.18	-0.0700443824194015	FRAS1
ENSG00000070159.13	-0.06956603463252418	PTPN3
ENSG00000181195.10	0.0695649737954545	PENK
ENSG00000144119.3	0.0693446000560224	C1QL2
ENSG00000276945.1	-0.06822145890004193	Gene symbol not found
ENSG00000228467.2	-0.06764496738662089	Gene symbol not found
ENSG00000197919.5	0.06762647193265012	IFNA1
ENSG00000263505.1	-0.06753689688081124	SLC25A3P3
ENSG00000257737.1	-0.06719676731133359	Gene symbol not found
ENSG00000213698.2	-0.0664325002833452	CAPZA1P3
ENSG00000248211.1	-0.06625277604369513	TRPC7-AS1
ENSG00000241318.3	-0.06544462684425945	WDR82P2
ENSG00000145358.6	0.06541753066599544	DDIT4L
ENSG00000072182.12	0.0651621537377459	ASIC4
ENSG00000261761.3	-0.0640504078690296	LINC02616
ENSG00000263862.1	-0.06346373294144565	LINC01543
ENSG00000231464.1	-0.06339149719010488	PPP4R2P3
ENSG00000266184.1	-0.062473260823069525	Gene symbol not found
ENSG00000118495.18	-0.062235427873304786	PLAGL1
ENSG00000143365.17	0.06215037829939007	RORC
ENSG00000240478.1	-0.06174904076819824	Gene symbol not found
ENSG00000198838.13	0.06167353379725863	RYR3
ENSG00000238166.2	-0.06156957252703582	Gene symbol not found
ENSG00000268583.1	-0.06152603036553355	Gene symbol not found
ENSG00000249061.1	-0.061426679958797144	Gene symbol not found
ENSG00000120337.8	-0.06141421131783216	TNFSF18
ENSG00000136883.13	-0.060670738622043086	KIF12
ENSG00000272572.1	-0.05992236460201504	Gene symbol not found
