	Coef_nerve_tibial	Gene_name
ENSG00000072041.16	0.49166883330255484	SLC6A15
ENSG00000237125.8	0.40021741951560585	HAND2-AS1
ENSG00000196109.6	0.4001828711343867	ZNF676
ENSG00000204764.13	-0.39965971573666437	RANBP17
ENSG00000131080.14	0.39251982813162867	EDA2R
ENSG00000178163.7	-0.3888546739036605	ZNF518B
ENSG00000171551.11	-0.3716665025672212	ECEL1
ENSG00000244681.1	0.36692609947977156	MTHFD2P1
ENSG00000244694.7	0.3644983268009237	PTCHD4
ENSG00000204876.4	0.34773570468444087	Gene symbol not found
ENSG00000196767.6	0.34052630226667524	POU3F4
ENSG00000184905.8	0.3332476661339605	TCEAL2
ENSG00000164107.8	0.3219939820875749	HAND2
ENSG00000163564.14	0.31991049148274764	PYHIN1
ENSG00000100285.9	-0.3181739734376545	NEFH
ENSG00000128710.5	0.2939398618880893	HOXD10
ENSG00000040731.10	0.29333499342197494	CDH10
ENSG00000128713.13	0.2881156581739577	HOXD11
ENSG00000164690.7	0.28276427427209444	SHH
ENSG00000189233.11	0.2736231375071345	NUGGC
ENSG00000250957.1	0.2586156815010569	
ENSG00000152467.9	-0.2358098910091553	ZSCAN1
ENSG00000180347.13	0.23452853289553166	ITPRID1
ENSG00000136944.17	-0.23382939248063156	LMX1B
ENSG00000008196.12	0.22924496251994583	TFAP2B
ENSG00000112319.17	0.22853387409967785	EYA4
ENSG00000203797.9	0.2281803426305089	DDO
ENSG00000134853.11	-0.22518957840679574	PDGFRA
ENSG00000121335.11	0.21634604088863604	PRB2
ENSG00000204519.10	-0.21475075421122047	ZNF551
ENSG00000176658.16	0.21434648767603878	MYO1D
ENSG00000226711.6	-0.21391832124728738	FAM66C
ENSG00000179909.15	-0.2136735608173525	ZNF154
ENSG00000179399.14	0.21168901140698682	GPC5
ENSG00000181023.6	0.2116139806462207	OR56B1
ENSG00000186205.12	0.2105899108324485	MTARC1
ENSG00000172667.10	0.209746934222872	ZMAT3
ENSG00000162461.7	0.2096858067468594	SLC25A34
ENSG00000159496.14	-0.20678498880253965	RGL4
ENSG00000168556.6	-0.2034679156413816	ING2
ENSG00000272872.1	0.20019311835300524	
ENSG00000184144.11	0.19914213978269418	CNTN2
ENSG00000261587.2	0.198187034204959	TMEM249
ENSG00000259236.1	0.19567142433670362	GOLGA8VP
ENSG00000174482.10	0.18931140912156966	LINGO2
ENSG00000250337.5	0.18815285830444414	PURPL
ENSG00000249388.1	-0.18661919192997006	FLJ12825
ENSG00000080224.17	0.18608627898618774	EPHA6
ENSG00000283355.1	-0.18571755696301187	Gene symbol not found
ENSG00000124205.15	-0.18571523378257312	EDN3
