	Coef_artery_aorta	Gene_name
ENSG00000081803.15	0.209425270394587	CADPS2
ENSG00000126878.12	-0.1554449438738478	AIF1L
ENSG00000244694.7	0.1539234422341799	PTCHD4
ENSG00000168779.19	0.1485223772745386	SHOX2
ENSG00000244681.1	0.14721942278961822	MTHFD2P1
ENSG00000281706.2	-0.1463615124636432	LINC01012
ENSG00000185272.13	0.14556005154277293	RBM11
ENSG00000232860.7	-0.14274280856601526	SMG7-AS1
ENSG00000261786.1	-0.14239856071178134	Gene symbol not found
ENSG00000186472.19	0.1415559641332849	PCLO
ENSG00000082556.10	-0.13728747110479136	OPRK1
ENSG00000064205.10	0.1360168617698191	CCN5
ENSG00000151474.21	-0.13272746666497348	FRMD4A
ENSG00000258695.2	0.12710792257823242	Gene symbol not found
ENSG00000048540.14	0.1267426514268866	LMO3
ENSG00000050555.17	-0.12654113413568957	LAMC3
ENSG00000196090.12	-0.12609210659389913	PTPRT
ENSG00000266050.2	-0.12530543683669884	Gene symbol not found
ENSG00000072041.16	0.12248626227429978	SLC6A15
ENSG00000206828.1	-0.12045029398041425	RNVU1-30
ENSG00000267504.1	0.12016866818302113	Gene symbol not found
ENSG00000254585.2	-0.11938683084354695	MAGEL2
ENSG00000198732.10	-0.11717191862569822	SMOC1
ENSG00000137968.16	-0.11312629855465062	SLC44A5
ENSG00000273036.2	0.11108311480724005	CYP4F33P
ENSG00000278530.4	0.11053080203645713	CHMP1B2P
ENSG00000215529.12	0.10953916622762172	EFCAB8
ENSG00000165325.13	0.10945181011989587	DEUP1
ENSG00000258675.1	-0.10844093016628059	LINC02308
ENSG00000239268.2	-0.10782828511047599	LINC03051
ENSG00000184500.14	0.10719890205426008	PROS1
ENSG00000151948.11	-0.10714870249096276	GLT1D1
ENSG00000086717.18	0.1062383056760394	PPEF1
ENSG00000231784.8	-0.10488559981643915	DBIL5P
ENSG00000250361.7	0.10419126509402517	GYPB
ENSG00000188191.14	-0.10326844720582137	PRKAR1B
ENSG00000179083.6	0.10266376382487555	FAM133A
ENSG00000280435.1	-0.1020303323748165	Gene symbol not found
ENSG00000171403.9	-0.10138059570360743	KRT9
ENSG00000230267.7	-0.10053429879325107	HERC2P4
ENSG00000236155.6	-0.10014839204952677	ZPLD2P
ENSG00000276107.1	0.09968021749773967	THBS1-IT1
ENSG00000176049.15	0.09904030414837106	JAKMIP2
ENSG00000167693.16	-0.09847411531903105	NXN
ENSG00000067221.13	0.09760101180389207	STOML1
ENSG00000162738.5	-0.09708281386692456	VANGL2
ENSG00000249693.2	0.09697787655243863	SPMAP2L
ENSG00000131941.7	-0.09663121024946486	RHPN2
ENSG00000273203.1	0.0965514511016979	
ENSG00000233163.1	0.09634439595949004	RPS12P17
