	Coef_brain_cerebellum	Gene_name
ENSG00000257711.1	0.11444073241207331	
ENSG00000279039.1	-0.09428104407715614	
ENSG00000052344.15	0.09080410397827492	PRSS8
ENSG00000175718.9	0.09011987509971092	RBMXL3
ENSG00000117594.9	0.089474805980104	HSD11B1
ENSG00000089225.19	0.08592610062431161	TBX5
ENSG00000151718.15	-0.0858628970937793	WWC2
ENSG00000187867.8	0.07898825012833173	PALM3
ENSG00000271178.1	-0.07836726800676294	IGHV3OR16-13
ENSG00000266227.1	-0.07801246223424671	NPM1P2
ENSG00000227432.1	0.07789533549945489	ASIC4-AS1
ENSG00000145888.10	0.07631568038768761	GLRA1
ENSG00000253293.4	-0.07502964316163072	HOXA10
ENSG00000235070.3	-0.07386154174481706	Gene symbol not found
ENSG00000249005.3	-0.07374669285159677	FAM90A4P
ENSG00000221977.1	-0.07347781714285298	OR4E2
ENSG00000213435.3	-0.07246572983451564	ATP6V0CP3
ENSG00000131095.12	0.0715691014283789	GFAP
ENSG00000248229.1	-0.07108277585567178	Gene symbol not found
ENSG00000100302.6	0.07066297560638403	RASD2
ENSG00000181656.6	-0.07029598617651149	GPR88
ENSG00000144119.3	0.0695974919858093	C1QL2
ENSG00000236968.1	-0.06929988830851783	Gene symbol not found
ENSG00000138759.18	-0.06915489459334097	FRAS1
ENSG00000181195.10	0.06896965384163975	PENK
ENSG00000070159.13	-0.06845754595318321	PTPN3
ENSG00000263505.1	-0.06735455044290323	SLC25A3P3
ENSG00000276945.1	-0.06714377062761179	Gene symbol not found
ENSG00000257737.1	-0.06693257667491613	Gene symbol not found
ENSG00000248211.1	-0.0667999910324861	TRPC7-AS1
ENSG00000228467.2	-0.06651894848615046	Gene symbol not found
ENSG00000197919.5	0.06629391496018149	IFNA1
ENSG00000213698.2	-0.06624616881644245	CAPZA1P3
ENSG00000145358.6	0.06617853896399127	DDIT4L
ENSG00000241318.3	-0.065747889931552	WDR82P2
ENSG00000072182.12	0.0653631565968242	ASIC4
ENSG00000261761.3	-0.06389180299525136	LINC02616
ENSG00000231464.1	-0.0634995645050324	PPP4R2P3
ENSG00000263862.1	-0.0632655052609456	LINC01543
ENSG00000266184.1	-0.0627747529380931	Gene symbol not found
ENSG00000118495.18	-0.06255696177253803	PLAGL1
ENSG00000120337.8	-0.061927408130562925	TNFSF18
ENSG00000198838.13	0.06177716969030806	RYR3
ENSG00000143365.17	0.061749462629396665	RORC
ENSG00000240478.1	-0.06136456977554688	Gene symbol not found
ENSG00000271671.1	-0.06084872115981156	Gene symbol not found
ENSG00000238166.2	-0.06083804925283999	Gene symbol not found
ENSG00000254954.1	-0.06083462045019988	SLC2A13P1
ENSG00000268583.1	-0.06025608355862045	Gene symbol not found
ENSG00000272572.1	-0.059874702076615126	Gene symbol not found
