	Coef_nerve_tibial	Gene_name
ENSG00000072041.16	0.49589093213201607	SLC6A15
ENSG00000237125.8	0.40098589888300556	HAND2-AS1
ENSG00000204764.13	-0.3981313966913582	RANBP17
ENSG00000196109.6	0.3933922877851743	ZNF676
ENSG00000178163.7	-0.38684405006166483	ZNF518B
ENSG00000131080.14	0.3868212227610278	EDA2R
ENSG00000171551.11	-0.37348454136111486	ECEL1
ENSG00000244681.1	0.36594088552208537	MTHFD2P1
ENSG00000244694.7	0.360664525450811	PTCHD4
ENSG00000204876.4	0.3445981805822709	Gene symbol not found
ENSG00000196767.6	0.34248572958733536	POU3F4
ENSG00000184905.8	0.3324862929970913	TCEAL2
ENSG00000100285.9	-0.32888288230544593	NEFH
ENSG00000164107.8	0.32063968213131744	HAND2
ENSG00000163564.14	0.31563314841711626	PYHIN1
ENSG00000128710.5	0.29779636173917023	HOXD10
ENSG00000128713.13	0.29318603934513615	HOXD11
ENSG00000040731.10	0.287482971272716	CDH10
ENSG00000189233.11	0.27831341416001415	NUGGC
ENSG00000164690.7	0.2755719483269815	SHH
ENSG00000250957.1	0.25957802288553494	
ENSG00000180347.13	0.23904793123750567	ITPRID1
ENSG00000136944.17	-0.23577367137216926	LMX1B
ENSG00000152467.9	-0.23018769124899544	ZSCAN1
ENSG00000134853.11	-0.22797585654552152	PDGFRA
ENSG00000112319.17	0.22647456167726082	EYA4
ENSG00000008196.12	0.22638195189368432	TFAP2B
ENSG00000203797.9	0.22582693938352907	DDO
ENSG00000204519.10	-0.2208162831836999	ZNF551
ENSG00000179909.15	-0.21610160966658026	ZNF154
ENSG00000226711.6	-0.21458785051819085	FAM66C
ENSG00000179399.14	0.21280285273512034	GPC5
ENSG00000186205.12	0.21209666486480444	MTARC1
ENSG00000121335.11	0.2104449110833126	PRB2
ENSG00000181023.6	0.21028655185100076	OR56B1
ENSG00000159496.14	-0.20979775123116215	RGL4
ENSG00000176658.16	0.20949199194969387	MYO1D
ENSG00000172667.10	0.20847511204767954	ZMAT3
ENSG00000168556.6	-0.2053432198029765	ING2
ENSG00000162461.7	0.20415765788736473	SLC25A34
ENSG00000272872.1	0.20355233280000218	
ENSG00000184144.11	0.2010949150916017	CNTN2
ENSG00000259236.1	0.1977535233441889	GOLGA8VP
ENSG00000228971.2	-0.19334779623427062	LINC02607
ENSG00000261587.2	0.19313424345001023	TMEM249
ENSG00000250337.5	0.1922967413067995	PURPL
ENSG00000283355.1	-0.18943202142970295	Gene symbol not found
ENSG00000124205.15	-0.1876758321247016	EDN3
ENSG00000080224.17	0.1869719888112415	EPHA6
ENSG00000174482.10	0.18550491725288124	LINGO2
