	Coef_pancreas	Gene_name
ENSG00000178163.7	-2.4127281501945035	ZNF518B
ENSG00000104722.13	-1.6987353022873766	NEFM
ENSG00000185010.13	1.5685691496913425	F8
ENSG00000260015.1	1.4430539968048546	Gene symbol not found
ENSG00000166262.15	-1.1844935741625222	FAM227B
ENSG00000159212.12	-1.0918174897482302	CLIC6
ENSG00000206195.10	0.9967732083762739	DUXAP8
ENSG00000148082.9	0.9957154594139295	SHC3
ENSG00000224945.1	0.9625391534914739	Gene symbol not found
ENSG00000255408.3	0.9211739320802709	PCDHA3
ENSG00000106341.10	0.9105972631911267	PPP1R17
ENSG00000258628.1	0.9056824654140837	RHPN2P1
ENSG00000119973.5	0.8776960571441509	PRLHR
ENSG00000147889.17	0.8727969055761542	CDKN2A
ENSG00000204176.13	-0.8493929018998594	SYT15
ENSG00000244694.7	0.8418297873177697	PTCHD4
ENSG00000183770.5	0.795046308238717	FOXL2
ENSG00000255836.1	-0.7588497351024286	Gene symbol not found
ENSG00000088882.7	-0.6938914331043274	CPXM1
ENSG00000265366.6	0.6908593851379146	GLUD1P2
ENSG00000229020.4	0.687418687145384	AKR7A2P1
ENSG00000143355.15	0.6743723447963489	LHX9
ENSG00000163071.10	0.6142794744834416	SPATA18
ENSG00000281205.1	-0.5915092600201005	
ENSG00000147027.3	0.5790402287792482	TMEM47
ENSG00000213225.7	-0.5612782014776285	NOC2LP1
ENSG00000102796.10	-0.5598532098346312	DHRS12
ENSG00000100867.14	0.47942028880992704	DHRS2
ENSG00000214754.3	-0.45381762445882423	SRSF8CP
ENSG00000131080.14	0.4152385448150139	EDA2R
ENSG00000198804.2	-0.41256851225339697	MT-CO1
ENSG00000240401.8	0.38372377544826475	
ENSG00000250218.1	0.37794234998393283	ALDH1L1-AS1
ENSG00000235268.2	-0.3469130697396828	KDM4E
ENSG00000236833.1	0.32227729269684857	Gene symbol not found
ENSG00000275560.1	0.31651273978262706	
ENSG00000204969.6	0.30595302217347625	PCDHA2
ENSG00000272674.3	0.269814964276087	PCDHB16
ENSG00000173947.13	-0.23821078749851438	CIMAP3
ENSG00000054598.6	0.2255608814044308	FOXC1
ENSG00000255158.1	-0.2319120324241403	Gene symbol not found
ENSG00000200769.1	-0.22914779110044176	Y_RNA
ENSG00000184378.2	-0.22481744576930016	ACTRT3
ENSG00000100196.10	-0.18138905218062426	KDELR3
ENSG00000188011.5	-0.18327353038882851	RTP5
ENSG00000124203.6	0.18358906349902254	ZNF831
ENSG00000167281.18	-0.13206865900956058	RBFOX3
ENSG00000272872.1	0.11330180985390527	
ENSG00000074410.13	-0.051995596802887165	CA12
