	Coef_brain_cerebellum	Gene_name
ENSG00000257711.1	0.11597592264337886	
ENSG00000279039.1	-0.09429525587063743	
ENSG00000052344.15	0.0913529038588441	PRSS8
ENSG00000175718.9	0.0903851460081088	RBMXL3
ENSG00000117594.9	0.08860525400813495	HSD11B1
ENSG00000151718.15	-0.08709906125844251	WWC2
ENSG00000089225.19	0.0855412553343607	TBX5
ENSG00000266227.1	-0.08279689991915955	NPM1P2
ENSG00000187867.8	0.07997772018800453	PALM3
ENSG00000227432.1	0.07835178836894337	ASIC4-AS1
ENSG00000236968.1	-0.0777152631513642	Gene symbol not found
ENSG00000271178.1	-0.07761319267144115	IGHV3OR16-13
ENSG00000253293.4	-0.07620572999756703	HOXA10
ENSG00000145888.10	0.07387161316338078	GLRA1
ENSG00000235070.3	-0.0738627479260828	Gene symbol not found
ENSG00000249005.3	-0.07323688971784544	FAM90A4P
ENSG00000213435.3	-0.07293412806986256	ATP6V0CP3
ENSG00000248229.1	-0.07217801251856801	Gene symbol not found
ENSG00000138759.18	-0.0719285979811136	FRAS1
ENSG00000100302.6	0.07185732258629371	RASD2
ENSG00000131095.12	0.07174007544388702	GFAP
ENSG00000181656.6	-0.07089105675197908	GPR88
ENSG00000221977.1	-0.07048211642774078	OR4E2
ENSG00000070159.13	-0.06992281828932913	PTPN3
ENSG00000213698.2	-0.06988880527162955	CAPZA1P3
ENSG00000144119.3	0.06938416333720418	C1QL2
ENSG00000263505.1	-0.06916910571485427	SLC25A3P3
ENSG00000257737.1	-0.06856524719078862	Gene symbol not found
ENSG00000276945.1	-0.06849562060242614	Gene symbol not found
ENSG00000181195.10	0.06806587136226874	PENK
ENSG00000228467.2	-0.06764801180794992	Gene symbol not found
ENSG00000248211.1	-0.06642571161795674	TRPC7-AS1
ENSG00000145358.6	0.06639528494625842	DDIT4L
ENSG00000197919.5	0.06586221199883371	IFNA1
ENSG00000241318.3	-0.0657050705069653	WDR82P2
ENSG00000261761.3	-0.06531143453917095	LINC02616
ENSG00000072182.12	0.06459103196350255	ASIC4
ENSG00000263862.1	-0.0632461157447882	LINC01543
ENSG00000266184.1	-0.06306929371406862	Gene symbol not found
ENSG00000240478.1	-0.0627503314379964	Gene symbol not found
ENSG00000118495.18	-0.06267304750771403	PLAGL1
ENSG00000120337.8	-0.06251237726663972	TNFSF18
ENSG00000231464.1	-0.061773779863933204	PPP4R2P3
ENSG00000143365.17	0.06174627659743707	RORC
ENSG00000198838.13	0.0617396158981841	RYR3
ENSG00000136883.13	-0.06143860481312247	KIF12
ENSG00000271671.1	-0.06135102501657556	Gene symbol not found
ENSG00000268583.1	-0.06064668793338929	Gene symbol not found
ENSG00000272572.1	-0.06046595206246669	Gene symbol not found
ENSG00000229204.3	-0.06019606494661598	PTGES3P3
