	Coef_adipose_subcutaneous	Gene_name
ENSG00000112319.17	1.5043629348620213	EYA4
ENSG00000048540.14	1.0760006347550484	LMO3
ENSG00000268079.1	0.7153313852038642	BNIP3P30
ENSG00000178163.7	-0.699993255080577	ZNF518B
ENSG00000008300.16	0.5085096576430379	CELSR3
ENSG00000255836.1	-0.4946557013994194	Gene symbol not found
ENSG00000277156.1	0.48753196017879175	TOMM40P1
ENSG00000198838.13	0.48211425543971476	RYR3
ENSG00000205213.13	-0.4432997587295647	LGR4
ENSG00000278530.4	0.4400041694250604	CHMP1B2P
ENSG00000244694.7	0.41600820173996056	PTCHD4
ENSG00000147231.13	0.4143192960284046	RADX
ENSG00000189233.11	0.4126569090964169	NUGGC
ENSG00000228526.6	0.409910866053593	MIR34AHG
ENSG00000207291.1	0.40579542438963623	RNU6-30P
ENSG00000182168.14	0.3884178320792798	UNC5C
ENSG00000141431.10	0.379981887447092	ASXL3
ENSG00000101405.3	-0.3791850810163102	OXT
ENSG00000185090.14	0.3787245469106156	MANEAL
ENSG00000118526.6	0.37274323615609184	TCF21
ENSG00000180817.11	0.3723618189754135	PPA1
ENSG00000174292.12	0.3706133287444803	TNK1
ENSG00000266236.1	0.3642913000946063	NARF-IT1
ENSG00000053438.8	-0.3592914795526649	NNAT
ENSG00000267374.1	-0.34827989995950936	MIR924HG
ENSG00000271709.1	0.34722758596560527	Gene symbol not found
ENSG00000236536.1	-0.3470551679456803	Gene symbol not found
ENSG00000172247.3	-0.3429457199588471	C1QTNF4
ENSG00000261340.1	-0.3428507867558572	LINC01616
ENSG00000255468.6	-0.3406206318102288	B4GAT1-DT
ENSG00000112599.8	0.33552296855276753	GUCA1B
ENSG00000101955.14	-0.33483261736693376	SRPX
ENSG00000206052.10	-0.330868416274427	DOK6
ENSG00000250742.2	0.328102687586301	LINC02381
ENSG00000275322.1	-0.32375750519609525	Gene symbol not found
ENSG00000165478.6	0.3204130733631976	HEPACAM
ENSG00000160233.7	-0.31781241947716826	LRRC3
ENSG00000253958.1	-0.3151233156599359	CLDN23
ENSG00000217330.1	0.3101937373396139	SSXP10
ENSG00000141576.14	0.3087898360268501	RNF157
ENSG00000172667.10	0.30712288396330956	ZMAT3
ENSG00000181036.13	0.3059710246558924	FCRL6
ENSG00000262001.1	-0.3056590543070075	DLGAP1-AS2
ENSG00000131080.14	0.30211946040729526	EDA2R
ENSG00000101882.9	0.30113587509464185	NKAP
ENSG00000132623.15	0.29854835012614245	ANKEF1
ENSG00000196109.6	0.29721324137335464	ZNF676
ENSG00000131771.13	-0.29655895607961846	PPP1R1B
ENSG00000229901.1	0.2943628639674828	FOXO6-AS1
