	Coef_brain_cerebellum	Gene_name
ENSG00000257711.1	0.11652609987315653	
ENSG00000279039.1	-0.09367029155683328	
ENSG00000052344.15	0.09036803017841558	PRSS8
ENSG00000117594.9	0.08937015927121086	HSD11B1
ENSG00000175718.9	0.08808194204645393	RBMXL3
ENSG00000151718.15	-0.0879408230798865	WWC2
ENSG00000089225.19	0.08524451345002605	TBX5
ENSG00000266227.1	-0.07868700140749507	NPM1P2
ENSG00000227432.1	0.07847600646968346	ASIC4-AS1
ENSG00000187867.8	0.078339756068316	PALM3
ENSG00000221977.1	-0.07621886422666961	OR4E2
ENSG00000253293.4	-0.07539074361674372	HOXA10
ENSG00000235070.3	-0.07534249096036179	Gene symbol not found
ENSG00000249005.3	-0.07526312111997378	FAM90A4P
ENSG00000271178.1	-0.07493172026471595	IGHV3OR16-13
ENSG00000145888.10	0.0745136465364293	GLRA1
ENSG00000213435.3	-0.07382737819533321	ATP6V0CP3
ENSG00000236968.1	-0.07281905654794955	Gene symbol not found
ENSG00000100302.6	0.0712607629832451	RASD2
ENSG00000181656.6	-0.07120731037234276	GPR88
ENSG00000131095.12	0.07099960265954036	GFAP
ENSG00000248229.1	-0.06999903089063293	Gene symbol not found
ENSG00000213698.2	-0.06966533160940576	CAPZA1P3
ENSG00000138759.18	-0.06957505786723871	FRAS1
ENSG00000070159.13	-0.06919171589823671	PTPN3
ENSG00000144119.3	0.06865332497559636	C1QL2
ENSG00000228467.2	-0.06850644890279442	Gene symbol not found
ENSG00000263505.1	-0.06840861139322144	SLC25A3P3
ENSG00000276945.1	-0.06796930154189658	Gene symbol not found
ENSG00000257737.1	-0.06784706700227061	Gene symbol not found
ENSG00000261761.3	-0.06781806197179674	LINC02616
ENSG00000181195.10	0.06776995898756197	PENK
ENSG00000248211.1	-0.06678481153194007	TRPC7-AS1
ENSG00000241318.3	-0.06653070743608766	WDR82P2
ENSG00000197919.5	0.06629271017888236	IFNA1
ENSG00000145358.6	0.06593709761073299	DDIT4L
ENSG00000072182.12	0.06455882450255584	ASIC4
ENSG00000266184.1	-0.06365158320364643	Gene symbol not found
ENSG00000263862.1	-0.06354942545648866	LINC01543
ENSG00000231464.1	-0.0628692042633191	PPP4R2P3
ENSG00000118495.18	-0.06280251451769735	PLAGL1
ENSG00000120337.8	-0.06260321427219287	TNFSF18
ENSG00000240478.1	-0.061517829645152684	Gene symbol not found
ENSG00000238166.2	-0.06149800346526411	Gene symbol not found
ENSG00000271671.1	-0.06148099900107249	Gene symbol not found
ENSG00000143365.17	0.0614576812115336	RORC
ENSG00000198838.13	0.06143428951146978	RYR3
ENSG00000268583.1	-0.06087251424786869	Gene symbol not found
ENSG00000254954.1	-0.06056368862356732	SLC2A13P1
ENSG00000136883.13	-0.060111267935736255	KIF12
