	Coef_artery_aorta	Gene_name
ENSG00000081803.15	0.20866956611960624	CADPS2
ENSG00000126878.12	-0.15562263575746366	AIF1L
ENSG00000244694.7	0.1534569488814726	PTCHD4
ENSG00000244681.1	0.14945024742940596	MTHFD2P1
ENSG00000168779.19	0.14944792776946453	SHOX2
ENSG00000185272.13	0.14685615002565844	RBM11
ENSG00000281706.2	-0.1457428428607495	LINC01012
ENSG00000186472.19	0.14195347198286376	PCLO
ENSG00000261786.1	-0.14158403273154987	Gene symbol not found
ENSG00000232860.7	-0.14041369811884158	SMG7-AS1
ENSG00000082556.10	-0.1384480945138823	OPRK1
ENSG00000064205.10	0.1357549688279197	CCN5
ENSG00000151474.21	-0.1316397698321188	FRMD4A
ENSG00000048540.14	0.128383066776315	LMO3
ENSG00000196090.12	-0.12666436716942792	PTPRT
ENSG00000258695.2	0.12435215175685874	Gene symbol not found
ENSG00000266050.2	-0.12342328530999096	Gene symbol not found
ENSG00000072041.16	0.12261887705360061	SLC6A15
ENSG00000050555.17	-0.12259864940809723	LAMC3
ENSG00000267504.1	0.11948180757730717	Gene symbol not found
ENSG00000198732.10	-0.11872552724392323	SMOC1
ENSG00000206828.1	-0.11794856352878266	RNVU1-30
ENSG00000254585.2	-0.11715337939035568	MAGEL2
ENSG00000137968.16	-0.11296409861952925	SLC44A5
ENSG00000273036.2	0.11283672950890815	CYP4F33P
ENSG00000278530.4	0.11200272324026983	CHMP1B2P
ENSG00000215529.12	0.1114462605794859	EFCAB8
ENSG00000258675.1	-0.11044018094609061	LINC02308
ENSG00000165325.13	0.10941796220504958	DEUP1
ENSG00000151948.11	-0.10828814299152659	GLT1D1
ENSG00000239268.2	-0.10764074230642413	LINC03051
ENSG00000250361.7	0.10732370649765514	GYPB
ENSG00000231784.8	-0.10707674361996895	DBIL5P
ENSG00000086717.18	0.10695389369126836	PPEF1
ENSG00000184500.14	0.10628006894228804	PROS1
ENSG00000188191.14	-0.10438139529304889	PRKAR1B
ENSG00000280435.1	-0.10353614046518816	Gene symbol not found
ENSG00000276107.1	0.1032690229309546	THBS1-IT1
ENSG00000179083.6	0.10284029791454581	FAM133A
ENSG00000230267.7	-0.10131539814946496	HERC2P4
ENSG00000171403.9	-0.10126619378764219	KRT9
ENSG00000167693.16	-0.09977083237917035	NXN
ENSG00000067221.13	0.09857077443012936	STOML1
ENSG00000236155.6	-0.0979447234898217	ZPLD2P
ENSG00000131941.7	-0.09746014937759558	RHPN2
ENSG00000249693.2	0.09730076160096307	SPMAP2L
ENSG00000176049.15	0.09723757911748411	JAKMIP2
ENSG00000273203.1	0.09659318064440117	
ENSG00000162738.5	-0.09657908588960977	VANGL2
ENSG00000215105.4	0.09637300951789311	TTC3P1
