	Coef_adrenal_gland	Gene_name
ENSG00000244694.7	0.3926425335600308	PTCHD4
ENSG00000105707.13	0.3636249568368028	HPN
ENSG00000272721.5	-0.35873842264518097	EIF2B5-DT
ENSG00000276656.1	-0.3433104280991612	MIR6083
ENSG00000268758.7	0.3404771507899145	ADGRE4P
ENSG00000275532.1	-0.3366385767403472	Gene symbol not found
ENSG00000198099.8	0.32986135232959224	ADH4
ENSG00000253439.1	0.32568418761961426	CDC42P5
ENSG00000162753.11	-0.3248020378493616	SLC9C2
ENSG00000267225.1	-0.3210143683622697	WDR7-OT1
ENSG00000236345.1	0.3061093544097736	SCAT8
ENSG00000270947.1	-0.306041951470837	Gene symbol not found
ENSG00000253549.5	-0.305179948603144	CA3-AS1
ENSG00000229124.6	0.3022623250071664	VIM-AS1
ENSG00000258992.6	-0.29939694167393494	TSPY1
ENSG00000176219.2	-0.298452049247238	OR11H6
ENSG00000273870.1	-0.294354974050388	Gene symbol not found
ENSG00000250337.5	0.2904835414575978	PURPL
ENSG00000149403.12	0.28172532948565143	GRIK4
ENSG00000131080.14	0.28166693235999224	EDA2R
ENSG00000145107.15	-0.28094765932220955	TM4SF19
ENSG00000282692.1	0.2759620304961667	Gene symbol not found
ENSG00000272872.1	0.2735688798235804	
ENSG00000263276.1	0.2667341613911417	Gene symbol not found
ENSG00000093072.15	-0.2661936432846756	ADA2
ENSG00000229891.1	0.2633698407191609	LINC01315
ENSG00000146070.16	-0.2613440422832374	PLA2G7
ENSG00000271734.1	0.2561857240321629	
ENSG00000105711.11	0.24587276121448182	SCN1B
ENSG00000240160.3	0.24498820418074896	RN7SL263P
ENSG00000260144.1	0.2399483439031116	Gene symbol not found
ENSG00000273143.1	0.23939429530994397	DUSP5-DT
ENSG00000170231.15	0.23930013031016142	FABP6
ENSG00000124762.13	0.23926404299767698	CDKN1A
ENSG00000232732.9	0.23777508259380475	Gene symbol not found
ENSG00000241346.1	0.23757956800439062	SNRPCP11
ENSG00000076944.15	-0.236275003430324	STXBP2
ENSG00000057657.15	0.23395456176555354	PRDM1
ENSG00000254281.1	-0.23285814886443568	
ENSG00000178343.4	0.2325525953236783	SHISA3
ENSG00000178538.9	-0.22941789024942608	CA8
ENSG00000253894.1	-0.22769852735077875	Gene symbol not found
ENSG00000184895.7	-0.2262756787422187	SRY
ENSG00000106025.8	0.22592332607031937	TSPAN12
ENSG00000222714.1	0.22549298409982996	RN7SKP38
ENSG00000279846.1	0.22515306116430558	Gene symbol not found
ENSG00000271600.1	-0.2248096137864355	Gene symbol not found
ENSG00000232530.1	0.22418797053360928	LIF-AS1
ENSG00000262362.1	0.21557388145165923	Gene symbol not found
