	Coef_liver	Coef_artery_aorta	Coef_artery_coronary	Coef_brain_cortex	Coef_brain_cerebellum	Coef_heart_atrial_appendage	Coef_adipose_subcutaneous	Coef_lung	Coef_skin_sun_exposed_lower_leg	Coef_nerve_tibial	Coef_colon_sigmoid	Coef_pancreas	Gene_name
ENSG00000244694.7		0.1527252096338929	0.5547774636859636			0.5901875951627785	0.4224760061736956	0.3884348984423452	0.7461149605119575	0.3644983268009237	0.37611227353629845	0.8432977363943214	PTCHD4
ENSG00000131080.14				0.2546692900137011		0.6114242980612697	0.31222292006998853	0.6850044501727249		0.39251982813162867	0.26642015838398647	0.42165167385970637	EDA2R
ENSG00000244681.1		0.14677820429853783				0.5639512499392935		0.4531198051275472		0.36692609947977156	0.2524887640842127		MTHFD2P1
ENSG00000048540.14		0.12859063593971803	0.6147903394939715			0.3825010842220291	1.0869256429059015		1.0351937215150837				LMO3
ENSG00000228526.6				0.1584969225651005		0.31935891067428623	0.4131209922936792				0.3970814438822562		MIR34AHG
ENSG00000178163.7							-0.6942976535555019	-0.7358671886226544		-0.3888546739036605		-2.42898056412702	ZNF518B
ENSG00000196109.6							0.29781731644603376	0.30553686905253075		0.4001828711343867	0.179115926685891		ZNF676
ENSG00000081803.15		0.2072711556906108	0.3758711414631051								0.17010866794820106		CADPS2
ENSG00000278530.4		0.11031134962353883					0.4507045280838396				0.16503145677158684		CHMP1B2P
ENSG00000255836.1				-0.20484423953434458			-0.502061003635548					-0.7730094383296602	Gene symbol not found
ENSG00000163071.10				0.16558691137803166		0.29784532860196444						0.6303210631741447	SPATA18
ENSG00000250337.5						0.5283460262149339				0.18815285830444414	0.259865266513628		PURPL
ENSG00000080224.17						0.46612739839456974		0.30571708643895007		0.18608627898618774			EPHA6
ENSG00000112319.17							1.506868909212587			0.22853387409967785	0.4151442562049801		EYA4
ENSG00000172667.10							0.3128458424025264		0.41400501842942883	0.209746934222872			ZMAT3
ENSG00000147889.17								0.6037618079652751			0.2957330943908752	0.8987806000290974	CDKN2A
