	Coef_skin_sun_exposed_lower_leg	Gene_name
ENSG00000156959.8	2.2079591068123894	LHFPL4
ENSG00000070019.4	1.1079862435079835	GUCY2C
ENSG00000048540.14	1.049919302884027	LMO3
ENSG00000154162.14	-1.0230997417992298	CDH12
ENSG00000255442.1	0.8779742431643737	Gene symbol not found
ENSG00000104044.15	-0.8386068710054269	OCA2
ENSG00000278318.4	-0.8043232749986712	ZNF229
ENSG00000224810.1	-0.75775164882833	Gene symbol not found
ENSG00000124253.10	-0.7479672429403295	PCK1
ENSG00000244694.7	0.7467619661068249	PTCHD4
ENSG00000181690.7	-0.7064583136392754	PLAG1
ENSG00000246627.6	0.6851450067404085	
ENSG00000226057.6	0.6047719132878716	PHF2P2
ENSG00000114378.16	0.5892509282338775	HYAL1
ENSG00000180155.19	-0.5848204316037625	LYNX1
ENSG00000267733.5	0.5759590575476141	Gene symbol not found
ENSG00000176998.4	0.5693305857727994	HCG4
ENSG00000007372.21	0.5670905913270454	PAX6
ENSG00000229375.1	0.5494957327777954	USP24P1
ENSG00000185008.17	-0.5484416908551945	ROBO2
ENSG00000207296.1	0.5373896977761657	RNU6-140P
ENSG00000271447.5	0.5357863574235034	MMP28
ENSG00000176153.11	-0.535276061546386	GPX2
ENSG00000112333.11	0.5264193840116974	NR2E1
ENSG00000110092.3	0.5100257650161781	CCND1
ENSG00000267508.5	-0.5096364162445662	ZNF285
ENSG00000261104.1	-0.50205208073414	Gene symbol not found
ENSG00000100321.14	-0.4936247404261141	SYNGR1
ENSG00000254043.1	-0.46432673987109946	Gene symbol not found
ENSG00000179151.11	-0.4548935743142056	EDC3
ENSG00000072818.11	0.4496469304196922	ACAP1
ENSG00000105520.10	-0.436409133190669	PLPPR2
ENSG00000235961.5	-0.43339291044685796	PNMA6A
ENSG00000136378.14	0.4313873257348817	ADAMTS7
ENSG00000235903.7	-0.42166915081047257	CPB2-AS1
ENSG00000114405.10	-0.4213376592110724	CEP15
ENSG00000172667.10	0.4124153584993982	ZMAT3
ENSG00000164099.3	-0.40762440296807945	PRSS12
ENSG00000146521.9	0.4027200050711859	
ENSG00000143320.8	0.4009630360032232	CRABP2
ENSG00000163564.14	0.3985236993308628	PYHIN1
ENSG00000112852.6	0.3951856660883425	PCDHB2
ENSG00000278937.1	-0.39289427511166414	
ENSG00000235933.1	0.3851611558945492	LINC01779
ENSG00000162722.8	0.37772065379630565	TRIM58
ENSG00000184990.12	-0.3704449738659908	SIVA1
ENSG00000230587.1	0.36761859478743525	LINC02580
ENSG00000158023.9	0.36507272354555964	CFAP251
ENSG00000128311.13	0.363170132252925	TST
