	Coef_pituitary	Gene_name
ENSG00000180105.11	-0.4032862470553694	ACER2P1
ENSG00000244694.7	0.3281680168072138	PTCHD4
ENSG00000252719.1	-0.3247378772776294	Gene symbol not found
ENSG00000185088.13	0.3149868115912537	RPS27L
ENSG00000131080.14	0.30811919296238477	EDA2R
ENSG00000252591.1	-0.3080432519226216	RNA5SP468
ENSG00000173535.13	0.2813796871544565	TNFRSF10C
ENSG00000213816.3	-0.2759732245601471	CNN2P4
ENSG00000117594.9	0.267204182275377	HSD11B1
ENSG00000255492.1	-0.2628285826731235	H3P33
ENSG00000202272.1	-0.2574347863617583	Y_RNA
ENSG00000260255.1	-0.24822644219323264	Gene symbol not found
ENSG00000232139.5	-0.24719703013129898	LINC00867
ENSG00000269526.1	-0.24269401336359472	ERVV-1
ENSG00000278698.1	-0.23355270469668066	Gene symbol not found
ENSG00000134574.11	0.2260145781882617	DDB2
ENSG00000280436.1	-0.2236714759962311	Gene symbol not found
ENSG00000236136.1	0.2231683466329014	ADORA2BP1
ENSG00000235623.2	-0.2205199020428393	OR7E110P
ENSG00000203531.3	-0.2168855309030755	Gene symbol not found
ENSG00000216977.1	0.21245850781367415	RPL21P65
ENSG00000255489.1	-0.2057065456723817	Gene symbol not found
ENSG00000243539.3	-0.2015764276068941	RN7SL649P
ENSG00000268994.3	-0.20014521523790188	FAM236B
ENSG00000237978.5	0.19861596037541182	KCNMB2-AS1
ENSG00000232939.1	-0.19583085505606754	Gene symbol not found
ENSG00000252778.1	-0.19343252616838175	Gene symbol not found
ENSG00000270900.1	-0.19077075092096063	NUDT19P4
ENSG00000177770.11	-0.18856177549069617	CDKN2AIPNLP1
ENSG00000100593.17	-0.18502985732457647	ISM2
ENSG00000234913.1	-0.18495356809589344	Gene symbol not found
ENSG00000226320.5	-0.18428523224754106	LINC01811
ENSG00000253305.2	-0.18378753924119856	PCDHGB6
ENSG00000228162.1	-0.17727144229583822	Gene symbol not found
ENSG00000279954.1	-0.1772118826852248	Gene symbol not found
ENSG00000178163.7	-0.1705037085498626	ZNF518B
ENSG00000235151.1	-0.16987429373667018	Gene symbol not found
ENSG00000267289.1	-0.16881612155627057	PIN1-DT
ENSG00000173451.6	-0.16853682371908568	THAP2
ENSG00000252919.1	-0.1669358335451064	Y_RNA
ENSG00000236886.2	-0.16179050467564177	
ENSG00000180662.8	-0.160739855358255	RPL21P8
ENSG00000061337.15	-0.16043746656942875	LZTS1
ENSG00000251874.1	-0.15958025579524404	RNU6-615P
ENSG00000254251.1	0.1592621443716417	Gene symbol not found
ENSG00000240423.1	-0.15855774627753913	LINC00636
ENSG00000272969.1	-0.158161320321732	Gene symbol not found
ENSG00000268866.1	-0.15816112446596978	Gene symbol not found
ENSG00000278200.1	-0.15723814682077236	LINC01971
ENSG00000272748.1	-0.15661336603574103	Gene symbol not found
