	Coef_liver	Coef_artery_aorta	Coef_artery_coronary	Coef_brain_cortex	Coef_brain_cerebellum	Coef_heart_atrial_appendage	Coef_adipose_subcutaneous	Coef_lung	Coef_skin_sun_exposed_lower_leg	Coef_nerve_tibial	Coef_colon_sigmoid	Coef_pancreas	Gene_name
ENSG00000244694.7		0.1540715218761705	0.5635210317002878			0.5741348583746448	0.4233523865651386	0.3932539624368688	0.7496059454356006	0.36358250715214996	0.37998557907004865	0.8504688236728781	PTCHD4
ENSG00000131080.14				0.25374243057549306		0.6111779141330425	0.3082105482967444	0.6900335707416294		0.38853784687078974	0.2680130179303769	0.4164525092308173	EDA2R
ENSG00000244681.1		0.1478866756874795				0.5599037666557096		0.4483891537087018		0.36847673212973975	0.2533175612161528		MTHFD2P1
ENSG00000048540.14		0.12917251259352563	0.6160491565091529			0.37287816442280247	1.078533868342178		1.0410062337969421				LMO3
ENSG00000228526.6				0.15900359352394422		0.3310018926391861	0.4106895587568743				0.3982472285604626		MIR34AHG
ENSG00000178163.7							-0.6789263336521446	-0.7318283536910691		-0.37967126399332746		-2.442136307332713	ZNF518B
ENSG00000112319.17							1.5141993130391724			0.23221256362021356	0.41132620710685247		EYA4
ENSG00000147889.17								0.6001559443076195			0.29988763817550723	0.8911748257323754	CDKN2A
ENSG00000163564.14							0.3003912442309427		0.3928883505872464	0.31722221440194903			PYHIN1
ENSG00000172667.10							0.30994140402794035		0.4176131215588935	0.20835804753848225			ZMAT3
ENSG00000081803.15		0.20990081744697595	0.3762487648076239								0.1720831558363494		CADPS2
ENSG00000080224.17						0.4752804117855723		0.3133361414382598		0.1836230938047112			EPHA6
ENSG00000250337.5						0.5402478301078256				0.18949367336150694	0.2639229727980113		PURPL
ENSG00000163071.10				0.16791179600228942		0.29427647750670705						0.6197793748289973	SPATA18
ENSG00000255836.1				-0.1979495231410255			-0.49987363833805115					-0.740187488725353	Gene symbol not found
ENSG00000278530.4		0.1104462104869128					0.4395066615524459				0.16523113854381455		CHMP1B2P
ENSG00000196109.6								0.2901660286363452		0.3977243093889473	0.1770381437876343		ZNF676
