	Coef_liver	Coef_artery_aorta	Coef_artery_coronary	Coef_brain_cortex	Coef_brain_cerebellum	Coef_heart_atrial_appendage	Coef_adipose_subcutaneous	Coef_lung	Coef_skin_sun_exposed_lower_leg	Coef_nerve_tibial	Coef_colon_sigmoid	Coef_pancreas	Gene_name
ENSG00000244694.7		0.15621987190401226	0.5555285787583991			0.568107147373855	0.41600820173996056	0.39453559777230784	0.7547652843981076	0.36626619291707363	0.3794217027314268	0.8444704625043118	PTCHD4
ENSG00000131080.14				0.2527127305667014		0.6067447998316157	0.30211946040729526	0.6849698971539762		0.39036095635205165	0.26846781521409374	0.43437060726818216	EDA2R
ENSG00000244681.1		0.14876960875905945				0.5639398793252367		0.4528954739868525		0.3667948269611983	0.2493718072317193		MTHFD2P1
ENSG00000048540.14		0.1275146266108619	0.6094038496421723			0.37598697165172734	1.0760006347550484		1.023272751746689				LMO3
ENSG00000228526.6				0.1597176266613194		0.3173741401682582	0.409910866053593				0.39963988507998627		MIR34AHG
ENSG00000178163.7							-0.699993255080577	-0.7345578925060633		-0.3799337532931461		-2.441622541852767	ZNF518B
ENSG00000196109.6							0.29721324137335464	0.304993806693579		0.39548393916925273	0.18059948684855034		ZNF676
ENSG00000081803.15		0.20903834144372133	0.3728447150483549								0.17412675431510485		CADPS2
ENSG00000278530.4		0.1116326562328524					0.4400041694250604				0.16458730484387146		CHMP1B2P
ENSG00000255836.1				-0.19792966300858544			-0.4946557013994194					-0.7355031890870964	Gene symbol not found
ENSG00000163071.10				0.1696488774460168		0.2930432312689834						0.6076343026379529	SPATA18
ENSG00000250337.5						0.5247120142270463				0.186070209749597	0.26598386517371225		PURPL
ENSG00000080224.17						0.4721779122081427		0.31581479359863884		0.18830266805468257			EPHA6
ENSG00000112319.17							1.5043629348620213			0.22993686320369994	0.4146516673467892		EYA4
ENSG00000172667.10							0.30712288396330956		0.40513547219830137	0.2111826285649011			ZMAT3
ENSG00000147889.17								0.6024393147974131			0.29632458385083166	0.9047048874784306	CDKN2A
