	Coef_adrenal_gland	Gene_name
ENSG00000244694.7	0.38839781028328796	PTCHD4
ENSG00000105707.13	0.3609106779965264	HPN
ENSG00000272721.5	-0.3472961398230058	EIF2B5-DT
ENSG00000268758.7	0.34365774760811185	ADGRE4P
ENSG00000276656.1	-0.3401394181877013	MIR6083
ENSG00000275532.1	-0.32968459229164904	Gene symbol not found
ENSG00000253439.1	0.3265893619440477	CDC42P5
ENSG00000198099.8	0.3256485590413566	ADH4
ENSG00000162753.11	-0.32223453050595957	SLC9C2
ENSG00000267225.1	-0.3136040625948077	WDR7-OT1
ENSG00000253549.5	-0.30857920348287593	CA3-AS1
ENSG00000270947.1	-0.30644617047978784	Gene symbol not found
ENSG00000229124.6	0.30543475268939146	VIM-AS1
ENSG00000236345.1	0.30532947809170263	SCAT8
ENSG00000273870.1	-0.3012680293169924	Gene symbol not found
ENSG00000176219.2	-0.30070456976029075	OR11H6
ENSG00000258992.6	-0.29726208742899657	TSPY1
ENSG00000250337.5	0.2949618317127678	PURPL
ENSG00000131080.14	0.2827542955794278	EDA2R
ENSG00000145107.15	-0.28059867861869126	TM4SF19
ENSG00000272872.1	0.2776674902760263	
ENSG00000149403.12	0.2775983396544844	GRIK4
ENSG00000093072.15	-0.26887987229378735	ADA2
ENSG00000263276.1	0.2681611717834379	Gene symbol not found
ENSG00000282692.1	0.2673184469579439	Gene symbol not found
ENSG00000146070.16	-0.2644494265715842	PLA2G7
ENSG00000229891.1	0.259679656865231	LINC01315
ENSG00000271734.1	0.24856298404082963	
ENSG00000076944.15	-0.24564707865931407	STXBP2
ENSG00000240160.3	0.24402304644610892	RN7SL263P
ENSG00000253894.1	-0.2438859136985259	Gene symbol not found
ENSG00000105711.11	0.24258133658903863	SCN1B
ENSG00000260144.1	0.24034028039027255	Gene symbol not found
ENSG00000057657.15	0.23964113330768588	PRDM1
ENSG00000273143.1	0.23935432058003456	DUSP5-DT
ENSG00000124762.13	0.23774962297768493	CDKN1A
ENSG00000178343.4	0.23388066208463884	SHISA3
ENSG00000170231.15	0.23380786372434498	FABP6
ENSG00000254281.1	-0.23197767518656387	
ENSG00000241346.1	0.23020427932797224	SNRPCP11
ENSG00000232530.1	0.2293671101205843	LIF-AS1
ENSG00000184895.7	-0.22919788194246346	SRY
ENSG00000232732.9	0.22805386844253508	Gene symbol not found
ENSG00000222714.1	0.22515691545536998	RN7SKP38
ENSG00000262362.1	0.22480082426627096	Gene symbol not found
ENSG00000271600.1	-0.22446095718297537	Gene symbol not found
ENSG00000279846.1	0.22208717972151065	Gene symbol not found
ENSG00000036672.15	0.21936287241526167	USP2
ENSG00000178538.9	-0.21876523239626855	CA8
