	Coef_liver	Gene_name
ENSG00000242573.1	-0.3767533409092428	ACTR3P3
ENSG00000219702.1	-0.3133638658255257	Gene symbol not found
ENSG00000114631.10	-0.30941036148756107	PODXL2
ENSG00000222426.1	-0.2840955123787447	RNU2-50P
ENSG00000261570.1	-0.2775012257113674	AGK-DT
ENSG00000259326.1	0.266159459169092	Gene symbol not found
ENSG00000271209.1	0.26033492306540945	BRDTP1
ENSG00000254345.1	-0.2514681037767075	IGKV2D-23
ENSG00000256436.1	0.2473652830064825	TAS2R31
ENSG00000226703.1	-0.2409013668817195	NPM1P4
ENSG00000283205.1	-0.24043146342285748	Gene symbol not found
ENSG00000253604.1	-0.2396285571328021	Gene symbol not found
ENSG00000235118.7	-0.2318470043768934	FAM237A
ENSG00000228262.8	0.22200768141831917	LINC01320
ENSG00000283288.1	-0.2213825370442701	SMIM33
ENSG00000260877.2	0.21343948844651092	Gene symbol not found
ENSG00000237631.2	0.20512465253580434	PARK7P2
ENSG00000231066.3	-0.2045632250529992	NPM1P9
ENSG00000248647.2	0.20425256303045988	Gene symbol not found
ENSG00000103200.6	-0.20209975381124837	Gene symbol not found
ENSG00000250480.3	-0.20193207662925608	RLIG1P1
ENSG00000238835.1	-0.2008793479460633	SCARNA18
ENSG00000233057.1	0.20017770978535057	EEF1A1P14
ENSG00000264685.1	-0.1997393023113886	PRPF19P1
ENSG00000227240.1	0.19658967771835137	Gene symbol not found
ENSG00000108417.3	-0.19115069426659978	KRT37
ENSG00000283098.1	0.19072187840371083	Gene symbol not found
ENSG00000159247.13	0.19037328378858434	TUBBP5
ENSG00000231849.1	-0.18826308617044268	UBE2V2P4
ENSG00000255147.1	-0.18729984398922683	EVA1CP4
ENSG00000259845.1	-0.18561292570360918	HERC2P10
ENSG00000273989.1	0.18470606016413277	Gene symbol not found
ENSG00000214185.3	-0.18458273101364134	XPOTP1
ENSG00000236062.1	0.18151794782978256	GSTM5P1
ENSG00000205220.11	-0.1795283036974065	PSMB10
ENSG00000225370.1	-0.17816789349713436	Gene symbol not found
ENSG00000152977.9	0.17784346390816053	ZIC1
ENSG00000180855.15	0.1766462655519083	ZNF443
ENSG00000254106.1	-0.1746285030554564	LINC01848
ENSG00000239958.3	-0.17446677179273057	RN7SL51P
ENSG00000102053.12	0.17350308279746596	ZC3H12B
ENSG00000284242.1	-0.1690454802550083	Gene symbol not found
ENSG00000179873.14	0.1688688960995556	NLRP11
ENSG00000150873.11	-0.16739923117129651	C2orf50
ENSG00000278054.1	-0.16647802156319036	Gene symbol not found
ENSG00000227814.3	0.166393365511808	MRPS17P9
ENSG00000062096.14	0.16480194261980963	ARSF
ENSG00000277474.1	-0.1647279692896479	MIR6894
ENSG00000171747.8	0.16411939586579327	LGALS4
ENSG00000188738.14	0.163760840226444	FSIP2
