	Coef_liver	Coef_artery_aorta	Coef_artery_coronary	Coef_brain_cortex	Coef_brain_cerebellum	Coef_heart_atrial_appendage	Coef_adipose_subcutaneous	Coef_lung	Coef_skin_sun_exposed_lower_leg	Coef_nerve_tibial	Coef_colon_sigmoid	Coef_pancreas	Gene_name
ENSG00000244694.7		0.15200679659598862	0.54107399622664			0.5847347683182603	0.42643159632488903	0.38806294739665265	0.7501615538462199	0.36860655129471076	0.3798496160643701	0.8298923898731433	PTCHD4
ENSG00000131080.14				0.25338487613046995		0.6172278911220422	0.3105780551561939	0.6913255012418884		0.3884926205554275	0.26704774118022157	0.4348496459023486	EDA2R
ENSG00000244681.1		0.1467100848858407				0.5630097336081985		0.4464802750238164		0.3677691866711792	0.251025099001001		MTHFD2P1
ENSG00000048540.14		0.12761192426842896	0.6037477859335522			0.3734982744262429	1.0897138264500152		1.0324488829431882				LMO3
ENSG00000228526.6				0.1572410845986403		0.3226881409560579	0.4091727499902971				0.3972548475846856		MIR34AHG
ENSG00000178163.7							-0.6935299076230522	-0.7423977520625002		-0.379911977889264		-2.4230673974470216	ZNF518B
ENSG00000196109.6							0.29483185944565804	0.28897468509727997		0.38866192920608433	0.17914478532843775		ZNF676
ENSG00000081803.15		0.20613179032203124	0.3728252118908728								0.17340890295682485		CADPS2
ENSG00000278530.4		0.11109474899060896					0.4410268983705075				0.1631785561226684		CHMP1B2P
ENSG00000255836.1				-0.19746334127694257			-0.506277138959595					-0.7562245451148518	Gene symbol not found
ENSG00000163071.10				0.16463485515325		0.29697993564484965						0.6097477509913689	SPATA18
ENSG00000250337.5						0.541807318356361				0.18921461082746668	0.26011334976336753		PURPL
ENSG00000112319.17							1.5208032695571625			0.22822132961789846	0.4112192346217145		EYA4
ENSG00000172667.10							0.3074209369143485		0.40768837358837945	0.21075813744157162			ZMAT3
ENSG00000147889.17								0.6088276206315155			0.29596966551817827	0.8752808005954885	CDKN2A
