	Coef_artery_coronary	Gene_name
ENSG00000163515.6	-0.6711176474277604	RETNLB
ENSG00000261075.1	-0.6516897589772565	LINC01195
ENSG00000048540.14	0.6123989594822961	LMO3
ENSG00000170381.12	0.5795819466313299	SEMA3E
ENSG00000244694.7	0.5570008639029322	PTCHD4
ENSG00000258641.1	-0.5313778521076424	OR4T1P
ENSG00000196427.13	0.4544537257957818	NBPF4
ENSG00000101977.19	0.4471007303059943	MCF2
ENSG00000270000.1	-0.43025434632625725	Gene symbol not found
ENSG00000252719.1	-0.4254821406405408	Gene symbol not found
ENSG00000261437.1	0.41226731641100595	LINC02894
ENSG00000224846.2	0.40601094911578645	NQO2-AS1
ENSG00000146352.12	0.4021468976373617	CLVS2
ENSG00000265359.1	-0.40069989491791075	Gene symbol not found
ENSG00000201811.1	-0.3851234421647944	SNORA71
ENSG00000249412.1	0.3849444740578351	Gene symbol not found
ENSG00000260804.3	-0.3845310877485422	LINC01963
ENSG00000279348.1	-0.37312982837756564	Gene symbol not found
ENSG00000134533.6	0.3723307233950927	RERG
ENSG00000081803.15	0.36817194478551707	CADPS2
ENSG00000235595.1	-0.3678856893402096	GAPDHP23
ENSG00000271321.1	0.36401006472804137	CTAGE6
ENSG00000242634.1	0.3582788717351696	RPS24P16
ENSG00000236290.1	-0.3446754145133827	EEF1GP7
ENSG00000253147.5	-0.34154472576515243	LINC03023
ENSG00000167104.11	-0.3378733246864304	BPIFB6
ENSG00000207494.1	-0.3377043397156519	Y_RNA
ENSG00000229251.3	-0.32701793518752803	HNRNPA1P8
ENSG00000224510.2	-0.32510091713987477	POLR2KP2
ENSG00000257395.1	-0.322023018861157	Gene symbol not found
ENSG00000224897.6	0.32140115881608844	POT1-AS1
ENSG00000277120.5	-0.3186943292278784	MIR6089
ENSG00000225636.1	0.3115207895175252	HNRNPA3P15
ENSG00000205898.3	0.3105062570995202	Gene symbol not found
ENSG00000227413.1	0.3093140355834937	Gene symbol not found
ENSG00000220848.4	0.30666843917888864	RPS18P9
ENSG00000105699.16	-0.2960344916146858	LSR
ENSG00000037757.13	0.28732676796852086	MRI1
ENSG00000260473.2	-0.28301847815142905	Gene symbol not found
ENSG00000183506.17	0.28229757520743515	PI4KAP2
ENSG00000246130.1	0.2763988077279534	TNFRSF10B-AS1
ENSG00000270809.1	0.2736338528884084	CHCHD2P11
ENSG00000105643.9	-0.2731495631013293	ARRDC2
ENSG00000183386.9	-0.2729542758179961	FHL3
ENSG00000270750.1	0.2718296758046993	
ENSG00000182963.9	-0.26953771030532525	GJC1
ENSG00000267042.1	0.2655696590970087	Gene symbol not found
ENSG00000259005.1	-0.2609706774005436	Gene symbol not found
ENSG00000100368.13	-0.25409690259546114	CSF2RB
ENSG00000217414.2	-0.25328757310674	DDX18P3
