	Coef_brain_cortex	Gene_name
ENSG00000151650.7	0.27989195578475967	VENTX
ENSG00000131080.14	0.25178761066296973	EDA2R
ENSG00000252581.1	0.24314837605760886	RNU6-1098P
ENSG00000208005.1	-0.22462434573729367	MIR503
ENSG00000267544.1	-0.2061037406526472	HIKESHIP2
ENSG00000255836.1	-0.201271871994563	Gene symbol not found
ENSG00000197376.2	0.19398501272044488	Gene symbol not found
ENSG00000233429.9	0.19370342632587076	HOTAIRM1
ENSG00000187013.4	0.18104038731532807	LINC02875
ENSG00000088836.12	0.1805910941050865	SLC4A11
ENSG00000259124.1	-0.17877287300005315	Gene symbol not found
ENSG00000207186.1	0.1733726627392147	RNA5SP122
ENSG00000267773.1	-0.1681198150476362	Gene symbol not found
ENSG00000163071.10	0.16753177599141658	SPATA18
ENSG00000259792.1	0.16569462041594185	Gene symbol not found
ENSG00000267799.1	-0.16542551593335594	MAN1A2P1
ENSG00000280710.2	-0.16422998404410136	
ENSG00000202517.1	-0.15825002411549283	Gene symbol not found
ENSG00000228526.6	0.15654115846867248	MIR34AHG
ENSG00000278318.4	-0.15608288665612627	ZNF229
ENSG00000230453.9	0.15493096933695563	ANKRD18B
ENSG00000248476.1	-0.15274086101776826	BACH1-IT1
ENSG00000173908.8	-0.15182895634884505	KRT28
ENSG00000254294.1	-0.14865117479953777	IMPDH1P6
ENSG00000274904.1	-0.14841784790218263	Gene symbol not found
ENSG00000172426.15	-0.14704366190687723	RSPH9
ENSG00000248646.1	-0.14431500173190234	
ENSG00000283377.1	-0.14384741454943858	Gene symbol not found
ENSG00000214121.4	-0.1429449916036513	PRDX1P1
ENSG00000255794.7	0.14258954977944896	RMST
ENSG00000230931.2	-0.1424558216177458	GXYLT1P1
ENSG00000273687.1	0.14215356304188645	Gene symbol not found
ENSG00000259742.1	-0.14167040577961434	Gene symbol not found
ENSG00000225075.1	0.1407427258270649	Gene symbol not found
ENSG00000196862.9	-0.14060812322015354	RGPD4
ENSG00000168418.7	0.14021679363616982	KCNG4
ENSG00000258550.1	-0.1392155384313384	OR7E106P
ENSG00000276556.1	-0.13904385473962433	Gene symbol not found
ENSG00000277697.1	-0.13893694147199936	
ENSG00000244308.2	-0.1387953101258078	RN7SL762P
ENSG00000162722.8	-0.13807450330414892	TRIM58
ENSG00000253642.5	0.1328703419149557	Gene symbol not found
ENSG00000236380.5	-0.1325146319958171	VENTXP7
ENSG00000172680.1	-0.1311177728754052	MOS
ENSG00000164399.4	-0.13095203904817052	IL3
ENSG00000224566.2	-0.12887640820832397	CIAO2AP2
ENSG00000120289.11	-0.1274943075505379	MAGEB4
ENSG00000178343.4	0.12675722857460514	SHISA3
ENSG00000214415.3	-0.1267270017422015	GNAT3
ENSG00000207010.1	-0.12610901321456766	RNU6-318P
