	Coef_pituitary	Gene_name
ENSG00000180105.11	-0.3918841394957197	ACER2P1
ENSG00000252719.1	-0.3390588445600705	Gene symbol not found
ENSG00000244694.7	0.3230967295394454	PTCHD4
ENSG00000185088.13	0.31518615626565266	RPS27L
ENSG00000131080.14	0.3051543563937356	EDA2R
ENSG00000252591.1	-0.3007940205190206	RNA5SP468
ENSG00000213816.3	-0.28122437434061487	CNN2P4
ENSG00000173535.13	0.275161729754251	TNFRSF10C
ENSG00000117594.9	0.26527900138451493	HSD11B1
ENSG00000255492.1	-0.26001284646569145	H3P33
ENSG00000260255.1	-0.25703256744333003	Gene symbol not found
ENSG00000232139.5	-0.24824573659555868	LINC00867
ENSG00000269526.1	-0.24753481976171282	ERVV-1
ENSG00000202272.1	-0.23953527534845148	Y_RNA
ENSG00000280436.1	-0.23391955408104986	Gene symbol not found
ENSG00000236136.1	0.22583548776406775	ADORA2BP1
ENSG00000278698.1	-0.22552708338080907	Gene symbol not found
ENSG00000134574.11	0.22321654473696448	DDB2
ENSG00000216977.1	0.21829239678785817	RPL21P65
ENSG00000235623.2	-0.21628790434051576	OR7E110P
ENSG00000203531.3	-0.20822780102480548	Gene symbol not found
ENSG00000237978.5	0.2077657145247414	KCNMB2-AS1
ENSG00000232939.1	-0.2025426452340436	Gene symbol not found
ENSG00000255489.1	-0.199745136451007	Gene symbol not found
ENSG00000243539.3	-0.19917829520859773	RN7SL649P
ENSG00000268994.3	-0.1983461611422061	FAM236B
ENSG00000252778.1	-0.1947329682536124	Gene symbol not found
ENSG00000251874.1	-0.19120196364782327	RNU6-615P
ENSG00000177770.11	-0.19018918952171876	CDKN2AIPNLP1
ENSG00000234913.1	-0.18902831246239946	Gene symbol not found
ENSG00000100593.17	-0.18662229731416177	ISM2
ENSG00000279954.1	-0.1837970509540234	Gene symbol not found
ENSG00000253305.2	-0.18348216551001728	PCDHGB6
ENSG00000270900.1	-0.18290703985304607	NUDT19P4
ENSG00000252919.1	-0.17894841443150897	Y_RNA
ENSG00000226320.5	-0.17860960602837417	LINC01811
ENSG00000228162.1	-0.17769138036643442	Gene symbol not found
ENSG00000178163.7	-0.1745918076506927	ZNF518B
ENSG00000267289.1	-0.17248290530403815	PIN1-DT
ENSG00000240423.1	-0.16777849233998415	LINC00636
ENSG00000234379.1	-0.1665878961566408	HMGB1P48
ENSG00000235151.1	-0.16623666619226843	Gene symbol not found
ENSG00000278200.1	-0.16542504014181714	LINC01971
ENSG00000236886.2	-0.1632377392366599	
ENSG00000180662.8	-0.163155865833392	RPL21P8
ENSG00000061337.15	-0.16303772005006978	LZTS1
ENSG00000173451.6	-0.1619875767154332	THAP2
ENSG00000254251.1	0.15858589580358218	Gene symbol not found
ENSG00000272969.1	-0.15776440955409549	Gene symbol not found
ENSG00000273568.1	0.15739480750643914	Gene symbol not found
