	Coef_pancreas	Gene_name
ENSG00000178163.7	-2.42898056412702	ZNF518B
ENSG00000104722.13	-1.6942172208664514	NEFM
ENSG00000185010.13	1.586300344520394	F8
ENSG00000260015.1	1.428092312542508	Gene symbol not found
ENSG00000166262.15	-1.1843032018858384	FAM227B
ENSG00000159212.12	-1.0850939677482845	CLIC6
ENSG00000206195.10	1.002589457155785	DUXAP8
ENSG00000148082.9	1.0002739276980965	SHC3
ENSG00000224945.1	0.9763731483289588	Gene symbol not found
ENSG00000255408.3	0.9215736268416179	PCDHA3
ENSG00000106341.10	0.9211003846733161	PPP1R17
ENSG00000119973.5	0.9015581695413754	PRLHR
ENSG00000147889.17	0.8987806000290974	CDKN2A
ENSG00000258628.1	0.8965760625012045	RHPN2P1
ENSG00000204176.13	-0.8615722226028334	SYT15
ENSG00000244694.7	0.8432977363943214	PTCHD4
ENSG00000183770.5	0.7776555024678447	FOXL2
ENSG00000255836.1	-0.7730094383296602	Gene symbol not found
ENSG00000229020.4	0.7108920544305993	AKR7A2P1
ENSG00000265366.6	0.6906713551588576	GLUD1P2
ENSG00000143355.15	0.6662790953111087	LHX9
ENSG00000088882.7	-0.6633159420741979	CPXM1
ENSG00000163071.10	0.6303210631741447	SPATA18
ENSG00000281205.1	-0.5969115740932625	
ENSG00000147027.3	0.5949454520135327	TMEM47
ENSG00000213225.7	-0.581961253603335	NOC2LP1
ENSG00000102796.10	-0.5779099836740699	DHRS12
ENSG00000100867.14	0.4687466889729085	DHRS2
ENSG00000214754.3	-0.4571439638824208	SRSF8CP
ENSG00000198804.2	-0.4437007020235468	MT-CO1
ENSG00000131080.14	0.42165167385970637	EDA2R
ENSG00000250218.1	0.3740058507526214	ALDH1L1-AS1
ENSG00000240401.8	0.36827146961700763	
ENSG00000236833.1	0.33707450085417034	Gene symbol not found
ENSG00000235268.2	-0.3221245631355866	KDM4E
ENSG00000275560.1	0.3035103713209811	
ENSG00000204969.6	0.2924032592431618	PCDHA2
ENSG00000272674.3	0.28612763932180496	PCDHB16
ENSG00000173947.13	-0.26865221552811114	CIMAP3
ENSG00000255158.1	-0.25314092416764894	Gene symbol not found
ENSG00000200769.1	-0.2507430406767023	Y_RNA
ENSG00000184378.2	-0.21381930653849912	ACTRT3
ENSG00000188011.5	-0.18177956681329438	RTP5
ENSG00000054598.6	0.1952056224277126	FOXC1
ENSG00000100196.10	-0.18110753049689102	KDELR3
ENSG00000124203.6	0.17568230708108024	ZNF831
ENSG00000167281.18	-0.14173820547507485	RBFOX3
ENSG00000176046.8	-0.0786444311475685	NUPR1
ENSG00000272872.1	0.1047411821166095	
