	Coef_colon_sigmoid	Gene_name
ENSG00000112319.17	0.41132620710685247	EYA4
ENSG00000228526.6	0.3982472285604626	MIR34AHG
ENSG00000244694.7	0.37998557907004865	PTCHD4
ENSG00000170049.9	-0.3445815764987887	KCNAB3
ENSG00000248799.1	-0.3035360605694678	Gene symbol not found
ENSG00000147889.17	0.29988763817550723	CDKN2A
ENSG00000138829.11	-0.27133730620106306	FBN2
ENSG00000131080.14	0.2680130179303769	EDA2R
ENSG00000250337.5	0.2639229727980113	PURPL
ENSG00000270212.1	-0.25772022559382846	Gene symbol not found
ENSG00000200036.1	-0.2552900908971345	RNA5SP65
ENSG00000227708.1	-0.25506508574009923	LINC01850
ENSG00000244681.1	0.2533175612161528	MTHFD2P1
ENSG00000237438.7	0.24231807880571174	CECR7
ENSG00000281937.1	0.2275448612800593	
ENSG00000227704.1	-0.21510716670924887	Gene symbol not found
ENSG00000064655.18	0.20601771177214107	EYA2
ENSG00000206195.10	0.20172278721494488	DUXAP8
ENSG00000273455.1	0.19816086945757186	Gene symbol not found
ENSG00000224988.1	-0.19519842799550016	Gene symbol not found
ENSG00000225511.6	0.192480944177199	LINC00475
ENSG00000168828.5	0.1873379144280223	OR13J1
ENSG00000255159.1	-0.18656061057134218	DENND2B-AS1
ENSG00000162639.15	-0.18386896921943008	HENMT1
ENSG00000198807.12	0.18197830315140603	PAX9
ENSG00000267282.1	0.18194061143772627	Gene symbol not found
ENSG00000273604.1	-0.18163758695709864	EPOP
ENSG00000233254.1	0.18121820190121504	RPL21P134
ENSG00000217004.1	-0.18017307758196793	Gene symbol not found
ENSG00000196109.6	0.1770381437876343	ZNF676
ENSG00000223284.1	-0.1745894040493474	RNU6-195P
ENSG00000081803.15	0.1720831558363494	CADPS2
ENSG00000269947.1	-0.17148306607113467	Gene symbol not found
ENSG00000168779.19	0.16904361111432778	SHOX2
ENSG00000272922.1	0.16545818189063444	
ENSG00000278530.4	0.16523113854381455	CHMP1B2P
ENSG00000213225.7	-0.16302558971038056	NOC2LP1
ENSG00000268079.1	0.16170938623646824	BNIP3P30
ENSG00000111339.10	0.16068286507334664	ART4
ENSG00000164109.13	-0.16006117318909985	MAD2L1
ENSG00000255408.3	0.16002142987553	PCDHA3
ENSG00000130943.6	-0.15679768618079054	PKDREJ
ENSG00000237512.6	0.15661277579130756	UNC5B-AS1
ENSG00000260304.1	0.15527246271224074	Gene symbol not found
ENSG00000231952.3	-0.15518644675448406	DPY19L1P2
ENSG00000249973.2	0.15454625310617484	CHCHD2P7
ENSG00000226925.1	-0.1539348786319783	IL1R1-AS1
ENSG00000198963.10	0.15308621146454712	RORB
ENSG00000279067.1	0.15283383151351693	Gene symbol not found
