	Coef_adipose_subcutaneous	Gene_name
ENSG00000112319.17	1.5107518446546986	EYA4
ENSG00000048540.14	1.0813245528711926	LMO3
ENSG00000268079.1	0.7097071723937161	BNIP3P30
ENSG00000178163.7	-0.6944826668418069	ZNF518B
ENSG00000008300.16	0.5101289151528663	CELSR3
ENSG00000255836.1	-0.49694703248052835	Gene symbol not found
ENSG00000277156.1	0.4789809749214279	TOMM40P1
ENSG00000198838.13	0.4745918488144931	RYR3
ENSG00000278530.4	0.4520611242755007	CHMP1B2P
ENSG00000205213.13	-0.442126604421515	LGR4
ENSG00000244694.7	0.42426092865114146	PTCHD4
ENSG00000189233.11	0.4223975332033791	NUGGC
ENSG00000228526.6	0.4135081817342219	MIR34AHG
ENSG00000147231.13	0.41169018065588936	RADX
ENSG00000182168.14	0.4011762986842156	UNC5C
ENSG00000207291.1	0.3996602953768948	RNU6-30P
ENSG00000101405.3	-0.3965282413575242	OXT
ENSG00000141431.10	0.37854256015223425	ASXL3
ENSG00000180817.11	0.37747687429608173	PPA1
ENSG00000185090.14	0.3773225471888486	MANEAL
ENSG00000174292.12	0.3623854696594548	TNK1
ENSG00000118526.6	0.3583144060431217	TCF21
ENSG00000053438.8	-0.35788803160051075	NNAT
ENSG00000266236.1	0.35707437612100545	NARF-IT1
ENSG00000236536.1	-0.35154189312559525	Gene symbol not found
ENSG00000271709.1	0.3470287216099747	Gene symbol not found
ENSG00000267374.1	-0.3415156477992151	MIR924HG
ENSG00000172247.3	-0.3403490391921567	C1QTNF4
ENSG00000261340.1	-0.3401430704509625	LINC01616
ENSG00000255468.6	-0.33986595558888094	B4GAT1-DT
ENSG00000101955.14	-0.33743390082125746	SRPX
ENSG00000112599.8	0.3276115888888637	GUCA1B
ENSG00000250742.2	0.32661991588641665	LINC02381
ENSG00000206052.10	-0.3265616133718587	DOK6
ENSG00000165478.6	0.3241171446006844	HEPACAM
ENSG00000160233.7	-0.32302896215344473	LRRC3
ENSG00000141576.14	0.32023264316374644	RNF157
ENSG00000253958.1	-0.3196550581021394	CLDN23
ENSG00000181036.13	0.3151650986811968	FCRL6
ENSG00000275322.1	-0.3132481934713492	Gene symbol not found
ENSG00000131080.14	0.3130623352112017	EDA2R
ENSG00000172667.10	0.3109673798972987	ZMAT3
ENSG00000101882.9	0.30601918524518507	NKAP
ENSG00000163564.14	0.30458539677636	PYHIN1
ENSG00000217330.1	0.30452061865763025	SSXP10
ENSG00000196878.14	-0.30064091649150243	LAMB3
ENSG00000235513.1	0.29832670340482875	L3MBTL2-AS1
ENSG00000262001.1	-0.2961527934679083	DLGAP1-AS2
ENSG00000229901.1	0.2958295325546953	FOXO6-AS1
