	Coef_artery_coronary	Gene_name
ENSG00000163515.6	-0.6702748133497993	RETNLB
ENSG00000261075.1	-0.6206064902940289	LINC01195
ENSG00000048540.14	0.6136163556919983	LMO3
ENSG00000170381.12	0.5852890805388996	SEMA3E
ENSG00000244694.7	0.5663262491759615	PTCHD4
ENSG00000258641.1	-0.5265271460550162	OR4T1P
ENSG00000101977.19	0.4459042935807827	MCF2
ENSG00000196427.13	0.4382072330195851	NBPF4
ENSG00000270000.1	-0.4313404460867157	Gene symbol not found
ENSG00000252719.1	-0.4103173024563818	Gene symbol not found
ENSG00000224846.2	0.40938373059001065	NQO2-AS1
ENSG00000265359.1	-0.40921835813078244	Gene symbol not found
ENSG00000261437.1	0.40766931780094023	LINC02894
ENSG00000146352.12	0.40016421777385364	CLVS2
ENSG00000260804.3	-0.3843967414135818	LINC01963
ENSG00000249412.1	0.378101344074831	Gene symbol not found
ENSG00000279348.1	-0.37548692558943886	Gene symbol not found
ENSG00000134533.6	0.374550534637645	RERG
ENSG00000081803.15	0.3725282758685933	CADPS2
ENSG00000242634.1	0.3715410281156015	RPS24P16
ENSG00000201811.1	-0.36875062938125003	SNORA71
ENSG00000235595.1	-0.3684750059595199	GAPDHP23
ENSG00000271321.1	0.35726608622091044	CTAGE6
ENSG00000236290.1	-0.3464791315618474	EEF1GP7
ENSG00000253147.5	-0.34596226889463183	LINC03023
ENSG00000207494.1	-0.3400176881087032	Y_RNA
ENSG00000257395.1	-0.32714808479577306	Gene symbol not found
ENSG00000229251.3	-0.3229637119542134	HNRNPA1P8
ENSG00000167104.11	-0.31926920286964583	BPIFB6
ENSG00000224897.6	0.3191390086423024	POT1-AS1
ENSG00000224510.2	-0.31785053350705494	POLR2KP2
ENSG00000227413.1	0.31729305217154763	Gene symbol not found
ENSG00000220848.4	0.3127595367808394	RPS18P9
ENSG00000205898.3	0.30882672332983024	Gene symbol not found
ENSG00000277120.5	-0.3066733477461122	MIR6089
ENSG00000105699.16	-0.3058477840651015	LSR
ENSG00000225636.1	0.2993230254398715	HNRNPA3P15
ENSG00000270750.1	0.29762446164421374	
ENSG00000246130.1	0.2882695821173383	TNFRSF10B-AS1
ENSG00000037757.13	0.28405886695396665	MRI1
ENSG00000270809.1	0.28165646980594417	CHCHD2P11
ENSG00000260473.2	-0.2794052371377366	Gene symbol not found
ENSG00000183506.17	0.2769099962474303	PI4KAP2
ENSG00000182963.9	-0.27615697151224955	GJC1
ENSG00000105643.9	-0.2745617633961666	ARRDC2
ENSG00000183386.9	-0.2707608107902284	FHL3
ENSG00000217414.2	-0.26675903949987856	DDX18P3
ENSG00000100368.13	-0.26607461681103445	CSF2RB
ENSG00000259005.1	-0.2659778957844898	Gene symbol not found
ENSG00000256560.1	-0.24971992526426454	LINC01486
