	Coef_adrenal_gland	Gene_name
ENSG00000244694.7	0.3923528732690607	PTCHD4
ENSG00000105707.13	0.36113201815393586	HPN
ENSG00000272721.5	-0.3589991521365873	EIF2B5-DT
ENSG00000268758.7	0.33782628219347294	ADGRE4P
ENSG00000276656.1	-0.32985849227806635	MIR6083
ENSG00000275532.1	-0.32751855614827535	Gene symbol not found
ENSG00000198099.8	0.32670796985653766	ADH4
ENSG00000253439.1	0.3237294995933744	CDC42P5
ENSG00000267225.1	-0.3221087763881023	WDR7-OT1
ENSG00000162753.11	-0.32199464604379147	SLC9C2
ENSG00000236345.1	0.3098983646272708	SCAT8
ENSG00000229124.6	0.30889709006780725	VIM-AS1
ENSG00000176219.2	-0.3074223682713979	OR11H6
ENSG00000270947.1	-0.3020455774830132	Gene symbol not found
ENSG00000258992.6	-0.30085129723509846	TSPY1
ENSG00000253549.5	-0.2980373593352819	CA3-AS1
ENSG00000273870.1	-0.2925193821147323	Gene symbol not found
ENSG00000250337.5	0.29171003048843896	PURPL
ENSG00000149403.12	0.2871346479617313	GRIK4
ENSG00000145107.15	-0.2810685525933624	TM4SF19
ENSG00000131080.14	0.2798518223882421	EDA2R
ENSG00000272872.1	0.2732363985315853	
ENSG00000093072.15	-0.27293041412877433	ADA2
ENSG00000282692.1	0.26809745490659237	Gene symbol not found
ENSG00000263276.1	0.2678178660556012	Gene symbol not found
ENSG00000229891.1	0.26578115523551304	LINC01315
ENSG00000146070.16	-0.26425608222633634	PLA2G7
ENSG00000105711.11	0.2479153967601423	SCN1B
ENSG00000271734.1	0.24335023483017842	
ENSG00000124762.13	0.24274431611301658	CDKN1A
ENSG00000273143.1	0.24176642073550653	DUSP5-DT
ENSG00000076944.15	-0.24146404605447117	STXBP2
ENSG00000240160.3	0.2410376921442593	RN7SL263P
ENSG00000057657.15	0.2402722452322121	PRDM1
ENSG00000260144.1	0.2393944709126764	Gene symbol not found
ENSG00000170231.15	0.2351031571327194	FABP6
ENSG00000232732.9	0.233045962594238	Gene symbol not found
ENSG00000253894.1	-0.23223677578509494	Gene symbol not found
ENSG00000271600.1	-0.2320248924264018	Gene symbol not found
ENSG00000178343.4	0.23134944688347112	SHISA3
ENSG00000222714.1	0.23085767029372437	RN7SKP38
ENSG00000184895.7	-0.22836749486765467	SRY
ENSG00000241346.1	0.2279134457056451	SNRPCP11
ENSG00000232530.1	0.22632993904574558	LIF-AS1
ENSG00000254281.1	-0.22525466283069337	
ENSG00000178538.9	-0.22346692506739585	CA8
ENSG00000106025.8	0.2192354283104191	TSPAN12
ENSG00000279846.1	0.219219679468735	Gene symbol not found
ENSG00000036672.15	0.2170601182866885	USP2
