	Coef_adrenal_gland	Gene_name
ENSG00000244694.7	0.3919101720760224	PTCHD4
ENSG00000105707.13	0.3590418525625448	HPN
ENSG00000272721.5	-0.3535458862749645	EIF2B5-DT
ENSG00000268758.7	0.3413449413921833	ADGRE4P
ENSG00000198099.8	0.3299157458312453	ADH4
ENSG00000275532.1	-0.32915457802895554	Gene symbol not found
ENSG00000253439.1	0.32659820504535214	CDC42P5
ENSG00000276656.1	-0.3263101599215486	MIR6083
ENSG00000267225.1	-0.31968183654518545	WDR7-OT1
ENSG00000162753.11	-0.3174402934254339	SLC9C2
ENSG00000253549.5	-0.3149306686000589	CA3-AS1
ENSG00000236345.1	0.31454720389416685	SCAT8
ENSG00000229124.6	0.30840833997140693	VIM-AS1
ENSG00000258992.6	-0.30396581998312505	TSPY1
ENSG00000270947.1	-0.30203476932584733	Gene symbol not found
ENSG00000176219.2	-0.3001241301429537	OR11H6
ENSG00000273870.1	-0.29127558037741225	Gene symbol not found
ENSG00000250337.5	0.29090603905415646	PURPL
ENSG00000149403.12	0.28345356893247703	GRIK4
ENSG00000131080.14	0.2819271550279555	EDA2R
ENSG00000282692.1	0.27744166483718286	Gene symbol not found
ENSG00000272872.1	0.2756344639597504	
ENSG00000145107.15	-0.27194614059745237	TM4SF19
ENSG00000229891.1	0.265322263495254	LINC01315
ENSG00000263276.1	0.2651745374447114	Gene symbol not found
ENSG00000093072.15	-0.2647756478798997	ADA2
ENSG00000146070.16	-0.2599728508748883	PLA2G7
ENSG00000271734.1	0.24879062572180322	
ENSG00000273143.1	0.24806750650360523	DUSP5-DT
ENSG00000105711.11	0.24668707097091658	SCN1B
ENSG00000124762.13	0.24286822711370007	CDKN1A
ENSG00000076944.15	-0.2409311130275308	STXBP2
ENSG00000260144.1	0.2390725181804563	Gene symbol not found
ENSG00000240160.3	0.23789182347541607	RN7SL263P
ENSG00000057657.15	0.23763919525787897	PRDM1
ENSG00000178343.4	0.23719169922461275	SHISA3
ENSG00000232530.1	0.23708153539038063	LIF-AS1
ENSG00000184895.7	-0.23125597470580472	SRY
ENSG00000232732.9	0.22995255811733703	Gene symbol not found
ENSG00000170231.15	0.22882921360704633	FABP6
ENSG00000178538.9	-0.2265903766919369	CA8
ENSG00000241346.1	0.2260435567213647	SNRPCP11
ENSG00000222714.1	0.22561339488605586	RN7SKP38
ENSG00000254281.1	-0.22440052418124845	
ENSG00000271600.1	-0.22363365417221936	Gene symbol not found
ENSG00000262362.1	0.22213748027477415	Gene symbol not found
ENSG00000253894.1	-0.22151395063927018	Gene symbol not found
ENSG00000036672.15	0.2196438269774479	USP2
ENSG00000258740.1	0.21892215922492592	Gene symbol not found
