	Coef_artery_aorta	Gene_name
ENSG00000081803.15	0.2072711556906108	CADPS2
ENSG00000126878.12	-0.1563777449186502	AIF1L
ENSG00000244694.7	0.1527252096338929	PTCHD4
ENSG00000168779.19	0.15035037828788805	SHOX2
ENSG00000281706.2	-0.14709525129218126	LINC01012
ENSG00000244681.1	0.14677820429853783	MTHFD2P1
ENSG00000185272.13	0.1464471394489081	RBM11
ENSG00000261786.1	-0.14361176330729986	Gene symbol not found
ENSG00000186472.19	0.140346415777373	PCLO
ENSG00000232860.7	-0.13882813318228063	SMG7-AS1
ENSG00000082556.10	-0.13854893619483497	OPRK1
ENSG00000064205.10	0.13420214882224415	CCN5
ENSG00000151474.21	-0.13060501831524518	FRMD4A
ENSG00000048540.14	0.12859063593971803	LMO3
ENSG00000196090.12	-0.12788425731295236	PTPRT
ENSG00000050555.17	-0.12572882371542368	LAMC3
ENSG00000258695.2	0.12462684432100553	Gene symbol not found
ENSG00000072041.16	0.12127012221805748	SLC6A15
ENSG00000266050.2	-0.12106054957638898	Gene symbol not found
ENSG00000267504.1	0.11986699884884804	Gene symbol not found
ENSG00000198732.10	-0.11760478691181632	SMOC1
ENSG00000254585.2	-0.11757741791044432	MAGEL2
ENSG00000206828.1	-0.1172594175762997	RNVU1-30
ENSG00000137968.16	-0.11214806644542753	SLC44A5
ENSG00000215529.12	0.11170978929481035	EFCAB8
ENSG00000273036.2	0.11080826016818553	CYP4F33P
ENSG00000151948.11	-0.11048049534262909	GLT1D1
ENSG00000278530.4	0.11031134962353883	CHMP1B2P
ENSG00000165325.13	0.10917083886136879	DEUP1
ENSG00000258675.1	-0.1085929646326228	LINC02308
ENSG00000250361.7	0.10785015927358588	GYPB
ENSG00000086717.18	0.10756258431672545	PPEF1
ENSG00000239268.2	-0.10604167284982619	LINC03051
ENSG00000231784.8	-0.10494161638175753	DBIL5P
ENSG00000188191.14	-0.10437668999066593	PRKAR1B
ENSG00000184500.14	0.10387615287304845	PROS1
ENSG00000280435.1	-0.1029091432227413	Gene symbol not found
ENSG00000236155.6	-0.1019890864077267	ZPLD2P
ENSG00000179083.6	0.10162091648326008	FAM133A
ENSG00000276107.1	0.10101118623608014	THBS1-IT1
ENSG00000167693.16	-0.09906402579781147	NXN
ENSG00000230267.7	-0.0988738575745195	HERC2P4
ENSG00000171403.9	-0.09877089098898371	KRT9
ENSG00000176049.15	0.09800816583481692	JAKMIP2
ENSG00000067221.13	0.0975374723207528	STOML1
ENSG00000131941.7	-0.0973960878304634	RHPN2
ENSG00000249693.2	0.0970386287283571	SPMAP2L
ENSG00000162738.5	-0.0963393922834292	VANGL2
ENSG00000215105.4	0.09573393617222885	TTC3P1
ENSG00000172818.9	0.09503366805083172	OVOL1
