	Coef_skin_sun_exposed_lower_leg	Gene_name
ENSG00000156959.8	2.2018992832340376	LHFPL4
ENSG00000070019.4	1.1182753401735905	GUCY2C
ENSG00000048540.14	1.0388679342037264	LMO3
ENSG00000154162.14	-1.0195634063380827	CDH12
ENSG00000255442.1	0.866538166061937	Gene symbol not found
ENSG00000104044.15	-0.8469370090743803	OCA2
ENSG00000278318.4	-0.7983278114229296	ZNF229
ENSG00000224810.1	-0.7769622002153815	Gene symbol not found
ENSG00000244694.7	0.7611433152341365	PTCHD4
ENSG00000124253.10	-0.7610203686663995	PCK1
ENSG00000181690.7	-0.7074012304241611	PLAG1
ENSG00000246627.6	0.6978840533179902	
ENSG00000226057.6	0.6208781829536968	PHF2P2
ENSG00000114378.16	0.5804893635056522	HYAL1
ENSG00000267733.5	0.5794111697537152	Gene symbol not found
ENSG00000007372.21	0.5727748856758241	PAX6
ENSG00000176998.4	0.5645408820936101	HCG4
ENSG00000180155.19	-0.5612006625473065	LYNX1
ENSG00000185008.17	-0.5579737040427682	ROBO2
ENSG00000207296.1	0.5443266441830732	RNU6-140P
ENSG00000112333.11	0.5425931221257944	NR2E1
ENSG00000271447.5	0.5367947094884749	MMP28
ENSG00000229375.1	0.5257562448063227	USP24P1
ENSG00000176153.11	-0.5199280890697581	GPX2
ENSG00000110092.3	0.5161399409060886	CCND1
ENSG00000261104.1	-0.507217853976779	Gene symbol not found
ENSG00000100321.14	-0.5056443344040031	SYNGR1
ENSG00000267508.5	-0.5024581124584931	ZNF285
ENSG00000072818.11	0.46270269823457805	ACAP1
ENSG00000254043.1	-0.45413799178159436	Gene symbol not found
ENSG00000179151.11	-0.4504307970214258	EDC3
ENSG00000235961.5	-0.4496686878112189	PNMA6A
ENSG00000105520.10	-0.4471189876416214	PLPPR2
ENSG00000235903.7	-0.43793064762440664	CPB2-AS1
ENSG00000136378.14	0.432637763336079	ADAMTS7
ENSG00000114405.10	-0.41611153723664895	CEP15
ENSG00000235933.1	0.4114018273452354	LINC01779
ENSG00000172667.10	0.4094054333763474	ZMAT3
ENSG00000164099.3	-0.4093591638758365	PRSS12
ENSG00000112852.6	0.3956594732495613	PCDHB2
ENSG00000146521.9	0.39444954567600826	
ENSG00000143320.8	0.39147863792169035	CRABP2
ENSG00000163564.14	0.3890115064965568	PYHIN1
ENSG00000278937.1	-0.3855194803241891	
ENSG00000162722.8	0.38024099365655356	TRIM58
ENSG00000184990.12	-0.37666482837655163	SIVA1
ENSG00000128311.13	0.37170947106764374	TST
ENSG00000230587.1	0.3682273453328467	LINC02580
ENSG00000158023.9	0.3577752764919528	CFAP251
