	Coef_adrenal_gland	Gene_name
ENSG00000244694.7	0.39424502848474346	PTCHD4
ENSG00000105707.13	0.36586606934770627	HPN
ENSG00000272721.5	-0.35320338811934193	EIF2B5-DT
ENSG00000268758.7	0.34622337727263497	ADGRE4P
ENSG00000198099.8	0.33867578792898423	ADH4
ENSG00000276656.1	-0.33776045117021153	MIR6083
ENSG00000275532.1	-0.3319431078969135	Gene symbol not found
ENSG00000162753.11	-0.3225598533436993	SLC9C2
ENSG00000253439.1	0.31831605140933883	CDC42P5
ENSG00000267225.1	-0.3175786146940964	WDR7-OT1
ENSG00000258992.6	-0.308938134645033	TSPY1
ENSG00000236345.1	0.30594169574878466	SCAT8
ENSG00000253549.5	-0.3029618717030844	CA3-AS1
ENSG00000273870.1	-0.29668197400815854	Gene symbol not found
ENSG00000229124.6	0.2956054882438127	VIM-AS1
ENSG00000270947.1	-0.29364836997909644	Gene symbol not found
ENSG00000131080.14	0.2864782309943113	EDA2R
ENSG00000176219.2	-0.2861806226292571	OR11H6
ENSG00000149403.12	0.2852035346809017	GRIK4
ENSG00000250337.5	0.28454500306396674	PURPL
ENSG00000272872.1	0.2830471289410794	
ENSG00000145107.15	-0.27680389165886765	TM4SF19
ENSG00000263276.1	0.2732454060469217	Gene symbol not found
ENSG00000282692.1	0.27086311058533963	Gene symbol not found
ENSG00000093072.15	-0.2686947048523242	ADA2
ENSG00000229891.1	0.25948545629606756	LINC01315
ENSG00000146070.16	-0.25697864430696615	PLA2G7
ENSG00000271734.1	0.24877858898285543	
ENSG00000076944.15	-0.24396076253702648	STXBP2
ENSG00000273143.1	0.2437160444615325	DUSP5-DT
ENSG00000105711.11	0.24213100370029667	SCN1B
ENSG00000240160.3	0.24025009693617047	RN7SL263P
ENSG00000057657.15	0.2391534713330226	PRDM1
ENSG00000178343.4	0.238517656393479	SHISA3
ENSG00000253894.1	-0.23734898658578515	Gene symbol not found
ENSG00000124762.13	0.23687009858188685	CDKN1A
ENSG00000170231.15	0.23633259698987436	FABP6
ENSG00000260144.1	0.23522646191040883	Gene symbol not found
ENSG00000232732.9	0.2332745831342008	Gene symbol not found
ENSG00000241346.1	0.23191643373899215	SNRPCP11
ENSG00000232530.1	0.230082094257202	LIF-AS1
ENSG00000184895.7	-0.22996552882749047	SRY
ENSG00000254281.1	-0.22871742728383146	
ENSG00000279846.1	0.22708645443014341	Gene symbol not found
ENSG00000271600.1	-0.2260005901977508	Gene symbol not found
ENSG00000222714.1	0.2241937515984941	RN7SKP38
ENSG00000262362.1	0.2225440503204426	Gene symbol not found
ENSG00000178538.9	-0.2194326189328118	CA8
ENSG00000106025.8	0.21712423121408966	TSPAN12
