	Coef_adipose_subcutaneous	Gene_name
ENSG00000112319.17	1.5040789213855867	EYA4
ENSG00000048540.14	1.0820438540999493	LMO3
ENSG00000268079.1	0.7200021780846986	BNIP3P30
ENSG00000178163.7	-0.6844609007089959	ZNF518B
ENSG00000008300.16	0.5113391672503174	CELSR3
ENSG00000198838.13	0.4945074946588774	RYR3
ENSG00000255836.1	-0.48814622365223054	Gene symbol not found
ENSG00000277156.1	0.47740673185303445	TOMM40P1
ENSG00000205213.13	-0.45195459288714107	LGR4
ENSG00000278530.4	0.4478944431674184	CHMP1B2P
ENSG00000244694.7	0.42755240378304293	PTCHD4
ENSG00000189233.11	0.41862606760778137	NUGGC
ENSG00000147231.13	0.41606715367955294	RADX
ENSG00000228526.6	0.4111525232694921	MIR34AHG
ENSG00000207291.1	0.408835734109521	RNU6-30P
ENSG00000182168.14	0.3892721404807021	UNC5C
ENSG00000101405.3	-0.3800237760652731	OXT
ENSG00000141431.10	0.3799004352126709	ASXL3
ENSG00000180817.11	0.3792951844135822	PPA1
ENSG00000174292.12	0.375362183499338	TNK1
ENSG00000185090.14	0.3742740316797371	MANEAL
ENSG00000118526.6	0.3727310933807895	TCF21
ENSG00000266236.1	0.3665344987259128	NARF-IT1
ENSG00000267374.1	-0.36119048049816116	MIR924HG
ENSG00000053438.8	-0.3556054987053774	NNAT
ENSG00000271709.1	0.34909324290419486	Gene symbol not found
ENSG00000261340.1	-0.34608701514793305	LINC01616
ENSG00000255468.6	-0.3437501539720021	B4GAT1-DT
ENSG00000101955.14	-0.3410720572903446	SRPX
ENSG00000236536.1	-0.3382546512750861	Gene symbol not found
ENSG00000172247.3	-0.3345060992344033	C1QTNF4
ENSG00000112599.8	0.3278036906428259	GUCA1B
ENSG00000250742.2	0.3254620466174571	LINC02381
ENSG00000275322.1	-0.3239613769973844	Gene symbol not found
ENSG00000206052.10	-0.32286792316989565	DOK6
ENSG00000165478.6	0.32003070555965546	HEPACAM
ENSG00000160233.7	-0.3165997305155392	LRRC3
ENSG00000181036.13	0.3163652297671952	FCRL6
ENSG00000131080.14	0.3155431582486583	EDA2R
ENSG00000172667.10	0.30868838726822173	ZMAT3
ENSG00000141576.14	0.30799532617297126	RNF157
ENSG00000262001.1	-0.30699468437064337	DLGAP1-AS2
ENSG00000217330.1	0.3038068560369131	SSXP10
ENSG00000101882.9	0.3024139197150492	NKAP
ENSG00000131771.13	-0.30090984490174355	PPP1R1B
ENSG00000253958.1	-0.30089023042692153	CLDN23
ENSG00000196878.14	-0.2986244426491191	LAMB3
ENSG00000228242.6	-0.2966325601717796	XPC-AS1
ENSG00000132623.15	0.29647953520868925	ANKEF1
