	Coef_pituitary	Gene_name
ENSG00000180105.11	-0.3971708405719307	ACER2P1
ENSG00000252719.1	-0.3276849578024785	Gene symbol not found
ENSG00000244694.7	0.32614896985177616	PTCHD4
ENSG00000185088.13	0.3168322468354385	RPS27L
ENSG00000252591.1	-0.31335210639934336	RNA5SP468
ENSG00000131080.14	0.3065644226457754	EDA2R
ENSG00000173535.13	0.2777811432526195	TNFRSF10C
ENSG00000213816.3	-0.27060908700184794	CNN2P4
ENSG00000117594.9	0.2692393008894301	HSD11B1
ENSG00000255492.1	-0.26349691660270713	H3P33
ENSG00000260255.1	-0.2623318165153146	Gene symbol not found
ENSG00000232139.5	-0.24768330813350795	LINC00867
ENSG00000269526.1	-0.24741068822098913	ERVV-1
ENSG00000202272.1	-0.24236625282455052	Y_RNA
ENSG00000236136.1	0.23090687129692347	ADORA2BP1
ENSG00000280436.1	-0.2297985087191677	Gene symbol not found
ENSG00000278698.1	-0.22672772646712824	Gene symbol not found
ENSG00000134574.11	0.22468911826121415	DDB2
ENSG00000235623.2	-0.21798307996312105	OR7E110P
ENSG00000216977.1	0.2156606734469745	RPL21P65
ENSG00000203531.3	-0.2141954085130548	Gene symbol not found
ENSG00000232939.1	-0.2053412921208897	Gene symbol not found
ENSG00000243539.3	-0.20511293095716102	RN7SL649P
ENSG00000237978.5	0.2023011944220802	KCNMB2-AS1
ENSG00000255489.1	-0.20008223966140135	Gene symbol not found
ENSG00000268994.3	-0.19597944737806539	FAM236B
ENSG00000252778.1	-0.19310202388672557	Gene symbol not found
ENSG00000251874.1	-0.19058862057600406	RNU6-615P
ENSG00000270900.1	-0.18984871807248482	NUDT19P4
ENSG00000253305.2	-0.189455997079627	PCDHGB6
ENSG00000234913.1	-0.1894299098167013	Gene symbol not found
ENSG00000100593.17	-0.18829597926089625	ISM2
ENSG00000177770.11	-0.18421025304521277	CDKN2AIPNLP1
ENSG00000226320.5	-0.1826251302058477	LINC01811
ENSG00000228162.1	-0.1808093136882875	Gene symbol not found
ENSG00000279954.1	-0.18013625484909093	Gene symbol not found
ENSG00000252919.1	-0.17865048429789737	Y_RNA
ENSG00000267289.1	-0.17644210201171667	PIN1-DT
ENSG00000235151.1	-0.1702583935230416	Gene symbol not found
ENSG00000178163.7	-0.16959116886902623	ZNF518B
ENSG00000234379.1	-0.1694094759122179	HMGB1P48
ENSG00000173451.6	-0.16776036203145844	THAP2
ENSG00000278200.1	-0.16518564238489106	LINC01971
ENSG00000061337.15	-0.16132865757550258	LZTS1
ENSG00000113494.16	-0.16058683352931463	PRLR
ENSG00000268866.1	-0.16054379324426757	Gene symbol not found
ENSG00000254251.1	0.16021621274562212	Gene symbol not found
ENSG00000272748.1	-0.1600612649130454	Gene symbol not found
ENSG00000180662.8	-0.15957771870780946	RPL21P8
ENSG00000236886.2	-0.1594647968864606	
