	Coef_artery_coronary	Gene_name
ENSG00000163515.6	-0.6598857203803615	RETNLB
ENSG00000261075.1	-0.6434798466245059	LINC01195
ENSG00000048540.14	0.6150888285854779	LMO3
ENSG00000170381.12	0.588121109688972	SEMA3E
ENSG00000244694.7	0.5508931999513349	PTCHD4
ENSG00000258641.1	-0.5469798162321996	OR4T1P
ENSG00000196427.13	0.4475143556281893	NBPF4
ENSG00000101977.19	0.43026137658599967	MCF2
ENSG00000270000.1	-0.43022190814749484	Gene symbol not found
ENSG00000261437.1	0.42908110597416155	LINC02894
ENSG00000252719.1	-0.4245885916359399	Gene symbol not found
ENSG00000265359.1	-0.4113530505632897	Gene symbol not found
ENSG00000146352.12	0.4045657885208987	CLVS2
ENSG00000224846.2	0.4036600569867313	NQO2-AS1
ENSG00000201811.1	-0.3859439615777155	SNORA71
ENSG00000260804.3	-0.384514389626141	LINC01963
ENSG00000249412.1	0.38390774222234614	Gene symbol not found
ENSG00000235595.1	-0.37792642329422355	GAPDHP23
ENSG00000081803.15	0.37655232666490296	CADPS2
ENSG00000134533.6	0.3743590360855487	RERG
ENSG00000279348.1	-0.3714064770415377	Gene symbol not found
ENSG00000242634.1	0.3667092556522972	RPS24P16
ENSG00000236290.1	-0.36427681261131906	EEF1GP7
ENSG00000271321.1	0.347987029066321	CTAGE6
ENSG00000253147.5	-0.3407428684277469	LINC03023
ENSG00000207494.1	-0.34011820906591206	Y_RNA
ENSG00000229251.3	-0.33237819343977876	HNRNPA1P8
ENSG00000224897.6	0.3311334683900239	POT1-AS1
ENSG00000167104.11	-0.3304001785016294	BPIFB6
ENSG00000277120.5	-0.3258619561797713	MIR6089
ENSG00000224510.2	-0.3225500373630584	POLR2KP2
ENSG00000257395.1	-0.3192405824911904	Gene symbol not found
ENSG00000205898.3	0.3174097636788499	Gene symbol not found
ENSG00000227413.1	0.3089315955169675	Gene symbol not found
ENSG00000105699.16	-0.3038605176118116	LSR
ENSG00000225636.1	0.30154385526419575	HNRNPA3P15
ENSG00000220848.4	0.2968388719830061	RPS18P9
ENSG00000246130.1	0.2949302053086495	TNFRSF10B-AS1
ENSG00000037757.13	0.28734166965792013	MRI1
ENSG00000260473.2	-0.28291711668856384	Gene symbol not found
ENSG00000270750.1	0.28243699164443276	
ENSG00000183506.17	0.27721426638038377	PI4KAP2
ENSG00000182963.9	-0.274445080666531	GJC1
ENSG00000183386.9	-0.274259774095424	FHL3
ENSG00000105643.9	-0.26935977430167624	ARRDC2
ENSG00000270809.1	0.2692447481763224	CHCHD2P11
ENSG00000217414.2	-0.2663615636808837	DDX18P3
ENSG00000100368.13	-0.26208403105185124	CSF2RB
ENSG00000259005.1	-0.25798302751660007	Gene symbol not found
ENSG00000279645.1	-0.252341780715911	
