	Coef_brain_cerebellum	Gene_name
ENSG00000257711.1	0.11547278399598022	
ENSG00000279039.1	-0.09413902940244602	
ENSG00000052344.15	0.09033180102554539	PRSS8
ENSG00000175718.9	0.08882659015992747	RBMXL3
ENSG00000117594.9	0.08869394546014979	HSD11B1
ENSG00000089225.19	0.08671421617615516	TBX5
ENSG00000151718.15	-0.08615220044949892	WWC2
ENSG00000271178.1	-0.07907648178942046	IGHV3OR16-13
ENSG00000266227.1	-0.07888056535580779	NPM1P2
ENSG00000227432.1	0.07805585048411467	ASIC4-AS1
ENSG00000187867.8	0.07662088509938009	PALM3
ENSG00000253293.4	-0.07546644412751399	HOXA10
ENSG00000145888.10	0.07478704798442325	GLRA1
ENSG00000236968.1	-0.07402224072367071	Gene symbol not found
ENSG00000249005.3	-0.07279674299469022	FAM90A4P
ENSG00000213435.3	-0.07245475054777455	ATP6V0CP3
ENSG00000221977.1	-0.07242032229614846	OR4E2
ENSG00000235070.3	-0.07216612509592221	Gene symbol not found
ENSG00000248229.1	-0.07196294322325855	Gene symbol not found
ENSG00000131095.12	0.0710481260211401	GFAP
ENSG00000181656.6	-0.07098450195599242	GPR88
ENSG00000100302.6	0.07054045570163073	RASD2
ENSG00000070159.13	-0.06999005385384995	PTPN3
ENSG00000181195.10	0.06964814113460557	PENK
ENSG00000144119.3	0.0695054962177492	C1QL2
ENSG00000138759.18	-0.06906542010163472	FRAS1
ENSG00000276945.1	-0.06822022258841287	Gene symbol not found
ENSG00000213698.2	-0.0681307381802532	CAPZA1P3
ENSG00000263505.1	-0.06774455901938108	SLC25A3P3
ENSG00000228467.2	-0.06686977148976757	Gene symbol not found
ENSG00000257737.1	-0.06629377783994905	Gene symbol not found
ENSG00000197919.5	0.06627045415144182	IFNA1
ENSG00000145358.6	0.06613751851977244	DDIT4L
ENSG00000261761.3	-0.06457541550949945	LINC02616
ENSG00000248211.1	-0.06446814940672739	TRPC7-AS1
ENSG00000266184.1	-0.06445444449079264	Gene symbol not found
ENSG00000072182.12	0.06392989320178442	ASIC4
ENSG00000263862.1	-0.0637604713533561	LINC01543
ENSG00000231464.1	-0.06346058538638892	PPP4R2P3
ENSG00000118495.18	-0.0628709424277353	PLAGL1
ENSG00000241318.3	-0.062835548862132	WDR82P2
ENSG00000198838.13	0.062164728693787016	RYR3
ENSG00000238166.2	-0.0618055956268876	Gene symbol not found
ENSG00000120337.8	-0.061445832464388644	TNFSF18
ENSG00000271671.1	-0.06120181101378762	Gene symbol not found
ENSG00000143365.17	0.06076923668099938	RORC
ENSG00000240478.1	-0.06063225191075218	Gene symbol not found
ENSG00000229204.3	-0.06057912931349113	PTGES3P3
ENSG00000136883.13	-0.06035663987951557	KIF12
ENSG00000249061.1	-0.060353805437828006	Gene symbol not found
