	Coef_nerve_tibial	Gene_name
ENSG00000072041.16	0.4939823394053497	SLC6A15
ENSG00000204764.13	-0.4005667476778269	RANBP17
ENSG00000237125.8	0.39759511541455705	HAND2-AS1
ENSG00000196109.6	0.38866192920608433	ZNF676
ENSG00000131080.14	0.3884926205554275	EDA2R
ENSG00000178163.7	-0.379911977889264	ZNF518B
ENSG00000171551.11	-0.37814978532579796	ECEL1
ENSG00000244694.7	0.36860655129471076	PTCHD4
ENSG00000244681.1	0.3677691866711792	MTHFD2P1
ENSG00000204876.4	0.347234842448212	Gene symbol not found
ENSG00000196767.6	0.3356590973221251	POU3F4
ENSG00000184905.8	0.33112528154704485	TCEAL2
ENSG00000100285.9	-0.3242821753870563	NEFH
ENSG00000164107.8	0.32297957666490423	HAND2
ENSG00000163564.14	0.3102267197964309	PYHIN1
ENSG00000128710.5	0.300955570741446	HOXD10
ENSG00000128713.13	0.2972721962817683	HOXD11
ENSG00000040731.10	0.2902505536071369	CDH10
ENSG00000164690.7	0.279284192335083	SHH
ENSG00000189233.11	0.26928248895919665	NUGGC
ENSG00000250957.1	0.25840084225573634	
ENSG00000136944.17	-0.23538964117960567	LMX1B
ENSG00000203797.9	0.22824806536081144	DDO
ENSG00000112319.17	0.22822132961789846	EYA4
ENSG00000008196.12	0.22759032378280933	TFAP2B
ENSG00000134853.11	-0.22721398872459753	PDGFRA
ENSG00000152467.9	-0.2254687634916353	ZSCAN1
ENSG00000180347.13	0.22300214081810277	ITPRID1
ENSG00000204519.10	-0.2198365225462719	ZNF551
ENSG00000121335.11	0.2158169512378741	PRB2
ENSG00000179399.14	0.21418634122702637	GPC5
ENSG00000226711.6	-0.21379142589993977	FAM66C
ENSG00000176658.16	0.2120673330791531	MYO1D
ENSG00000172667.10	0.21075813744157162	ZMAT3
ENSG00000162461.7	0.209311537098865	SLC25A34
ENSG00000179909.15	-0.20890221070269308	ZNF154
ENSG00000186205.12	0.20793791658620736	MTARC1
ENSG00000159496.14	-0.2054342593187656	RGL4
ENSG00000181023.6	0.19982317742961517	OR56B1
ENSG00000184144.11	0.19963024308311927	CNTN2
ENSG00000168556.6	-0.19956470958477676	ING2
ENSG00000272872.1	0.1950494708608167	
ENSG00000259236.1	0.19375190395630457	GOLGA8VP
ENSG00000261587.2	0.19043296605989496	TMEM249
ENSG00000250337.5	0.18921461082746668	PURPL
ENSG00000256720.1	0.1876075637808907	BTG1P1
ENSG00000213642.3	-0.18683039046202485	Gene symbol not found
ENSG00000243089.1	0.1863942924611863	Gene symbol not found
ENSG00000283355.1	-0.18572203426981987	Gene symbol not found
ENSG00000174482.10	0.1854822844827875	LINGO2
