	Coef_adrenal_gland	Gene_name
ENSG00000244694.7	0.3881611270457629	PTCHD4
ENSG00000105707.13	0.3739879721909616	HPN
ENSG00000272721.5	-0.3555926260332123	EIF2B5-DT
ENSG00000268758.7	0.3400096986427303	ADGRE4P
ENSG00000198099.8	0.3332099710171703	ADH4
ENSG00000276656.1	-0.33145163389640775	MIR6083
ENSG00000253439.1	0.3292740984537132	CDC42P5
ENSG00000275532.1	-0.3273962858837313	Gene symbol not found
ENSG00000267225.1	-0.32435280869649025	WDR7-OT1
ENSG00000162753.11	-0.3225788378056064	SLC9C2
ENSG00000270947.1	-0.30870436101997906	Gene symbol not found
ENSG00000176219.2	-0.30805341642706024	OR11H6
ENSG00000253549.5	-0.3068264126284241	CA3-AS1
ENSG00000229124.6	0.3050720735138246	VIM-AS1
ENSG00000236345.1	0.3034335806082513	SCAT8
ENSG00000258992.6	-0.2983493634300065	TSPY1
ENSG00000273870.1	-0.29238673592927067	Gene symbol not found
ENSG00000250337.5	0.2882816435878678	PURPL
ENSG00000149403.12	0.2862181789898446	GRIK4
ENSG00000131080.14	0.28495855857796404	EDA2R
ENSG00000145107.15	-0.2828305425411354	TM4SF19
ENSG00000282692.1	0.27732681319405356	Gene symbol not found
ENSG00000272872.1	0.277262669374196	
ENSG00000093072.15	-0.2693089346592199	ADA2
ENSG00000263276.1	0.2673457590722036	Gene symbol not found
ENSG00000229891.1	0.26080390033895867	LINC01315
ENSG00000146070.16	-0.25951113336969	PLA2G7
ENSG00000271734.1	0.2533650581985446	
ENSG00000105711.11	0.2520874448044229	SCN1B
ENSG00000240160.3	0.24928338956428772	RN7SL263P
ENSG00000273143.1	0.24722970433752126	DUSP5-DT
ENSG00000260144.1	0.2401851954547021	Gene symbol not found
ENSG00000057657.15	0.24011122176783795	PRDM1
ENSG00000076944.15	-0.23791439407990467	STXBP2
ENSG00000124762.13	0.23733091056946792	CDKN1A
ENSG00000170231.15	0.23501751802862916	FABP6
ENSG00000178343.4	0.2329577448030964	SHISA3
ENSG00000222714.1	0.23116556217809228	RN7SKP38
ENSG00000232530.1	0.23049341485219751	LIF-AS1
ENSG00000253894.1	-0.23025017455295047	Gene symbol not found
ENSG00000232732.9	0.22853135164300417	Gene symbol not found
ENSG00000241346.1	0.2275559345599364	SNRPCP11
ENSG00000178538.9	-0.22660353517222245	CA8
ENSG00000036672.15	0.2245751901656949	USP2
ENSG00000271600.1	-0.22281387861310023	Gene symbol not found
ENSG00000184895.7	-0.22270477041389009	SRY
ENSG00000254281.1	-0.2224771766796193	
ENSG00000279846.1	0.22058851479402372	Gene symbol not found
ENSG00000225655.5	0.2201622408941423	
