	Coef_artery_aorta	Gene_name
ENSG00000081803.15	0.20779934904073058	CADPS2
ENSG00000126878.12	-0.1560918212958679	AIF1L
ENSG00000244694.7	0.1529556055505847	PTCHD4
ENSG00000281706.2	-0.1493663529178728	LINC01012
ENSG00000168779.19	0.14645124443099974	SHOX2
ENSG00000185272.13	0.14464191389553258	RBM11
ENSG00000244681.1	0.14325057283066286	MTHFD2P1
ENSG00000261786.1	-0.14277870444515034	Gene symbol not found
ENSG00000232860.7	-0.140798128553318	SMG7-AS1
ENSG00000186472.19	0.14013726178432936	PCLO
ENSG00000082556.10	-0.1378296811656529	OPRK1
ENSG00000064205.10	0.1326871205673755	CCN5
ENSG00000151474.21	-0.12930535783674685	FRMD4A
ENSG00000196090.12	-0.1278022055775123	PTPRT
ENSG00000048540.14	0.12705928600106833	LMO3
ENSG00000050555.17	-0.12316059495940014	LAMC3
ENSG00000258695.2	0.12293553223779277	Gene symbol not found
ENSG00000266050.2	-0.12264435287462003	Gene symbol not found
ENSG00000072041.16	0.12205592686373645	SLC6A15
ENSG00000206828.1	-0.12067248391924613	RNVU1-30
ENSG00000267504.1	0.11869149205077845	Gene symbol not found
ENSG00000254585.2	-0.11783680438260834	MAGEL2
ENSG00000198732.10	-0.11668950207470041	SMOC1
ENSG00000273036.2	0.11287017357087072	CYP4F33P
ENSG00000137968.16	-0.1114061445218273	SLC44A5
ENSG00000215529.12	0.11032668483518494	EFCAB8
ENSG00000278530.4	0.10926648000215207	CHMP1B2P
ENSG00000258675.1	-0.10898141813971865	LINC02308
ENSG00000239268.2	-0.10776903273113346	LINC03051
ENSG00000086717.18	0.10774948904349999	PPEF1
ENSG00000165325.13	0.10773120373432762	DEUP1
ENSG00000231784.8	-0.10586452532702383	DBIL5P
ENSG00000250361.7	0.10520900871427101	GYPB
ENSG00000280435.1	-0.10506319998668946	Gene symbol not found
ENSG00000184500.14	0.1043380436612387	PROS1
ENSG00000179083.6	0.10377890674388482	FAM133A
ENSG00000151948.11	-0.10355816753393218	GLT1D1
ENSG00000188191.14	-0.10317381530798324	PRKAR1B
ENSG00000276107.1	0.10150128693025386	THBS1-IT1
ENSG00000230267.7	-0.10094818496834668	HERC2P4
ENSG00000171403.9	-0.10081610350926186	KRT9
ENSG00000067221.13	0.09912442980767236	STOML1
ENSG00000273203.1	0.09709098074043197	
ENSG00000215105.4	0.09689300913232846	TTC3P1
ENSG00000249693.2	0.09687164642517834	SPMAP2L
ENSG00000131941.7	-0.0967363376743964	RHPN2
ENSG00000167693.16	-0.09606978372821103	NXN
ENSG00000236155.6	-0.0959001881178421	ZPLD2P
ENSG00000176049.15	0.09525749806669301	JAKMIP2
ENSG00000172818.9	0.09492369864141788	OVOL1
