	Coef_brain_cortex	Gene_name
ENSG00000151650.7	0.2859311666932066	VENTX
ENSG00000131080.14	0.2560436871816077	EDA2R
ENSG00000252581.1	0.24639405121163796	RNU6-1098P
ENSG00000208005.1	-0.21960652910012257	MIR503
ENSG00000267544.1	-0.2088915411156953	HIKESHIP2
ENSG00000255836.1	-0.19764221922395403	Gene symbol not found
ENSG00000197376.2	0.1936278981697933	Gene symbol not found
ENSG00000233429.9	0.19135927991886345	HOTAIRM1
ENSG00000088836.12	0.18070093661827577	SLC4A11
ENSG00000259124.1	-0.1785754206615137	Gene symbol not found
ENSG00000187013.4	0.17731479072670256	LINC02875
ENSG00000207186.1	0.17463954721550226	RNA5SP122
ENSG00000163071.10	0.17103975391394233	SPATA18
ENSG00000259792.1	0.16872905750407122	Gene symbol not found
ENSG00000267773.1	-0.1678087188896489	Gene symbol not found
ENSG00000280710.2	-0.166319004597085	
ENSG00000267799.1	-0.16366866658048254	MAN1A2P1
ENSG00000278318.4	-0.16024948629230884	ZNF229
ENSG00000228526.6	0.1600706150560136	MIR34AHG
ENSG00000248476.1	-0.15807619588818309	BACH1-IT1
ENSG00000173908.8	-0.15301861954403317	KRT28
ENSG00000230453.9	0.15222537263027894	ANKRD18B
ENSG00000202517.1	-0.15067739248382359	Gene symbol not found
ENSG00000274904.1	-0.14878773948781165	Gene symbol not found
ENSG00000172426.15	-0.14839210462847816	RSPH9
ENSG00000168418.7	0.14440984223093326	KCNG4
ENSG00000214121.4	-0.14424465235072306	PRDX1P1
ENSG00000248646.1	-0.1433036178152697	
ENSG00000283377.1	-0.14269496562528583	Gene symbol not found
ENSG00000254294.1	-0.1422327608840426	IMPDH1P6
ENSG00000230931.2	-0.1413090268225674	GXYLT1P1
ENSG00000255794.7	0.14106759335993904	RMST
ENSG00000207010.1	-0.14096378390798664	RNU6-318P
ENSG00000259742.1	-0.1403614373965056	Gene symbol not found
ENSG00000253642.5	0.13946821097010087	Gene symbol not found
ENSG00000225075.1	0.13899011433894853	Gene symbol not found
ENSG00000196862.9	-0.13813187851779743	RGPD4
ENSG00000276556.1	-0.1380898317233995	Gene symbol not found
ENSG00000244308.2	-0.1372067984321915	RN7SL762P
ENSG00000258550.1	-0.13689084470937793	OR7E106P
ENSG00000277697.1	-0.13677044447831715	
ENSG00000162722.8	-0.1363560476137306	TRIM58
ENSG00000273687.1	0.13599751997774778	Gene symbol not found
ENSG00000236380.5	-0.13223910993213725	VENTXP7
ENSG00000164399.4	-0.13210592630072024	IL3
ENSG00000178343.4	0.12958841225202614	SHISA3
ENSG00000214415.3	-0.1285617216463521	GNAT3
ENSG00000172680.1	-0.12810754101862973	MOS
ENSG00000224566.2	-0.1277646557979281	CIAO2AP2
ENSG00000120289.11	-0.12510250607782794	MAGEB4
